# phase	case	exact_test_key	digest	classification	frame	style_dump	ansi	html
after	button::selected	render::components::button::selected 120 40 junie truecolor	a08a615b692ade44	checked-selection-marker	frames/button--selected__120x40__junie__truecolor.txt			
after	button::selected	render::components::button::selected 40 10 junie truecolor	23c8c5fc35a89dc4	checked-selection-marker	frames/button--selected__40x10__junie__truecolor.txt			
after	button::selected	render::components::button::selected 120 40 junie mono	13d0bae25b64bacc	checked-selection-marker	frames/button--selected__120x40__junie__mono.txt			
after	button::selected	render::components::button::selected 40 10 junie mono	0f80b7f1cc3b9e4c	checked-selection-marker	frames/button--selected__40x10__junie__mono.txt			
after	button::selected	render::components::button::selected 120 40 paper truecolor	2a5edf3dd183dd6c	checked-selection-marker	frames/button--selected__120x40__paper__truecolor.txt			
after	button::selected	render::components::button::selected 40 10 paper truecolor	ada1ea903613b0ec	checked-selection-marker	frames/button--selected__40x10__paper__truecolor.txt			
after	button::selected	render::components::button::selected 120 40 paper mono	4330743d0d1af0f4	checked-selection-marker	frames/button--selected__120x40__paper__mono.txt			
after	button::selected	render::components::button::selected 40 10 paper mono	000a22404ee1f874	checked-selection-marker	frames/button--selected__40x10__paper__mono.txt			
after	chip_bar::focused	render::components::chip_bar::focused 120 40 junie truecolor	782d064c5cace447	owned-cursor-state	frames/chip_bar--focused__120x40__junie__truecolor.txt	styles/chip_bar--focused__120x40__junie__truecolor.tsv	ansi/chip_bar--focused__120x40__junie__truecolor.ansi	html/chip_bar--focused__120x40__junie__truecolor.html
after	chip_bar::focused	render::components::chip_bar::focused 40 10 junie truecolor	2e7b0fb3b8bf2744	owned-cursor-state	frames/chip_bar--focused__40x10__junie__truecolor.txt	styles/chip_bar--focused__40x10__junie__truecolor.tsv	ansi/chip_bar--focused__40x10__junie__truecolor.ansi	html/chip_bar--focused__40x10__junie__truecolor.html
after	chip_bar::focused	render::components::chip_bar::focused 120 40 junie mono	88693cac752be367	owned-cursor-state	frames/chip_bar--focused__120x40__junie__mono.txt	styles/chip_bar--focused__120x40__junie__mono.tsv	ansi/chip_bar--focused__120x40__junie__mono.ansi	html/chip_bar--focused__120x40__junie__mono.html
after	chip_bar::focused	render::components::chip_bar::focused 40 10 junie mono	19b2b01e2d5e3aee	owned-cursor-state	frames/chip_bar--focused__40x10__junie__mono.txt	styles/chip_bar--focused__40x10__junie__mono.tsv	ansi/chip_bar--focused__40x10__junie__mono.ansi	html/chip_bar--focused__40x10__junie__mono.html
after	chip_bar::focused	render::components::chip_bar::focused 120 40 paper truecolor	90b548aae4ab93e1	owned-cursor-state	frames/chip_bar--focused__120x40__paper__truecolor.txt	styles/chip_bar--focused__120x40__paper__truecolor.tsv	ansi/chip_bar--focused__120x40__paper__truecolor.ansi	html/chip_bar--focused__120x40__paper__truecolor.html
after	chip_bar::focused	render::components::chip_bar::focused 40 10 paper truecolor	74437fb990dd86d0	owned-cursor-state	frames/chip_bar--focused__40x10__paper__truecolor.txt	styles/chip_bar--focused__40x10__paper__truecolor.tsv	ansi/chip_bar--focused__40x10__paper__truecolor.ansi	html/chip_bar--focused__40x10__paper__truecolor.html
