x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Black	White	BOLD	1
1	0	"A"	Black	White	BOLD	1
2	0	"d"	Black	White	BOLD	1
3	0	"a"	Black	White	BOLD	1
4	0	" "	Black	White	BOLD	1
5	0	"L"	Black	White	BOLD	1
6	0	"o"	Black	White	BOLD	1
7	0	"v"	Black	White	BOLD	1
8	0	"e"	Black	White	BOLD	1
9	0	"l"	Black	White	BOLD	1
10	0	"a"	Black	White	BOLD	1
11	0	"c"	Black	White	BOLD	1
12	0	"e"	Black	White	BOLD	1
13	0	" "	Black	White	BOLD	1
14	0	"×"	Black	White	BOLD	1
15	0	" "	Black	White	BOLD	1
16	0	" "	Black	White	BOLD	1
17	0	" "	Black	White	BOLD	1
18	0	"G"	Black	White	BOLD	1
19	0	"r"	Black	White	BOLD	1
20	0	"a"	Black	White	BOLD	1
21	0	"c"	Black	White	BOLD	1
22	0	"e"	Black	White	BOLD	1
23	0	" "	Black	White	BOLD	1
24	0	"H"	Black	White	BOLD	1
25	0	"o"	Black	White	BOLD	1
26	0	"p"	Black	White	BOLD	1
27	0	"p"	Black	White	BOLD	1
28	0	"e"	Black	White	BOLD	1
29	0	"r"	Black	White	BOLD	1
30	0	" "	Black	White	BOLD	1
31	0	"×"	Black	White	BOLD	1
32	0	" "	Black	White	BOLD	1
33	0	" "	Black	White	BOLD	1
34	0	"…"	Black	White	BOLD	1
35	0	" "	Black	White	BOLD	1
36	0	" "	Black	White	BOLD	1
37	0	" "	Black	White	BOLD	1
38	0	" "	Black	White	BOLD	1
39	0	" "	Black	White	BOLD	1
0	1	" "	Reset	Reset	NONE	0
1	1	" "	Reset	Reset	NONE	0
2	1	" "	Reset	Reset	NONE	0
3	1	" "	Reset	Reset	NONE	0
4	1	" "	Reset	Reset	NONE	0
5	1	" "	Reset	Reset	NONE	0
6	1	" "	Reset	Reset	NONE	0
7	1	" "	Reset	Reset	NONE	0
8	1	" "	Reset	Reset	NONE	0
9	1	" "	Reset	Reset	NONE	0
10	1	" "	Reset	Reset	NONE	0
11	1	" "	Reset	Reset	NONE	0
12	1	" "	Reset	Reset	NONE	0
13	1	" "	Reset	Reset	NONE	0
14	1	" "	Reset	Reset	NONE	0
15	1	" "	Reset	Reset	NONE	0
16	1	" "	Reset	Reset	NONE	0
17	1	" "	Reset	Reset	NONE	0
18	1	" "	Reset	Reset	NONE	0
19	1	" "	Reset	Reset	NONE	0
20	1	" "	Reset	Reset	NONE	0
21	1	" "	Reset	Reset	NONE	0
22	1	" "	Reset	Reset	NONE	0
23	1	" "	Reset	Reset	NONE	0
24	1	" "	Reset	Reset	NONE	0
25	1	" "	Reset	Reset	NONE	0
26	1	" "	Reset	Reset	NONE	0
27	1	" "	Reset	Reset	NONE	0
28	1	" "	Reset	Reset	NONE	0
29	1	" "	Reset	Reset	NONE	0
30	1	" "	Reset	Reset	NONE	0
31	1	" "	Reset	Reset	NONE	0
32	1	" "	Reset	Reset	NONE	0
33	1	" "	Reset	Reset	NONE	0
34	1	" "	Reset	Reset	NONE	0
35	1	" "	Reset	Reset	NONE	0
36	1	" "	Reset	Reset	NONE	0
37	1	" "	Reset	Reset	NONE	0
38	1	" "	Reset	Reset	NONE	0
39	1	" "	Reset	Reset	NONE	0
0	2	" "	Reset	Reset	NONE	0
1	2	" "	Reset	Reset	NONE	0
2	2	" "	Reset	Reset	NONE	0
3	2	" "	Reset	Reset	NONE	0
4	2	" "	Reset	Reset	NONE	0
5	2	" "	Reset	Reset	NONE	0
6	2	" "	Reset	Reset	NONE	0
7	2	" "	Reset	Reset	NONE	0
8	2	" "	Reset	Reset	NONE	0
9	2	" "	Reset	Reset	NONE	0
10	2	" "	Reset	Reset	NONE	0
11	2	" "	Reset	Reset	NONE	0
12	2	" "	Reset	Reset	NONE	0
13	2	" "	Reset	Reset	NONE	0
14	2	" "	Reset	Reset	NONE	0
15	2	" "	Reset	Reset	NONE	0
16	2	" "	Reset	Reset	NONE	0
17	2	" "	Reset	Reset	NONE	0
18	2	" "	Reset	Reset	NONE	0
19	2	" "	Reset	Reset	NONE	0
20	2	" "	Reset	Reset	NONE	0
21	2	" "	Reset	Reset	NONE	0
22	2	" "	Reset	Reset	NONE	0
23	2	" "	Reset	Reset	NONE	0
24	2	" "	Reset	Reset	NONE	0
25	2	" "	Reset	Reset	NONE	0
26	2	" "	Reset	Reset	NONE	0
27	2	" "	Reset	Reset	NONE	0
28	2	" "	Reset	Reset	NONE	0
29	2	" "	Reset	Reset	NONE	0
30	2	" "	Reset	Reset	NONE	0
31	2	" "	Reset	Reset	NONE	0
32	2	" "	Reset	Reset	NONE	0
33	2	" "	Reset	Reset	NONE	0
34	2	" "	Reset	Reset	NONE	0
35	2	" "	Reset	Reset	NONE	0
36	2	" "	Reset	Reset	NONE	0
37	2	" "	Reset	Reset	NONE	0
38	2	" "	Reset	Reset	NONE	0
39	2	" "	Reset	Reset	NONE	0
0	3	" "	Reset	Reset	NONE	0
1	3	" "	Reset	Reset	NONE	0
2	3	" "	Reset	Reset	NONE	0
3	3	" "	Reset	Reset	NONE	0
4	3	" "	Reset	Reset	NONE	0
5	3	" "	Reset	Reset	NONE	0
6	3	" "	Reset	Reset	NONE	0
7	3	" "	Reset	Reset	NONE	0
8	3	" "	Reset	Reset	NONE	0
9	3	" "	Reset	Reset	NONE	0
10	3	" "	Reset	Reset	NONE	0
11	3	" "	Reset	Reset	NONE	0
12	3	" "	Reset	Reset	NONE	0
13	3	" "	Reset	Reset	NONE	0
14	3	" "	Reset	Reset	NONE	0
15	3	" "	Reset	Reset	NONE	0
16	3	" "	Reset	Reset	NONE	0
17	3	" "	Reset	Reset	NONE	0
18	3	" "	Reset	Reset	NONE	0
19	3	" "	Reset	Reset	NONE	0
20	3	" "	Reset	Reset	NONE	0
21	3	" "	Reset	Reset	NONE	0
22	3	" "	Reset	Reset	NONE	0
23	3	" "	Reset	Reset	NONE	0
24	3	" "	Reset	Reset	NONE	0
25	3	" "	Reset	Reset	NONE	0
26	3	" "	Reset	Reset	NONE	0
27	3	" "	Reset	Reset	NONE	0
28	3	" "	Reset	Reset	NONE	0
29	3	" "	Reset	Reset	NONE	0
30	3	" "	Reset	Reset	NONE	0
31	3	" "	Reset	Reset	NONE	0
32	3	" "	Reset	Reset	NONE	0
33	3	" "	Reset	Reset	NONE	0
34	3	" "	Reset	Reset	NONE	0
35	3	" "	Reset	Reset	NONE	0
36	3	" "	Reset	Reset	NONE	0
37	3	" "	Reset	Reset	NONE	0
38	3	" "	Reset	Reset	NONE	0
39	3	" "	Reset	Reset	NONE	0
0	4	" "	Reset	Reset	NONE	0
1	4	" "	Reset	Reset	NONE	0
2	4	" "	Reset	Reset	NONE	0
3	4	" "	Reset	Reset	NONE	0
4	4	" "	Reset	Reset	NONE	0
5	4	" "	Reset	Reset	NONE	0
6	4	" "	Reset	Reset	NONE	0
7	4	" "	Reset	Reset	NONE	0
8	4	" "	Reset	Reset	NONE	0
9	4	" "	Reset	Reset	NONE	0
10	4	" "	Reset	Reset	NONE	0
11	4	" "	Reset	Reset	NONE	0
12	4	" "	Reset	Reset	NONE	0
13	4	" "	Reset	Reset	NONE	0
14	4	" "	Reset	Reset	NONE	0
15	4	" "	Reset	Reset	NONE	0
16	4	" "	Reset	Reset	NONE	0
17	4	" "	Reset	Reset	NONE	0
18	4	" "	Reset	Reset	NONE	0
19	4	" "	Reset	Reset	NONE	0
20	4	" "	Reset	Reset	NONE	0
21	4	" "	Reset	Reset	NONE	0
22	4	" "	Reset	Reset	NONE	0
23	4	" "	Reset	Reset	NONE	0
24	4	" "	Reset	Reset	NONE	0
25	4	" "	Reset	Reset	NONE	0
26	4	" "	Reset	Reset	NONE	0
27	4	" "	Reset	Reset	NONE	0
28	4	" "	Reset	Reset	NONE	0
29	4	" "	Reset	Reset	NONE	0
30	4	" "	Reset	Reset	NONE	0
31	4	" "	Reset	Reset	NONE	0
32	4	" "	Reset	Reset	NONE	0
33	4	" "	Reset	Reset	NONE	0
34	4	" "	Reset	Reset	NONE	0
35	4	" "	Reset	Reset	NONE	0
36	4	" "	Reset	Reset	NONE	0
37	4	" "	Reset	Reset	NONE	0
38	4	" "	Reset	Reset	NONE	0
39	4	" "	Reset	Reset	NONE	0
0	5	" "	Reset	Reset	NONE	0
1	5	" "	Reset	Reset	NONE	0
2	5	" "	Reset	Reset	NONE	0
3	5	" "	Reset	Reset	NONE	0
4	5	" "	Reset	Reset	NONE	0
5	5	" "	Reset	Reset	NONE	0
6	5	" "	Reset	Reset	NONE	0
7	5	" "	Reset	Reset	NONE	0
8	5	" "	Reset	Reset	NONE	0
9	5	" "	Reset	Reset	NONE	0
10	5	" "	Reset	Reset	NONE	0
11	5	" "	Reset	Reset	NONE	0
12	5	" "	Reset	Reset	NONE	0
13	5	" "	Reset	Reset	NONE	0
14	5	" "	Reset	Reset	NONE	0
15	5	" "	Reset	Reset	NONE	0
16	5	" "	Reset	Reset	NONE	0
17	5	" "	Reset	Reset	NONE	0
18	5	" "	Reset	Reset	NONE	0
19	5	" "	Reset	Reset	NONE	0
20	5	" "	Reset	Reset	NONE	0
21	5	" "	Reset	Reset	NONE	0
22	5	" "	Reset	Reset	NONE	0
23	5	" "	Reset	Reset	NONE	0
24	5	" "	Reset	Reset	NONE	0
25	5	" "	Reset	Reset	NONE	0
26	5	" "	Reset	Reset	NONE	0
27	5	" "	Reset	Reset	NONE	0
28	5	" "	Reset	Reset	NONE	0
29	5	" "	Reset	Reset	NONE	0
30	5	" "	Reset	Reset	NONE	0
31	5	" "	Reset	Reset	NONE	0
32	5	" "	Reset	Reset	NONE	0
33	5	" "	Reset	Reset	NONE	0
34	5	" "	Reset	Reset	NONE	0
35	5	" "	Reset	Reset	NONE	0
36	5	" "	Reset	Reset	NONE	0
37	5	" "	Reset	Reset	NONE	0
38	5	" "	Reset	Reset	NONE	0
39	5	" "	Reset	Reset	NONE	0
0	6	" "	Reset	Reset	NONE	0
1	6	" "	Reset	Reset	NONE	0
2	6	" "	Reset	Reset	NONE	0
3	6	" "	Reset	Reset	NONE	0
4	6	" "	Reset	Reset	NONE	0
5	6	" "	Reset	Reset	NONE	0
6	6	" "	Reset	Reset	NONE	0
7	6	" "	Reset	Reset	NONE	0
8	6	" "	Reset	Reset	NONE	0
9	6	" "	Reset	Reset	NONE	0
10	6	" "	Reset	Reset	NONE	0
11	6	" "	Reset	Reset	NONE	0
12	6	" "	Reset	Reset	NONE	0
13	6	" "	Reset	Reset	NONE	0
14	6	" "	Reset	Reset	NONE	0
15	6	" "	Reset	Reset	NONE	0
16	6	" "	Reset	Reset	NONE	0
17	6	" "	Reset	Reset	NONE	0
18	6	" "	Reset	Reset	NONE	0
19	6	" "	Reset	Reset	NONE	0
20	6	" "	Reset	Reset	NONE	0
21	6	" "	Reset	Reset	NONE	0
22	6	" "	Reset	Reset	NONE	0
23	6	" "	Reset	Reset	NONE	0
24	6	" "	Reset	Reset	NONE	0
25	6	" "	Reset	Reset	NONE	0
26	6	" "	Reset	Reset	NONE	0
27	6	" "	Reset	Reset	NONE	0
28	6	" "	Reset	Reset	NONE	0
29	6	" "	Reset	Reset	NONE	0
30	6	" "	Reset	Reset	NONE	0
31	6	" "	Reset	Reset	NONE	0
32	6	" "	Reset	Reset	NONE	0
33	6	" "	Reset	Reset	NONE	0
34	6	" "	Reset	Reset	NONE	0
35	6	" "	Reset	Reset	NONE	0
36	6	" "	Reset	Reset	NONE	0
37	6	" "	Reset	Reset	NONE	0
38	6	" "	Reset	Reset	NONE	0
39	6	" "	Reset	Reset	NONE	0
0	7	" "	Reset	Reset	NONE	0
1	7	" "	Reset	Reset	NONE	0
2	7	" "	Reset	Reset	NONE	0
3	7	" "	Reset	Reset	NONE	0
4	7	" "	Reset	Reset	NONE	0
5	7	" "	Reset	Reset	NONE	0
6	7	" "	Reset	Reset	NONE	0
7	7	" "	Reset	Reset	NONE	0
8	7	" "	Reset	Reset	NONE	0
9	7	" "	Reset	Reset	NONE	0
10	7	" "	Reset	Reset	NONE	0
11	7	" "	Reset	Reset	NONE	0
12	7	" "	Reset	Reset	NONE	0
13	7	" "	Reset	Reset	NONE	0
14	7	" "	Reset	Reset	NONE	0
15	7	" "	Reset	Reset	NONE	0
16	7	" "	Reset	Reset	NONE	0
17	7	" "	Reset	Reset	NONE	0
18	7	" "	Reset	Reset	NONE	0
19	7	" "	Reset	Reset	NONE	0
20	7	" "	Reset	Reset	NONE	0
21	7	" "	Reset	Reset	NONE	0
22	7	" "	Reset	Reset	NONE	0
23	7	" "	Reset	Reset	NONE	0
24	7	" "	Reset	Reset	NONE	0
25	7	" "	Reset	Reset	NONE	0
26	7	" "	Reset	Reset	NONE	0
27	7	" "	Reset	Reset	NONE	0
28	7	" "	Reset	Reset	NONE	0
29	7	" "	Reset	Reset	NONE	0
30	7	" "	Reset	Reset	NONE	0
31	7	" "	Reset	Reset	NONE	0
32	7	" "	Reset	Reset	NONE	0
33	7	" "	Reset	Reset	NONE	0
34	7	" "	Reset	Reset	NONE	0
35	7	" "	Reset	Reset	NONE	0
36	7	" "	Reset	Reset	NONE	0
37	7	" "	Reset	Reset	NONE	0
38	7	" "	Reset	Reset	NONE	0
39	7	" "	Reset	Reset	NONE	0
