x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Black	Black	NONE	0
1	0	" "	Black	Black	NONE	0
2	0	" "	Black	Black	NONE	0
3	0	" "	Black	Black	NONE	0
4	0	"1"	Black	Black	NONE	0
5	0	" "	Black	Black	NONE	0
6	0	"f"	White	Black	DIM	2
7	0	"n"	White	Black	DIM	2
8	0	" "	White	Black	DIM	2
9	0	"r"	White	Black	DIM	2
10	0	"e"	White	Black	DIM	2
11	0	"t"	White	Black	DIM	2
12	0	"r"	White	Black	DIM	2
13	0	"y"	White	Black	DIM	2
14	0	"("	White	Black	DIM	2
15	0	")"	White	Black	DIM	2
16	0	" "	White	Black	DIM	2
17	0	"{"	White	Black	DIM	2
18	0	" "	Black	Black	NONE	0
19	0	" "	Black	Black	NONE	0
20	0	" "	Black	Black	NONE	0
21	0	" "	Black	Black	NONE	0
22	0	" "	Black	Black	NONE	0
23	0	" "	Black	Black	NONE	0
24	0	" "	Black	Black	NONE	0
25	0	" "	Black	Black	NONE	0
26	0	" "	Black	Black	NONE	0
27	0	" "	Black	Black	NONE	0
28	0	" "	Black	Black	NONE	0
29	0	" "	Black	Black	NONE	0
30	0	" "	Black	Black	NONE	0
31	0	" "	Black	Black	NONE	0
32	0	" "	Black	Black	NONE	0
33	0	" "	Black	Black	NONE	0
34	0	" "	Black	Black	NONE	0
35	0	" "	Black	Black	NONE	0
36	0	" "	Black	Black	NONE	0
37	0	" "	Black	Black	NONE	0
38	0	" "	Black	Black	NONE	0
39	0	" "	Black	Black	NONE	0
40	0	" "	Black	Black	NONE	0
41	0	" "	Black	Black	NONE	0
42	0	" "	Black	Black	NONE	0
43	0	" "	Black	Black	NONE	0
44	0	" "	Black	Black	NONE	0
45	0	" "	Black	Black	NONE	0
46	0	" "	Black	Black	NONE	0
47	0	" "	Black	Black	NONE	0
48	0	" "	Black	Black	NONE	0
49	0	" "	Black	Black	NONE	0
50	0	" "	Black	Black	NONE	0
51	0	" "	Black	Black	NONE	0
52	0	" "	Black	Black	NONE	0
53	0	" "	Black	Black	NONE	0
54	0	" "	Black	Black	NONE	0
55	0	" "	Black	Black	NONE	0
56	0	" "	Black	Black	NONE	0
57	0	" "	Black	Black	NONE	0
58	0	" "	Black	Black	NONE	0
59	0	" "	Black	Black	NONE	0
60	0	" "	Black	Black	NONE	0
61	0	" "	Black	Black	NONE	0
62	0	" "	Black	Black	NONE	0
63	0	" "	Black	Black	NONE	0
64	0	" "	Black	Black	NONE	0
65	0	" "	Black	Black	NONE	0
66	0	" "	Black	Black	NONE	0
67	0	" "	Black	Black	NONE	0
68	0	" "	Black	Black	NONE	0
69	0	" "	Black	Black	NONE	0
70	0	" "	Black	Black	NONE	0
71	0	" "	Black	Black	NONE	0
72	0	" "	Black	Black	NONE	0
73	0	" "	Black	Black	NONE	0
74	0	" "	Black	Black	NONE	0
75	0	" "	Black	Black	NONE	0
76	0	" "	Black	Black	NONE	0
77	0	" "	Black	Black	NONE	0
78	0	" "	Black	Black	NONE	0
79	0	" "	Black	Black	NONE	0
80	0	" "	Black	Black	NONE	0
81	0	" "	Black	Black	NONE	0
82	0	" "	Black	Black	NONE	0
83	0	" "	Black	Black	NONE	0
84	0	" "	Black	Black	NONE	0
85	0	" "	Black	Black	NONE	0
86	0	" "	Black	Black	NONE	0
87	0	" "	Black	Black	NONE	0
88	0	" "	Black	Black	NONE	0
89	0	" "	Black	Black	NONE	0
90	0	" "	Black	Black	NONE	0
91	0	" "	Black	Black	NONE	0
92	0	" "	Black	Black	NONE	0
93	0	" "	Black	Black	NONE	0
94	0	" "	Black	Black	NONE	0
95	0	" "	Black	Black	NONE	0
96	0	" "	Black	Black	NONE	0
97	0	" "	Black	Black	NONE	0
98	0	" "	Black	Black	NONE	0
99	0	" "	Black	Black	NONE	0
100	0	" "	Black	Black	NONE	0
101	0	" "	Black	Black	NONE	0
102	0	" "	Black	Black	NONE	0
103	0	" "	Black	Black	NONE	0
104	0	" "	Black	Black	NONE	0
105	0	" "	Black	Black	NONE	0
106	0	" "	Black	Black	NONE	0
107	0	" "	Black	Black	NONE	0
108	0	" "	Black	Black	NONE	0
109	0	" "	Black	Black	NONE	0
110	0	" "	Black	Black	NONE	0
111	0	" "	Black	Black	NONE	0
112	0	" "	Black	Black	NONE	0
113	0	" "	Black	Black	NONE	0
114	0	" "	Black	Black	NONE	0
115	0	" "	Black	Black	NONE	0
116	0	" "	Black	Black	NONE	0
117	0	" "	Black	Black	NONE	0
118	0	" "	Black	Black	NONE	0
119	0	" "	Black	Black	NONE	0
0	1	" "	Black	Black	NONE	0
1	1	" "	Black	Black	NONE	0
2	1	" "	Black	Black	NONE	0
3	1	" "	Black	Black	NONE	0
4	1	"2"	Black	Black	NONE	0
5	1	" "	Black	Black	NONE	0
6	1	" "	White	Black	DIM	2
7	1	" "	White	Black	DIM	2
8	1	"l"	White	Black	DIM	2
9	1	"e"	White	Black	DIM	2
10	1	"t"	White	Black	DIM	2
11	1	" "	White	Black	DIM	2
12	1	"a"	White	Black	DIM	2
13	1	"t"	White	Black	DIM	2
14	1	"t"	White	Black	DIM	2
15	1	"e"	White	Black	DIM	2
16	1	"m"	White	Black	DIM	2
17	1	"p"	White	Black	DIM	2
18	1	"t"	White	Black	DIM	2
19	1	"s"	White	Black	DIM	2
20	1	" "	White	Black	DIM	2
21	1	"="	White	Black	DIM	2
22	1	" "	White	Black	DIM	2
23	1	"5"	White	Black	DIM	2
24	1	";"	White	Black	DIM	2
25	1	" "	Black	Black	NONE	0
26	1	" "	Black	Black	NONE	0
27	1	" "	Black	Black	NONE	0
28	1	" "	Black	Black	NONE	0
29	1	" "	Black	Black	NONE	0
30	1	" "	Black	Black	NONE	0
31	1	" "	Black	Black	NONE	0
32	1	" "	Black	Black	NONE	0
33	1	" "	Black	Black	NONE	0
34	1	" "	Black	Black	NONE	0
35	1	" "	Black	Black	NONE	0
36	1	" "	Black	Black	NONE	0
37	1	" "	Black	Black	NONE	0
38	1	" "	Black	Black	NONE	0
39	1	" "	Black	Black	NONE	0
40	1	" "	Black	Black	NONE	0
41	1	" "	Black	Black	NONE	0
42	1	" "	Black	Black	NONE	0
43	1	" "	Black	Black	NONE	0
44	1	" "	Black	Black	NONE	0
45	1	" "	Black	Black	NONE	0
46	1	" "	Black	Black	NONE	0
47	1	" "	Black	Black	NONE	0
48	1	" "	Black	Black	NONE	0
49	1	" "	Black	Black	NONE	0
50	1	" "	Black	Black	NONE	0
51	1	" "	Black	Black	NONE	0
52	1	" "	Black	Black	NONE	0
53	1	" "	Black	Black	NONE	0
54	1	" "	Black	Black	NONE	0
55	1	" "	Black	Black	NONE	0
56	1	" "	Black	Black	NONE	0
57	1	" "	Black	Black	NONE	0
58	1	" "	Black	Black	NONE	0
59	1	" "	Black	Black	NONE	0
60	1	" "	Black	Black	NONE	0
61	1	" "	Black	Black	NONE	0
62	1	" "	Black	Black	NONE	0
63	1	" "	Black	Black	NONE	0
64	1	" "	Black	Black	NONE	0
65	1	" "	Black	Black	NONE	0
66	1	" "	Black	Black	NONE	0
67	1	" "	Black	Black	NONE	0
68	1	" "	Black	Black	NONE	0
69	1	" "	Black	Black	NONE	0
70	1	" "	Black	Black	NONE	0
71	1	" "	Black	Black	NONE	0
72	1	" "	Black	Black	NONE	0
73	1	" "	Black	Black	NONE	0
74	1	" "	Black	Black	NONE	0
75	1	" "	Black	Black	NONE	0
76	1	" "	Black	Black	NONE	0
77	1	" "	Black	Black	NONE	0
78	1	" "	Black	Black	NONE	0
79	1	" "	Black	Black	NONE	0
80	1	" "	Black	Black	NONE	0
81	1	" "	Black	Black	NONE	0
82	1	" "	Black	Black	NONE	0
83	1	" "	Black	Black	NONE	0
84	1	" "	Black	Black	NONE	0
85	1	" "	Black	Black	NONE	0
86	1	" "	Black	Black	NONE	0
87	1	" "	Black	Black	NONE	0
88	1	" "	Black	Black	NONE	0
89	1	" "	Black	Black	NONE	0
90	1	" "	Black	Black	NONE	0
91	1	" "	Black	Black	NONE	0
92	1	" "	Black	Black	NONE	0
93	1	" "	Black	Black	NONE	0
94	1	" "	Black	Black	NONE	0
95	1	" "	Black	Black	NONE	0
96	1	" "	Black	Black	NONE	0
97	1	" "	Black	Black	NONE	0
98	1	" "	Black	Black	NONE	0
99	1	" "	Black	Black	NONE	0
100	1	" "	Black	Black	NONE	0
101	1	" "	Black	Black	NONE	0
102	1	" "	Black	Black	NONE	0
103	1	" "	Black	Black	NONE	0
104	1	" "	Black	Black	NONE	0
105	1	" "	Black	Black	NONE	0
106	1	" "	Black	Black	NONE	0
107	1	" "	Black	Black	NONE	0
108	1	" "	Black	Black	NONE	0
109	1	" "	Black	Black	NONE	0
110	1	" "	Black	Black	NONE	0
111	1	" "	Black	Black	NONE	0
112	1	" "	Black	Black	NONE	0
113	1	" "	Black	Black	NONE	0
114	1	" "	Black	Black	NONE	0
115	1	" "	Black	Black	NONE	0
116	1	" "	Black	Black	NONE	0
117	1	" "	Black	Black	NONE	0
118	1	" "	Black	Black	NONE	0
119	1	" "	Black	Black	NONE	0
0	2	" "	Black	Black	NONE	0
1	2	" "	Black	Black	NONE	0
2	2	" "	Black	Black	NONE	0
3	2	" "	Black	Black	NONE	0
4	2	"3"	Black	Black	NONE	0
5	2	" "	Black	Black	NONE	0
6	2	"}"	White	Black	DIM	2
7	2	" "	Black	Black	NONE	0
8	2	" "	Black	Black	NONE	0
9	2	" "	Black	Black	NONE	0
10	2	" "	Black	Black	NONE	0
11	2	" "	Black	Black	NONE	0
12	2	" "	Black	Black	NONE	0
13	2	" "	Black	Black	NONE	0
14	2	" "	Black	Black	NONE	0
15	2	" "	Black	Black	NONE	0
16	2	" "	Black	Black	NONE	0
17	2	" "	Black	Black	NONE	0
18	2	" "	Black	Black	NONE	0
19	2	" "	Black	Black	NONE	0
20	2	" "	Black	Black	NONE	0
21	2	" "	Black	Black	NONE	0
22	2	" "	Black	Black	NONE	0
23	2	" "	Black	Black	NONE	0
24	2	" "	Black	Black	NONE	0
25	2	" "	Black	Black	NONE	0
26	2	" "	Black	Black	NONE	0
27	2	" "	Black	Black	NONE	0
28	2	" "	Black	Black	NONE	0
29	2	" "	Black	Black	NONE	0
30	2	" "	Black	Black	NONE	0
31	2	" "	Black	Black	NONE	0
32	2	" "	Black	Black	NONE	0
33	2	" "	Black	Black	NONE	0
34	2	" "	Black	Black	NONE	0
35	2	" "	Black	Black	NONE	0
36	2	" "	Black	Black	NONE	0
37	2	" "	Black	Black	NONE	0
38	2	" "	Black	Black	NONE	0
39	2	" "	Black	Black	NONE	0
40	2	" "	Black	Black	NONE	0
41	2	" "	Black	Black	NONE	0
42	2	" "	Black	Black	NONE	0
43	2	" "	Black	Black	NONE	0
44	2	" "	Black	Black	NONE	0
45	2	" "	Black	Black	NONE	0
46	2	" "	Black	Black	NONE	0
47	2	" "	Black	Black	NONE	0
48	2	" "	Black	Black	NONE	0
49	2	" "	Black	Black	NONE	0
50	2	" "	Black	Black	NONE	0
51	2	" "	Black	Black	NONE	0
52	2	" "	Black	Black	NONE	0
53	2	" "	Black	Black	NONE	0
54	2	" "	Black	Black	NONE	0
55	2	" "	Black	Black	NONE	0
56	2	" "	Black	Black	NONE	0
57	2	" "	Black	Black	NONE	0
58	2	" "	Black	Black	NONE	0
59	2	" "	Black	Black	NONE	0
60	2	" "	Black	Black	NONE	0
61	2	" "	Black	Black	NONE	0
62	2	" "	Black	Black	NONE	0
63	2	" "	Black	Black	NONE	0
64	2	" "	Black	Black	NONE	0
65	2	" "	Black	Black	NONE	0
66	2	" "	Black	Black	NONE	0
67	2	" "	Black	Black	NONE	0
68	2	" "	Black	Black	NONE	0
69	2	" "	Black	Black	NONE	0
70	2	" "	Black	Black	NONE	0
71	2	" "	Black	Black	NONE	0
72	2	" "	Black	Black	NONE	0
73	2	" "	Black	Black	NONE	0
74	2	" "	Black	Black	NONE	0
75	2	" "	Black	Black	NONE	0
76	2	" "	Black	Black	NONE	0
77	2	" "	Black	Black	NONE	0
78	2	" "	Black	Black	NONE	0
79	2	" "	Black	Black	NONE	0
80	2	" "	Black	Black	NONE	0
81	2	" "	Black	Black	NONE	0
82	2	" "	Black	Black	NONE	0
83	2	" "	Black	Black	NONE	0
84	2	" "	Black	Black	NONE	0
85	2	" "	Black	Black	NONE	0
86	2	" "	Black	Black	NONE	0
87	2	" "	Black	Black	NONE	0
88	2	" "	Black	Black	NONE	0
89	2	" "	Black	Black	NONE	0
90	2	" "	Black	Black	NONE	0
91	2	" "	Black	Black	NONE	0
92	2	" "	Black	Black	NONE	0
93	2	" "	Black	Black	NONE	0
94	2	" "	Black	Black	NONE	0
95	2	" "	Black	Black	NONE	0
96	2	" "	Black	Black	NONE	0
97	2	" "	Black	Black	NONE	0
98	2	" "	Black	Black	NONE	0
99	2	" "	Black	Black	NONE	0
100	2	" "	Black	Black	NONE	0
101	2	" "	Black	Black	NONE	0
102	2	" "	Black	Black	NONE	0
103	2	" "	Black	Black	NONE	0
104	2	" "	Black	Black	NONE	0
105	2	" "	Black	Black	NONE	0
106	2	" "	Black	Black	NONE	0
107	2	" "	Black	Black	NONE	0
108	2	" "	Black	Black	NONE	0
109	2	" "	Black	Black	NONE	0
110	2	" "	Black	Black	NONE	0
111	2	" "	Black	Black	NONE	0
112	2	" "	Black	Black	NONE	0
113	2	" "	Black	Black	NONE	0
114	2	" "	Black	Black	NONE	0
115	2	" "	Black	Black	NONE	0
116	2	" "	Black	Black	NONE	0
117	2	" "	Black	Black	NONE	0
118	2	" "	Black	Black	NONE	0
119	2	" "	Black	Black	NONE	0
0	3	" "	Black	Black	NONE	0
1	3	" "	Black	Black	NONE	0
2	3	" "	Black	Black	NONE	0
3	3	" "	Black	Black	NONE	0
4	3	" "	Black	Black	NONE	0
5	3	" "	Black	Black	NONE	0
6	3	" "	Black	Black	NONE	0
7	3	" "	Black	Black	NONE	0
8	3	" "	Black	Black	NONE	0
9	3	" "	Black	Black	NONE	0
10	3	" "	Black	Black	NONE	0
11	3	" "	Black	Black	NONE	0
12	3	" "	Black	Black	NONE	0
13	3	" "	Black	Black	NONE	0
14	3	" "	Black	Black	NONE	0
15	3	" "	Black	Black	NONE	0
16	3	" "	Black	Black	NONE	0
17	3	" "	Black	Black	NONE	0
18	3	" "	Black	Black	NONE	0
19	3	" "	Black	Black	NONE	0
20	3	" "	Black	Black	NONE	0
21	3	" "	Black	Black	NONE	0
22	3	" "	Black	Black	NONE	0
23	3	" "	Black	Black	NONE	0
24	3	" "	Black	Black	NONE	0
25	3	" "	Black	Black	NONE	0
26	3	" "	Black	Black	NONE	0
27	3	" "	Black	Black	NONE	0
28	3	" "	Black	Black	NONE	0
29	3	" "	Black	Black	NONE	0
30	3	" "	Black	Black	NONE	0
