x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	"╭"	Black	Black	NONE	0
1	0	"─"	Black	Black	NONE	0
2	0	"─"	Black	Black	NONE	0
3	0	"─"	Black	Black	NONE	0
4	0	"─"	Black	Black	NONE	0
5	0	"─"	Black	Black	NONE	0
6	0	"─"	Black	Black	NONE	0
7	0	"─"	Black	Black	NONE	0
8	0	"─"	Black	Black	NONE	0
9	0	"─"	Black	Black	NONE	0
10	0	"─"	Black	Black	NONE	0
11	0	"─"	Black	Black	NONE	0
12	0	"─"	Black	Black	NONE	0
13	0	"─"	Black	Black	NONE	0
14	0	"─"	Black	Black	NONE	0
15	0	"─"	Black	Black	NONE	0
16	0	"─"	Black	Black	NONE	0
17	0	"─"	Black	Black	NONE	0
18	0	"─"	Black	Black	NONE	0
19	0	"─"	Black	Black	NONE	0
20	0	"─"	Black	Black	NONE	0
21	0	"─"	Black	Black	NONE	0
22	0	"─"	Black	Black	NONE	0
23	0	"─"	Black	Black	NONE	0
24	0	"─"	Black	Black	NONE	0
25	0	"─"	Black	Black	NONE	0
26	0	"─"	Black	Black	NONE	0
27	0	"─"	Black	Black	NONE	0
28	0	"─"	Black	Black	NONE	0
29	0	"─"	Black	Black	NONE	0
30	0	"─"	Black	Black	NONE	0
31	0	"─"	Black	Black	NONE	0
32	0	"─"	Black	Black	NONE	0
33	0	"─"	Black	Black	NONE	0
34	0	"─"	Black	Black	NONE	0
35	0	"─"	Black	Black	NONE	0
36	0	"─"	Black	Black	NONE	0
37	0	"─"	Black	Black	NONE	0
38	0	"─"	Black	Black	NONE	0
39	0	"╮"	Black	Black	NONE	0
0	1	"│"	Black	Black	NONE	0
1	1	" "	White	Black	NONE	0
2	1	" "	White	Black	NONE	0
3	1	" "	White	Black	NONE	0
4	1	"D"	White	Black	BOLD	1
5	1	"e"	White	Black	BOLD	1
6	1	"l"	White	Black	BOLD	1
7	1	"e"	White	Black	BOLD	1
8	1	"t"	White	Black	BOLD	1
9	1	"e"	White	Black	BOLD	1
10	1	" "	White	Black	BOLD	1
11	1	"t"	White	Black	BOLD	1
12	1	"a"	White	Black	BOLD	1
13	1	"b"	White	Black	BOLD	1
14	1	"l"	White	Black	BOLD	1
15	1	"e"	White	Black	BOLD	1
16	1	" "	White	Black	NONE	0
17	1	" "	White	Black	NONE	0
18	1	" "	White	Black	NONE	0
19	1	" "	White	Black	NONE	0
20	1	" "	White	Black	NONE	0
21	1	" "	White	Black	NONE	0
22	1	" "	White	Black	NONE	0
23	1	" "	White	Black	NONE	0
24	1	" "	White	Black	NONE	0
25	1	" "	White	Black	NONE	0
26	1	" "	White	Black	NONE	0
27	1	" "	White	Black	NONE	0
28	1	" "	White	Black	NONE	0
29	1	" "	White	Black	NONE	0
30	1	" "	White	Black	NONE	0
31	1	" "	White	Black	NONE	0
32	1	" "	White	Black	NONE	0
33	1	" "	White	Black	NONE	0
34	1	" "	White	Black	NONE	0
35	1	" "	White	Black	NONE	0
36	1	" "	White	Black	NONE	0
37	1	" "	White	Black	NONE	0
38	1	" "	White	Black	NONE	0
39	1	"│"	Black	Black	NONE	0
0	2	"│"	Black	Black	NONE	0
1	2	" "	White	Black	NONE	0
2	2	" "	White	Black	NONE	0
3	2	" "	White	Black	NONE	0
4	2	"T"	White	Black	NONE	0
5	2	"h"	White	Black	NONE	0
6	2	"i"	White	Black	NONE	0
7	2	"s"	White	Black	NONE	0
8	2	" "	White	Black	NONE	0
9	2	"c"	White	Black	NONE	0
10	2	"a"	White	Black	NONE	0
11	2	"n"	White	Black	NONE	0
12	2	"n"	White	Black	NONE	0
13	2	"o"	White	Black	NONE	0
14	2	"t"	White	Black	NONE	0
15	2	" "	White	Black	NONE	0
16	2	"b"	White	Black	NONE	0
17	2	"e"	White	Black	NONE	0
18	2	" "	White	Black	NONE	0
19	2	"u"	White	Black	NONE	0
20	2	"n"	White	Black	NONE	0
21	2	"d"	White	Black	NONE	0
22	2	"o"	White	Black	NONE	0
23	2	"n"	White	Black	NONE	0
24	2	"e"	White	Black	NONE	0
25	2	"."	White	Black	NONE	0
26	2	" "	White	Black	NONE	0
27	2	"E"	White	Black	NONE	0
28	2	"v"	White	Black	NONE	0
29	2	"e"	White	Black	NONE	0
30	2	"r"	White	Black	NONE	0
31	2	"y"	White	Black	NONE	0
32	2	" "	White	Black	NONE	0
33	2	"r"	White	Black	NONE	0
34	2	"o"	White	Black	NONE	0
35	2	"w"	White	Black	NONE	0
36	2	" "	White	Black	NONE	0
37	2	" "	White	Black	NONE	0
38	2	" "	White	Black	NONE	0
39	2	"│"	Black	Black	NONE	0
0	3	"│"	Black	Black	NONE	0
1	3	" "	White	Black	NONE	0
2	3	" "	White	Black	NONE	0
3	3	" "	White	Black	NONE	0
4	3	"a"	White	Black	NONE	0
5	3	"n"	White	Black	NONE	0
6	3	"d"	White	Black	NONE	0
7	3	" "	White	Black	NONE	0
8	3	"e"	White	Black	NONE	0
9	3	"v"	White	Black	NONE	0
10	3	"e"	White	Black	NONE	0
11	3	"r"	White	Black	NONE	0
12	3	"y"	White	Black	NONE	0
13	3	" "	White	Black	NONE	0
14	3	"i"	White	Black	NONE	0
15	3	"n"	White	Black	NONE	0
16	3	"d"	White	Black	NONE	0
17	3	"e"	White	Black	NONE	0
18	3	"x"	White	Black	NONE	0
19	3	" "	White	Black	NONE	0
20	3	"g"	White	Black	NONE	0
21	3	"o"	White	Black	NONE	0
22	3	"e"	White	Black	NONE	0
23	3	"s"	White	Black	NONE	0
24	3	" "	White	Black	NONE	0
25	3	"w"	White	Black	NONE	0
26	3	"i"	White	Black	NONE	0
27	3	"t"	White	Black	NONE	0
28	3	"h"	White	Black	NONE	0
29	3	" "	White	Black	NONE	0
30	3	"i"	White	Black	NONE	0
31	3	"t"	White	Black	NONE	0
32	3	"."	White	Black	NONE	0
33	3	" "	White	Black	NONE	0
34	3	" "	White	Black	NONE	0
35	3	" "	White	Black	NONE	0
36	3	" "	White	Black	NONE	0
37	3	" "	White	Black	NONE	0
38	3	" "	White	Black	NONE	0
39	3	"│"	Black	Black	NONE	0
0	4	"│"	Black	Black	NONE	0
1	4	" "	White	Black	NONE	0
2	4	" "	White	Black	NONE	0
3	4	" "	White	Black	NONE	0
4	4	" "	White	Black	NONE	0
5	4	" "	White	Black	NONE	0
6	4	" "	White	Black	NONE	0
7	4	" "	White	Black	NONE	0
8	4	" "	White	Black	NONE	0
9	4	" "	White	Black	NONE	0
10	4	" "	White	Black	NONE	0
11	4	" "	White	Black	NONE	0
12	4	" "	White	Black	NONE	0
13	4	" "	White	Black	NONE	0
14	4	" "	White	Black	NONE	0
15	4	" "	White	Black	NONE	0
16	4	" "	White	Black	NONE	0
17	4	" "	White	Black	NONE	0
18	4	" "	White	Black	NONE	0
19	4	" "	White	Black	NONE	0
20	4	" "	White	Black	NONE	0
21	4	" "	White	Black	NONE	0
22	4	" "	White	Black	NONE	0
23	4	" "	White	Black	NONE	0
24	4	" "	White	Black	NONE	0
25	4	" "	White	Black	NONE	0
26	4	" "	White	Black	NONE	0
27	4	" "	White	Black	NONE	0
28	4	" "	White	Black	NONE	0
29	4	" "	White	Black	NONE	0
30	4	" "	White	Black	NONE	0
31	4	" "	White	Black	NONE	0
32	4	" "	White	Black	NONE	0
33	4	" "	White	Black	NONE	0
34	4	" "	White	Black	NONE	0
35	4	" "	White	Black	NONE	0
36	4	" "	White	Black	NONE	0
37	4	" "	White	Black	NONE	0
38	4	" "	White	Black	NONE	0
39	4	"│"	Black	Black	NONE	0
0	5	"│"	Black	Black	NONE	0
1	5	" "	White	Black	NONE	0
2	5	" "	White	Black	NONE	0
3	5	" "	White	Black	NONE	0
4	5	" "	White	Black	NONE	0
5	5	" "	White	Black	NONE	0
6	5	" "	White	Black	NONE	0
7	5	" "	White	Black	NONE	0
8	5	" "	White	Black	NONE	0
9	5	" "	White	Black	NONE	0
10	5	" "	White	Black	NONE	0
11	5	" "	White	Black	NONE	0
12	5	" "	White	Black	NONE	0
13	5	" "	White	Black	NONE	0
14	5	" "	White	Black	NONE	0
15	5	" "	White	Black	NONE	0
16	5	" "	White	Black	NONE	0
17	5	" "	White	Black	NONE	0
18	5	" "	White	Black	NONE	0
19	5	" "	White	Black	NONE	0
20	5	" "	White	Black	NONE	0
21	5	" "	White	Black	NONE	0
22	5	" "	White	Black	NONE	0
23	5	" "	Black	Black	NONE	0
24	5	"C"	White	Black	DIM	2
25	5	"a"	White	Black	DIM	2
26	5	"n"	White	Black	DIM	2
27	5	"c"	White	Black	DIM	2
28	5	"e"	White	Black	DIM	2
29	5	"l"	White	Black	DIM	2
30	5	" "	Black	Black	NONE	0
31	5	" "	White	Black	NONE	0
32	5	" "	Black	Black	NONE	0
33	5	"O"	White	Black	DIM	2
34	5	"K"	White	Black	DIM	2
35	5	" "	Black	Black	NONE	0
36	5	" "	White	Black	NONE	0
37	5	" "	White	Black	NONE	0
38	5	" "	White	Black	NONE	0
39	5	"│"	Black	Black	NONE	0
0	6	"╰"	Black	Black	NONE	0
1	6	"─"	Black	Black	NONE	0
2	6	"─"	Black	Black	NONE	0
3	6	"─"	Black	Black	NONE	0
4	6	"─"	Black	Black	NONE	0
5	6	"─"	Black	Black	NONE	0
6	6	"─"	Black	Black	NONE	0
7	6	"─"	Black	Black	NONE	0
8	6	"─"	Black	Black	NONE	0
9	6	"─"	Black	Black	NONE	0
10	6	"─"	Black	Black	NONE	0
11	6	"─"	Black	Black	NONE	0
12	6	"─"	Black	Black	NONE	0
13	6	"─"	Black	Black	NONE	0
14	6	"─"	Black	Black	NONE	0
15	6	"─"	Black	Black	NONE	0
16	6	"─"	Black	Black	NONE	0
17	6	"─"	Black	Black	NONE	0
18	6	"─"	Black	Black	NONE	0
19	6	"─"	Black	Black	NONE	0
20	6	"─"	Black	Black	NONE	0
21	6	"─"	Black	Black	NONE	0
22	6	"─"	Black	Black	NONE	0
23	6	"─"	Black	Black	NONE	0
24	6	"─"	Black	Black	NONE	0
25	6	"─"	Black	Black	NONE	0
26	6	"─"	Black	Black	NONE	0
27	6	"─"	Black	Black	NONE	0
28	6	"─"	Black	Black	NONE	0
29	6	"─"	Black	Black	NONE	0
30	6	"─"	Black	Black	NONE	0
31	6	"─"	Black	Black	NONE	0
32	6	"─"	Black	Black	NONE	0
33	6	"─"	Black	Black	NONE	0
34	6	"─"	Black	Black	NONE	0
35	6	"─"	Black	Black	NONE	0
36	6	"─"	Black	Black	NONE	0
37	6	"─"	Black	Black	NONE	0
38	6	"─"	Black	Black	NONE	0
39	6	"╯"	Black	Black	NONE	0
0	7	" "	Reset	Reset	NONE	0
1	7	" "	Reset	Reset	NONE	0
2	7	" "	Reset	Reset	NONE	0
3	7	" "	Reset	Reset	NONE	0
4	7	" "	Reset	Reset	NONE	0
5	7	" "	Reset	Reset	NONE	0
6	7	" "	Reset	Reset	NONE	0
7	7	" "	Reset	Reset	NONE	0
8	7	" "	Reset	Reset	NONE	0
9	7	" "	Reset	Reset	NONE	0
10	7	" "	Reset	Reset	NONE	0
11	7	" "	Reset	Reset	NONE	0
12	7	" "	Reset	Reset	NONE	0
13	7	" "	Reset	Reset	NONE	0
14	7	" "	Reset	Reset	NONE	0
15	7	" "	Reset	Reset	NONE	0
16	7	" "	Reset	Reset	NONE	0
17	7	" "	Reset	Reset	NONE	0
18	7	" "	Reset	Reset	NONE	0
19	7	" "	Reset	Reset	NONE	0
20	7	" "	Reset	Reset	NONE	0
21	7	" "	Reset	Reset	NONE	0
22	7	" "	Reset	Reset	NONE	0
23	7	" "	Reset	Reset	NONE	0
24	7	" "	Reset	Reset	NONE	0
25	7	" "	Reset	Reset	NONE	0
26	7	" "	Reset	Reset	NONE	0
27	7	" "	Reset	Reset	NONE	0
28	7	" "	Reset	Reset	NONE	0
29	7	" "	Reset	Reset	NONE	0
30	7	" "	Reset	Reset	NONE	0
31	7	" "	Reset	Reset	NONE	0
32	7	" "	Reset	Reset	NONE	0
33	7	" "	Reset	Reset	NONE	0
34	7	" "	Reset	Reset	NONE	0
35	7	" "	Reset	Reset	NONE	0
36	7	" "	Reset	Reset	NONE	0
37	7	" "	Reset	Reset	NONE	0
38	7	" "	Reset	Reset	NONE	0
39	7	" "	Reset	Reset	NONE	0
0	8	" "	Reset	Reset	NONE	0
1	8	" "	Reset	Reset	NONE	0
2	8	" "	Reset	Reset	NONE	0
3	8	" "	Reset	Reset	NONE	0
4	8	" "	Reset	Reset	NONE	0
5	8	" "	Reset	Reset	NONE	0
6	8	" "	Reset	Reset	NONE	0
7	8	" "	Reset	Reset	NONE	0
8	8	" "	Reset	Reset	NONE	0
9	8	" "	Reset	Reset	NONE	0
10	8	" "	Reset	Reset	NONE	0
11	8	" "	Reset	Reset	NONE	0
12	8	" "	Reset	Reset	NONE	0
13	8	" "	Reset	Reset	NONE	0
14	8	" "	Reset	Reset	NONE	0
15	8	" "	Reset	Reset	NONE	0
16	8	" "	Reset	Reset	NONE	0
17	8	" "	Reset	Reset	NONE	0
18	8	" "	Reset	Reset	NONE	0
19	8	" "	Reset	Reset	NONE	0
20	8	" "	Reset	Reset	NONE	0
21	8	" "	Reset	Reset	NONE	0
22	8	" "	Reset	Reset	NONE	0
23	8	" "	Reset	Reset	NONE	0
24	8	" "	Reset	Reset	NONE	0
25	8	" "	Reset	Reset	NONE	0
26	8	" "	Reset	Reset	NONE	0
27	8	" "	Reset	Reset	NONE	0
28	8	" "	Reset	Reset	NONE	0
29	8	" "	Reset	Reset	NONE	0
30	8	" "	Reset	Reset	NONE	0
31	8	" "	Reset	Reset	NONE	0
32	8	" "	Reset	Reset	NONE	0
33	8	" "	Reset	Reset	NONE	0
34	8	" "	Reset	Reset	NONE	0
35	8	" "	Reset	Reset	NONE	0
36	8	" "	Reset	Reset	NONE	0
37	8	" "	Reset	Reset	NONE	0
38	8	" "	Reset	Reset	NONE	0
39	8	" "	Reset	Reset	NONE	0
0	9	" "	Reset	Reset	NONE	0
1	9	" "	Reset	Reset	NONE	0
2	9	" "	Reset	Reset	NONE	0
3	9	" "	Reset	Reset	NONE	0
4	9	" "	Reset	Reset	NONE	0
5	9	" "	Reset	Reset	NONE	0
6	9	" "	Reset	Reset	NONE	0
7	9	" "	Reset	Reset	NONE	0
8	9	" "	Reset	Reset	NONE	0
9	9	" "	Reset	Reset	NONE	0
10	9	" "	Reset	Reset	NONE	0
11	9	" "	Reset	Reset	NONE	0
12	9	" "	Reset	Reset	NONE	0
13	9	" "	Reset	Reset	NONE	0
14	9	" "	Reset	Reset	NONE	0
15	9	" "	Reset	Reset	NONE	0
16	9	" "	Reset	Reset	NONE	0
17	9	" "	Reset	Reset	NONE	0
18	9	" "	Reset	Reset	NONE	0
19	9	" "	Reset	Reset	NONE	0
20	9	" "	Reset	Reset	NONE	0
