x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	"╭"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
1	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
2	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
3	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
4	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
5	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
6	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
7	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
8	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
9	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
10	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
11	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
12	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
13	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
14	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
15	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
16	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
17	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
18	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
19	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
20	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
21	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
22	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
23	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
24	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
25	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
26	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
27	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
28	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
29	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
30	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
31	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
32	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
33	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
34	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
35	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
36	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
37	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
38	0	"─"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
39	0	"╮"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
0	1	"│"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
1	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
2	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
3	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
4	1	"D"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
5	1	"e"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
6	1	"l"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
7	1	"e"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
8	1	"t"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
9	1	"e"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
10	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
11	1	"t"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
12	1	"a"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
13	1	"b"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
14	1	"l"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
15	1	"e"	Rgb(255, 255, 255)	Rgb(24, 24, 27)	BOLD	1
16	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
17	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
18	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
19	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
20	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
21	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
22	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
23	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
24	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
25	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
26	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
27	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
28	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
29	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
30	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
31	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
32	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
33	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
34	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
35	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
36	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
37	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
38	1	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
39	1	"│"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
0	2	"│"	Rgb(77, 77, 77)	Rgb(24, 24, 27)	NONE	0
1	2	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
2	2	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
3	2	" "	Rgb(255, 255, 255)	Rgb(24, 24, 27)	NONE	0
4	2	"T"	Rgb(179, 179, 179)	Rgb(24, 24, 27)	NONE	0
5	2	"h"	Rgb(179, 179, 179)	Rgb(24, 24, 27)	NONE	0
