x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	"┌"	Black	White	NONE	0
1	0	"─"	Black	White	NONE	0
2	0	"─"	Black	White	NONE	0
3	0	"─"	Black	White	NONE	0
4	0	"─"	Black	White	NONE	0
5	0	"─"	Black	White	NONE	0
6	0	"─"	Black	White	NONE	0
7	0	"─"	Black	White	NONE	0
8	0	"─"	Black	White	NONE	0
9	0	"─"	Black	White	NONE	0
10	0	"─"	Black	White	NONE	0
11	0	"─"	Black	White	NONE	0
12	0	"─"	Black	White	NONE	0
13	0	"─"	Black	White	NONE	0
14	0	"─"	Black	White	NONE	0
15	0	"─"	Black	White	NONE	0
16	0	"─"	Black	White	NONE	0
17	0	"─"	Black	White	NONE	0
18	0	"─"	Black	White	NONE	0
19	0	"─"	Black	White	NONE	0
20	0	"─"	Black	White	NONE	0
21	0	"─"	Black	White	NONE	0
22	0	"─"	Black	White	NONE	0
23	0	"─"	Black	White	NONE	0
24	0	"─"	Black	White	NONE	0
25	0	"─"	Black	White	NONE	0
26	0	"─"	Black	White	NONE	0
27	0	"─"	Black	White	NONE	0
28	0	"─"	Black	White	NONE	0
29	0	"─"	Black	White	NONE	0
30	0	"─"	Black	White	NONE	0
31	0	"─"	Black	White	NONE	0
32	0	"─"	Black	White	NONE	0
33	0	"─"	Black	White	NONE	0
34	0	"─"	Black	White	NONE	0
35	0	"─"	Black	White	NONE	0
36	0	"─"	Black	White	NONE	0
37	0	"─"	Black	White	NONE	0
38	0	"─"	Black	White	NONE	0
39	0	"┐"	Black	White	NONE	0
0	1	"│"	Black	White	NONE	0
1	1	" "	Black	White	NONE	0
2	1	" "	Black	White	NONE	0
3	1	" "	Black	White	NONE	0
4	1	"D"	Black	White	BOLD	1
5	1	"e"	Black	White	BOLD	1
6	1	"l"	Black	White	BOLD	1
7	1	"e"	Black	White	BOLD	1
8	1	"t"	Black	White	BOLD	1
9	1	"e"	Black	White	BOLD	1
10	1	" "	Black	White	BOLD	1
11	1	"t"	Black	White	BOLD	1
12	1	"a"	Black	White	BOLD	1
13	1	"b"	Black	White	BOLD	1
14	1	"l"	Black	White	BOLD	1
15	1	"e"	Black	White	BOLD	1
16	1	" "	Black	White	NONE	0
17	1	" "	Black	White	NONE	0
18	1	" "	Black	White	NONE	0
19	1	" "	Black	White	NONE	0
20	1	" "	Black	White	NONE	0
21	1	" "	Black	White	NONE	0
22	1	" "	Black	White	NONE	0
23	1	" "	Black	White	NONE	0
24	1	" "	Black	White	NONE	0
25	1	" "	Black	White	NONE	0
26	1	" "	Black	White	NONE	0
27	1	" "	Black	White	NONE	0
28	1	" "	Black	White	NONE	0
29	1	" "	Black	White	NONE	0
30	1	" "	Black	White	NONE	0
31	1	" "	Black	White	NONE	0
32	1	" "	Black	White	NONE	0
33	1	" "	Black	White	NONE	0
34	1	" "	Black	White	NONE	0
35	1	" "	Black	White	NONE	0
36	1	" "	Black	White	NONE	0
37	1	" "	Black	White	NONE	0
38	1	" "	Black	White	NONE	0
39	1	"│"	Black	White	NONE	0
0	2	"│"	Black	White	NONE	0
1	2	" "	Black	White	NONE	0
2	2	" "	Black	White	NONE	0
3	2	" "	Black	White	NONE	0
4	2	"T"	Black	White	NONE	0
5	2	"h"	Black	White	NONE	0
6	2	"i"	Black	White	NONE	0
7	2	"s"	Black	White	NONE	0
