x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Black	Black	NONE	0
1	0	" "	White	Black	NONE	0
2	0	" "	Black	Black	NONE	0
3	0	"A"	White	Black	DIM	2
4	0	"d"	White	Black	DIM	2
5	0	"a"	White	Black	DIM	2
6	0	" "	White	Black	DIM	2
7	0	"L"	White	Black	DIM	2
8	0	"o"	White	Black	DIM	2
9	0	"v"	White	Black	DIM	2
10	0	"e"	White	Black	DIM	2
11	0	"l"	White	Black	DIM	2
12	0	"a"	White	Black	DIM	2
13	0	"c"	White	Black	DIM	2
14	0	"e"	White	Black	DIM	2
15	0	" "	Black	Black	NONE	0
16	0	" "	Black	Black	NONE	0
17	0	" "	Black	Black	NONE	0
18	0	" "	Black	Black	NONE	0
19	0	" "	Black	Black	NONE	0
20	0	" "	Black	Black	NONE	0
21	0	" "	Black	Black	NONE	0
22	0	" "	Black	Black	NONE	0
23	0	" "	Black	Black	NONE	0
24	0	" "	Black	Black	NONE	0
25	0	" "	Black	Black	NONE	0
26	0	" "	Black	Black	NONE	0
27	0	" "	Black	Black	NONE	0
28	0	" "	Black	Black	NONE	0
29	0	" "	Black	Black	NONE	0
30	0	" "	Black	Black	NONE	0
31	0	" "	Black	Black	NONE	0
32	0	" "	Black	Black	NONE	0
33	0	"a"	Black	Black	NONE	0
34	0	"n"	Black	Black	NONE	0
35	0	"a"	Black	Black	NONE	0
36	0	"l"	Black	Black	NONE	0
37	0	"y"	Black	Black	NONE	0
38	0	"s"	Black	Black	NONE	0
39	0	"t"	Black	Black	NONE	0
0	1	" "	Black	Black	NONE	0
1	1	" "	White	Black	NONE	0
2	1	" "	Black	Black	NONE	0
3	1	"G"	White	Black	DIM	2
4	1	"r"	White	Black	DIM	2
5	1	"a"	White	Black	DIM	2
6	1	"c"	White	Black	DIM	2
7	1	"e"	White	Black	DIM	2
8	1	" "	White	Black	DIM	2
9	1	"H"	White	Black	DIM	2
10	1	"o"	White	Black	DIM	2
11	1	"p"	White	Black	DIM	2
12	1	"p"	White	Black	DIM	2
13	1	"e"	White	Black	DIM	2
14	1	"r"	White	Black	DIM	2
15	1	" "	Black	Black	NONE	0
16	1	" "	Black	Black	NONE	0
17	1	" "	Black	Black	NONE	0
18	1	" "	Black	Black	NONE	0
19	1	" "	Black	Black	NONE	0
20	1	" "	Black	Black	NONE	0
21	1	" "	Black	Black	NONE	0
22	1	" "	Black	Black	NONE	0
23	1	" "	Black	Black	NONE	0
24	1	" "	Black	Black	NONE	0
25	1	" "	Black	Black	NONE	0
26	1	" "	Black	Black	NONE	0
27	1	" "	Black	Black	NONE	0
28	1	"r"	Black	Black	NONE	0
29	1	"e"	Black	Black	NONE	0
30	1	"a"	Black	Black	NONE	0
31	1	"r"	Black	Black	NONE	0
32	1	" "	Black	Black	NONE	0
33	1	"a"	Black	Black	NONE	0
34	1	"d"	Black	Black	NONE	0
35	1	"m"	Black	Black	NONE	0
36	1	"i"	Black	Black	NONE	0
37	1	"r"	Black	Black	NONE	0
38	1	"a"	Black	Black	NONE	0
39	1	"l"	Black	Black	NONE	0
0	2	" "	Black	Black	NONE	0
1	2	" "	White	Black	NONE	0
2	2	" "	Black	Black	NONE	0
3	2	"A"	White	Black	DIM	2
4	2	"l"	White	Black	DIM	2
5	2	"a"	White	Black	DIM	2
6	2	"n"	White	Black	DIM	2
7	2	" "	White	Black	DIM	2
8	2	"T"	White	Black	DIM	2
9	2	"u"	White	Black	DIM	2
10	2	"r"	White	Black	DIM	2
11	2	"i"	White	Black	DIM	2
12	2	"n"	White	Black	DIM	2
13	2	"g"	White	Black	DIM	2
14	2	" "	Black	Black	NONE	0
15	2	" "	Black	Black	NONE	0
16	2	" "	Black	Black	NONE	0
17	2	" "	Black	Black	NONE	0
18	2	" "	Black	Black	NONE	0
19	2	" "	Black	Black	NONE	0
20	2	" "	Black	Black	NONE	0
21	2	" "	Black	Black	NONE	0
22	2	" "	Black	Black	NONE	0
23	2	" "	Black	Black	NONE	0
24	2	" "	Black	Black	NONE	0
25	2	" "	Black	Black	NONE	0
26	2	" "	Black	Black	NONE	0
27	2	" "	Black	Black	NONE	0
28	2	" "	Black	Black	NONE	0
29	2	" "	Black	Black	NONE	0
30	2	" "	Black	Black	NONE	0
31	2	" "	Black	Black	NONE	0
32	2	"l"	Black	Black	NONE	0
33	2	"o"	Black	Black	NONE	0
34	2	"g"	Black	Black	NONE	0
35	2	"i"	Black	Black	NONE	0
36	2	"c"	Black	Black	NONE	0
