x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Black	White	NONE	0
1	0	" "	Black	White	NONE	0
2	0	" "	Black	White	NONE	0
3	0	"A"	Black	White	DIM	2
4	0	"d"	Black	White	DIM	2
5	0	"a"	Black	White	DIM	2
6	0	" "	Black	White	DIM	2
7	0	"L"	Black	White	DIM	2
8	0	"o"	Black	White	DIM	2
9	0	"v"	Black	White	DIM	2
10	0	"e"	Black	White	DIM	2
11	0	"l"	Black	White	DIM	2
12	0	"a"	Black	White	DIM	2
13	0	"c"	Black	White	DIM	2
14	0	"e"	Black	White	DIM	2
15	0	" "	Black	White	NONE	0
16	0	" "	Black	White	NONE	0
17	0	" "	Black	White	NONE	0
18	0	" "	Black	White	NONE	0
19	0	" "	Black	White	NONE	0
20	0	" "	Black	White	NONE	0
21	0	" "	Black	White	NONE	0
22	0	" "	Black	White	NONE	0
23	0	" "	Black	White	NONE	0
24	0	" "	Black	White	NONE	0
25	0	" "	Black	White	NONE	0
26	0	" "	Black	White	NONE	0
27	0	" "	Black	White	NONE	0
28	0	" "	Black	White	NONE	0
29	0	" "	Black	White	NONE	0
30	0	" "	Black	White	NONE	0
31	0	" "	Black	White	NONE	0
32	0	" "	Black	White	NONE	0
33	0	"a"	Black	White	NONE	0
34	0	"n"	Black	White	NONE	0
35	0	"a"	Black	White	NONE	0
36	0	"l"	Black	White	NONE	0
37	0	"y"	Black	White	NONE	0
38	0	"s"	Black	White	NONE	0
39	0	"t"	Black	White	NONE	0
0	1	" "	Black	White	NONE	0
1	1	" "	Black	White	NONE	0
2	1	" "	Black	White	NONE	0
3	1	"G"	Black	White	DIM	2
4	1	"r"	Black	White	DIM	2
5	1	"a"	Black	White	DIM	2
6	1	"c"	Black	White	DIM	2
7	1	"e"	Black	White	DIM	2
8	1	" "	Black	White	DIM	2
9	1	"H"	Black	White	DIM	2
10	1	"o"	Black	White	DIM	2
11	1	"p"	Black	White	DIM	2
12	1	"p"	Black	White	DIM	2
13	1	"e"	Black	White	DIM	2
14	1	"r"	Black	White	DIM	2
15	1	" "	Black	White	NONE	0
16	1	" "	Black	White	NONE	0
17	1	" "	Black	White	NONE	0
18	1	" "	Black	White	NONE	0
19	1	" "	Black	White	NONE	0
20	1	" "	Black	White	NONE	0
21	1	" "	Black	White	NONE	0
22	1	" "	Black	White	NONE	0
23	1	" "	Black	White	NONE	0
24	1	" "	Black	White	NONE	0
25	1	" "	Black	White	NONE	0
26	1	" "	Black	White	NONE	0
27	1	" "	Black	White	NONE	0
28	1	"r"	Black	White	NONE	0
29	1	"e"	Black	White	NONE	0
30	1	"a"	Black	White	NONE	0
31	1	"r"	Black	White	NONE	0
32	1	" "	Black	White	NONE	0
33	1	"a"	Black	White	NONE	0
34	1	"d"	Black	White	NONE	0
35	1	"m"	Black	White	NONE	0
36	1	"i"	Black	White	NONE	0
37	1	"r"	Black	White	NONE	0
38	1	"a"	Black	White	NONE	0
39	1	"l"	Black	White	NONE	0
0	2	" "	Black	White	NONE	0
1	2	" "	Black	White	NONE	0
2	2	" "	Black	White	NONE	0
3	2	"A"	Black	White	DIM	2
4	2	"l"	Black	White	DIM	2
5	2	"a"	Black	White	DIM	2
6	2	"n"	Black	White	DIM	2
7	2	" "	Black	White	DIM	2
8	2	"T"	Black	White	DIM	2
