x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	"A"	Black	White	BOLD | UNDERLINED	9
1	0	"c"	Black	White	BOLD | UNDERLINED	9
2	0	"c"	Black	White	BOLD | UNDERLINED	9
3	0	"o"	Black	White	BOLD | UNDERLINED	9
4	0	"u"	Black	White	BOLD | UNDERLINED	9
5	0	"n"	Black	White	BOLD | UNDERLINED	9
6	0	"t"	Black	White	BOLD | UNDERLINED	9
7	0	" "	Black	White	BOLD	1
8	0	" "	Black	White	BOLD	1
9	0	" "	Black	White	BOLD	1
10	0	"V"	Black	White	BOLD	1
11	0	"a"	Black	White	BOLD	1
12	0	"u"	Black	White	BOLD	1
13	0	"l"	Black	White	BOLD	1
14	0	"t"	Black	White	BOLD	1
15	0	" "	Black	White	BOLD	1
16	0	" "	Black	White	BOLD	1
17	0	" "	Black	White	BOLD	1
18	0	" "	Black	White	BOLD	1
19	0	" "	Black	White	BOLD	1
20	0	" "	Black	White	BOLD	1
21	0	" "	Black	White	BOLD	1
22	0	" "	Black	White	BOLD	1
23	0	" "	Black	White	BOLD	1
24	0	" "	Black	White	BOLD	1
25	0	" "	Black	White	BOLD	1
26	0	" "	Black	White	BOLD	1
27	0	" "	Black	White	BOLD	1
28	0	" "	Black	White	BOLD	1
29	0	" "	Black	White	BOLD	1
30	0	" "	Black	White	BOLD	1
31	0	" "	Black	White	BOLD	1
32	0	" "	Black	White	BOLD	1
33	0	" "	Black	White	BOLD	1
34	0	" "	Black	White	BOLD	1
35	0	" "	Black	White	BOLD	1
36	0	" "	Black	White	BOLD	1
37	0	" "	Black	White	BOLD	1
38	0	" "	Black	White	BOLD	1
39	0	" "	Black	White	BOLD	1
0	1	" "	Black	White	NONE	0
1	1	" "	Black	White	NONE	0
2	1	" "	Black	White	NONE	0
3	1	" "	Black	White	NONE	0
4	1	" "	Black	White	NONE	0
5	1	" "	Black	White	NONE	0
6	1	" "	Black	White	NONE	0
7	1	" "	Black	White	NONE	0
8	1	" "	Black	White	NONE	0
9	1	" "	Black	White	NONE	0
10	1	" "	Black	White	NONE	0
11	1	" "	Black	White	NONE	0
12	1	" "	Black	White	NONE	0
13	1	" "	Black	White	NONE	0
14	1	" "	Black	White	NONE	0
15	1	" "	Black	White	NONE	0
16	1	" "	Black	White	NONE	0
17	1	" "	Black	White	NONE	0
18	1	" "	Black	White	NONE	0
19	1	" "	Black	White	NONE	0
20	1	" "	Black	White	NONE	0
21	1	" "	Black	White	NONE	0
22	1	" "	Black	White	NONE	0
23	1	" "	Black	White	NONE	0
24	1	" "	Black	White	NONE	0
25	1	" "	Black	White	NONE	0
26	1	" "	Black	White	NONE	0
27	1	" "	Black	White	NONE	0
28	1	" "	Black	White	NONE	0
29	1	" "	Black	White	NONE	0
30	1	" "	Black	White	NONE	0
31	1	" "	Black	White	NONE	0
32	1	" "	Black	White	NONE	0
33	1	" "	Black	White	NONE	0
34	1	" "	Black	White	NONE	0
35	1	" "	Black	White	NONE	0
36	1	" "	Black	White	NONE	0
37	1	" "	Black	White	NONE	0
38	1	" "	Black	White	NONE	0
39	1	" "	Black	White	NONE	0
0	2	" "	Black	White	NONE	0
1	2	" "	Black	White	NONE	0
2	2	" "	Black	White	NONE	0
3	2	" "	Black	White	NONE	0
4	2	" "	Black	White	NONE	0
5	2	" "	Black	White	NONE	0
6	2	" "	Black	White	NONE	0
7	2	" "	Black	White	NONE	0
8	2	" "	Black	White	NONE	0
9	2	" "	Black	White	NONE	0
10	2	" "	Black	White	NONE	0
11	2	" "	Black	White	NONE	0
12	2	" "	Black	White	NONE	0
13	2	" "	Black	White	NONE	0
14	2	" "	Black	White	NONE	0
15	2	" "	Black	White	NONE	0
16	2	" "	Black	White	NONE	0
17	2	" "	Black	White	NONE	0
18	2	" "	Black	White	NONE	0
19	2	" "	Black	White	NONE	0
20	2	" "	Black	White	NONE	0
21	2	" "	Black	White	NONE	0
22	2	" "	Black	White	NONE	0
23	2	" "	Black	White	NONE	0
24	2	" "	Black	White	NONE	0
25	2	" "	Black	White	NONE	0
26	2	" "	Black	White	NONE	0
27	2	" "	Black	White	NONE	0
28	2	" "	Black	White	NONE	0
29	2	" "	Black	White	NONE	0
30	2	" "	Black	White	NONE	0
31	2	" "	Black	White	NONE	0
32	2	" "	Black	White	NONE	0
33	2	" "	Black	White	NONE	0
34	2	" "	Black	White	NONE	0
35	2	" "	Black	White	NONE	0
36	2	" "	Black	White	NONE	0
37	2	" "	Black	White	NONE	0
38	2	" "	Black	White	NONE	0
39	2	" "	Black	White	NONE	0
0	3	" "	Black	White	NONE	0
1	3	" "	Black	White	NONE	0
2	3	" "	Black	White	NONE	0
3	3	" "	Black	White	NONE	0
4	3	" "	Black	White	NONE	0
5	3	" "	Black	White	NONE	0
6	3	" "	Black	White	NONE	0
7	3	" "	Black	White	NONE	0
8	3	" "	Black	White	NONE	0
9	3	" "	Black	White	NONE	0
10	3	" "	Black	White	NONE	0
11	3	" "	Black	White	NONE	0
12	3	" "	Black	White	NONE	0
13	3	" "	Black	White	NONE	0
14	3	" "	Black	White	NONE	0
15	3	" "	Black	White	NONE	0
16	3	" "	Black	White	NONE	0
17	3	" "	Black	White	NONE	0
18	3	" "	Black	White	NONE	0
19	3	" "	Black	White	NONE	0
20	3	" "	Black	White	NONE	0
21	3	" "	Black	White	NONE	0
22	3	" "	Black	White	NONE	0
23	3	" "	Black	White	NONE	0
24	3	" "	Black	White	NONE	0
25	3	" "	Black	White	NONE	0
26	3	" "	Black	White	NONE	0
27	3	" "	Black	White	NONE	0
28	3	" "	Black	White	NONE	0
29	3	" "	Black	White	NONE	0
30	3	" "	Black	White	NONE	0
31	3	" "	Black	White	NONE	0
32	3	" "	Black	White	NONE	0
33	3	" "	Black	White	NONE	0
34	3	" "	Black	White	NONE	0
35	3	" "	Black	White	NONE	0
36	3	" "	Black	White	NONE	0
37	3	" "	Black	White	NONE	0
38	3	" "	Black	White	NONE	0
39	3	" "	Black	White	NONE	0
0	4	" "	Black	White	NONE	0
1	4	" "	Black	White	NONE	0
2	4	" "	Black	White	NONE	0
3	4	" "	Black	White	NONE	0
4	4	" "	Black	White	NONE	0
5	4	" "	Black	White	NONE	0
6	4	" "	Black	White	NONE	0
7	4	" "	Black	White	NONE	0
8	4	" "	Black	White	NONE	0
9	4	" "	Black	White	NONE	0
10	4	" "	Black	White	NONE	0
11	4	" "	Black	White	NONE	0
12	4	" "	Black	White	NONE	0
13	4	" "	Black	White	NONE	0
14	4	" "	Black	White	NONE	0
15	4	" "	Black	White	NONE	0
16	4	" "	Black	White	NONE	0
17	4	" "	Black	White	NONE	0
18	4	" "	Black	White	NONE	0
19	4	" "	Black	White	NONE	0
20	4	" "	Black	White	NONE	0
21	4	" "	Black	White	NONE	0
22	4	" "	Black	White	NONE	0
23	4	" "	Black	White	NONE	0
24	4	" "	Black	White	NONE	0
25	4	" "	Black	White	NONE	0
26	4	" "	Black	White	NONE	0
27	4	" "	Black	White	NONE	0
28	4	" "	Black	White	NONE	0
29	4	" "	Black	White	NONE	0
30	4	" "	Black	White	NONE	0
31	4	" "	Black	White	NONE	0
32	4	" "	Black	White	NONE	0
33	4	" "	Black	White	NONE	0
34	4	" "	Black	White	NONE	0
35	4	" "	Black	White	NONE	0
36	4	" "	Black	White	NONE	0
37	4	" "	Black	White	NONE	0
38	4	" "	Black	White	NONE	0
39	4	" "	Black	White	NONE	0
0	5	" "	Black	White	NONE	0
1	5	" "	Black	White	NONE	0
2	5	" "	Black	White	NONE	0
3	5	" "	Black	White	NONE	0
4	5	" "	Black	White	NONE	0
5	5	" "	Black	White	NONE	0
6	5	" "	Black	White	NONE	0
7	5	" "	Black	White	NONE	0
8	5	" "	Black	White	NONE	0
9	5	" "	Black	White	NONE	0
10	5	" "	Black	White	NONE	0
11	5	" "	Black	White	NONE	0
12	5	" "	Black	White	NONE	0
13	5	" "	Black	White	NONE	0
14	5	" "	Black	White	NONE	0
15	5	" "	Black	White	NONE	0
16	5	" "	Black	White	NONE	0
17	5	" "	Black	White	NONE	0
18	5	" "	Black	White	NONE	0
19	5	" "	Black	White	NONE	0
20	5	" "	Black	White	NONE	0
21	5	" "	Black	White	NONE	0
22	5	" "	Black	White	NONE	0
23	5	" "	Black	White	NONE	0
24	5	" "	Black	White	NONE	0
25	5	" "	Black	White	NONE	0
26	5	" "	Black	White	NONE	0
27	5	" "	Black	White	NONE	0
28	5	" "	Black	White	NONE	0
29	5	" "	Black	White	NONE	0
30	5	" "	Black	White	NONE	0
31	5	" "	Black	White	NONE	0
32	5	" "	Black	White	NONE	0
33	5	" "	Black	White	NONE	0
34	5	" "	Black	White	NONE	0
35	5	" "	Black	White	NONE	0
36	5	" "	Black	White	NONE	0
37	5	" "	Black	White	NONE	0
38	5	" "	Black	White	NONE	0
39	5	" "	Black	White	NONE	0
0	6	" "	Black	White	NONE	0
1	6	" "	Black	White	NONE	0
2	6	" "	Black	White	NONE	0
3	6	" "	Black	White	NONE	0
4	6	" "	Black	White	NONE	0
5	6	" "	Black	White	NONE	0
6	6	" "	Black	White	NONE	0
7	6	" "	Black	White	NONE	0
8	6	" "	Black	White	NONE	0
9	6	" "	Black	White	NONE	0
10	6	" "	Black	White	NONE	0
11	6	" "	Black	White	NONE	0
12	6	" "	Black	White	NONE	0
13	6	" "	Black	White	NONE	0
14	6	" "	Black	White	NONE	0
15	6	" "	Black	White	NONE	0
16	6	" "	Black	White	NONE	0
17	6	" "	Black	White	NONE	0
18	6	" "	Black	White	NONE	0
19	6	" "	Black	White	NONE	0
20	6	" "	Black	White	NONE	0
21	6	" "	Black	White	NONE	0
22	6	" "	Black	White	NONE	0
23	6	" "	Black	White	NONE	0
24	6	" "	Black	White	NONE	0
25	6	" "	Black	White	NONE	0
26	6	" "	Black	White	NONE	0
27	6	" "	Black	White	NONE	0
28	6	" "	Black	White	NONE	0
29	6	" "	Black	White	NONE	0
30	6	" "	Black	White	NONE	0
31	6	" "	Black	White	NONE	0
32	6	" "	Black	White	NONE	0
33	6	" "	Black	White	NONE	0
34	6	" "	Black	White	NONE	0
35	6	" "	Black	White	NONE	0
36	6	" "	Black	White	NONE	0
37	6	" "	Black	White	NONE	0
38	6	" "	Black	White	NONE	0
39	6	" "	Black	White	NONE	0
0	7	" "	Black	White	NONE	0
1	7	" "	Black	White	NONE	0
2	7	" "	Black	White	NONE	0
3	7	" "	Black	White	NONE	0
4	7	" "	Black	White	NONE	0
5	7	" "	Black	White	NONE	0
6	7	" "	Black	White	NONE	0
7	7	" "	Black	White	NONE	0
8	7	" "	Black	White	NONE	0
9	7	" "	Black	White	NONE	0
10	7	" "	Black	White	NONE	0
11	7	" "	Black	White	NONE	0
12	7	" "	Black	White	NONE	0
13	7	" "	Black	White	NONE	0
14	7	" "	Black	White	NONE	0
15	7	" "	Black	White	NONE	0
16	7	" "	Black	White	NONE	0
17	7	" "	Black	White	NONE	0
18	7	" "	Black	White	NONE	0
19	7	" "	Black	White	NONE	0
20	7	" "	Black	White	NONE	0
21	7	" "	Black	White	NONE	0
22	7	" "	Black	White	NONE	0
23	7	" "	Black	White	NONE	0
24	7	" "	Black	White	NONE	0
25	7	" "	Black	White	NONE	0
26	7	" "	Black	White	NONE	0
27	7	" "	Black	White	NONE	0
28	7	" "	Black	White	NONE	0
29	7	" "	Black	White	NONE	0
30	7	" "	Black	White	NONE	0
31	7	" "	Black	White	NONE	0
32	7	" "	Black	White	NONE	0
33	7	" "	Black	White	NONE	0
34	7	" "	Black	White	NONE	0
35	7	" "	Black	White	NONE	0
36	7	" "	Black	White	NONE	0
37	7	" "	Black	White	NONE	0
38	7	" "	Black	White	NONE	0
39	7	" "	Black	White	NONE	0
0	8	" "	Black	White	NONE	0
1	8	" "	Black	White	NONE	0
2	8	" "	Black	White	NONE	0
3	8	" "	Black	White	NONE	0
4	8	" "	Black	White	NONE	0
5	8	" "	Black	White	NONE	0
6	8	" "	Black	White	NONE	0
7	8	" "	Black	White	NONE	0
8	8	" "	Black	White	NONE	0
9	8	" "	Black	White	NONE	0
10	8	" "	Black	White	NONE	0
11	8	" "	Black	White	NONE	0
12	8	" "	Black	White	NONE	0
13	8	" "	Black	White	NONE	0
14	8	" "	Black	White	NONE	0
15	8	" "	Black	White	NONE	0
16	8	" "	Black	White	NONE	0
17	8	" "	Black	White	NONE	0
18	8	" "	Black	White	NONE	0
19	8	" "	Black	White	NONE	0
20	8	" "	Black	White	NONE	0
21	8	" "	Black	White	NONE	0
22	8	" "	Black	White	NONE	0
23	8	" "	Black	White	NONE	0
24	8	" "	Black	White	NONE	0
25	8	" "	Black	White	NONE	0
26	8	" "	Black	White	NONE	0
27	8	" "	Black	White	NONE	0
28	8	" "	Black	White	NONE	0
29	8	" "	Black	White	NONE	0
30	8	" "	Black	White	NONE	0
31	8	" "	Black	White	NONE	0
32	8	" "	Black	White	NONE	0
33	8	" "	Black	White	NONE	0
34	8	" "	Black	White	NONE	0
35	8	" "	Black	White	NONE	0
36	8	" "	Black	White	NONE	0
37	8	" "	Black	White	NONE	0
38	8	" "	Black	White	NONE	0
39	8	" "	Black	White	NONE	0
0	9	" "	Black	White	NONE	0
1	9	" "	Black	White	NONE	0
2	9	" "	Black	White	NONE	0
3	9	" "	Black	White	NONE	0
4	9	" "	Black	White	NONE	0
5	9	" "	Black	White	NONE	0
6	9	" "	Black	White	NONE	0
7	9	" "	Black	White	NONE	0
8	9	" "	Black	White	NONE	0
9	9	" "	Black	White	NONE	0
10	9	" "	Black	White	NONE	0
11	9	" "	Black	White	NONE	0
12	9	" "	Black	White	NONE	0
13	9	" "	Black	White	NONE	0
14	9	" "	Black	White	NONE	0
15	9	" "	Black	White	NONE	0
16	9	" "	Black	White	NONE	0
17	9	" "	Black	White	NONE	0
18	9	" "	Black	White	NONE	0
19	9	" "	Black	White	NONE	0
20	9	" "	Black	White	NONE	0
21	9	" "	Black	White	NONE	0
22	9	" "	Black	White	NONE	0
23	9	" "	Black	White	NONE	0
24	9	" "	Black	White	NONE	0
25	9	" "	Black	White	NONE	0
26	9	" "	Black	White	NONE	0
27	9	" "	Black	White	NONE	0
28	9	" "	Black	White	NONE	0
29	9	" "	Black	White	NONE	0
30	9	" "	Black	White	NONE	0
31	9	" "	Black	White	NONE	0
32	9	" "	Black	White	NONE	0
33	9	" "	Black	White	NONE	0
34	9	" "	Black	White	NONE	0
35	9	" "	Black	White	NONE	0
36	9	" "	Black	White	NONE	0
37	9	" "	Black	White	NONE	0
38	9	" "	Black	White	NONE	0
39	9	" "	Black	White	NONE	0
