exact_test_key	baseline_digest	captured_before_digest	match
render::components::button::selected 120 40 junie mono	13d0bae25b64bacc	13d0bae25b64bacc	yes
render::components::button::selected 120 40 junie truecolor	c3a5557f65a5ff3f	c3a5557f65a5ff3f	yes
render::components::button::selected 120 40 paper mono	4330743d0d1af0f4	4330743d0d1af0f4	yes
render::components::button::selected 120 40 paper truecolor	93ffce78c25faa79	93ffce78c25faa79	yes
render::components::button::selected 40 10 junie mono	0f80b7f1cc3b9e4c	0f80b7f1cc3b9e4c	yes
render::components::button::selected 40 10 junie truecolor	2b38a4b81a3e733f	2b38a4b81a3e733f	yes
render::components::button::selected 40 10 paper mono	000a22404ee1f874	000a22404ee1f874	yes
render::components::button::selected 40 10 paper truecolor	6b3f15ee40b3e7f9	6b3f15ee40b3e7f9	yes
render::components::chip_bar::focused 120 40 junie mono	d410e30a8fa1287b	d410e30a8fa1287b	yes
render::components::chip_bar::focused 120 40 junie truecolor	ec65ee8e34084547	ec65ee8e34084547	yes
render::components::chip_bar::focused 120 40 paper mono	af6ee1d9868d153b	af6ee1d9868d153b	yes
render::components::chip_bar::focused 120 40 paper truecolor	5262957dbd38ff11	5262957dbd38ff11	yes
render::components::chip_bar::focused 40 10 junie mono	fff5116446505e3c	fff5116446505e3c	yes
render::components::chip_bar::focused 40 10 junie truecolor	668e2c4ce5d503d8	668e2c4ce5d503d8	yes
render::components::chip_bar::focused 40 10 paper mono	1ccb93fcbda7a6d8	1ccb93fcbda7a6d8	yes
render::components::chip_bar::focused 40 10 paper truecolor	0775d556d329cac0	0775d556d329cac0	yes
render::components::code_editor::disabled 120 40 junie mono	2cc2ae4227dcdc9a	2cc2ae4227dcdc9a	yes
render::components::code_editor::disabled 120 40 junie truecolor	8a0ebfab287b61ce	8a0ebfab287b61ce	yes
render::components::code_editor::disabled 120 40 paper mono	fac2db84f7ce6162	fac2db84f7ce6162	yes
render::components::code_editor::disabled 120 40 paper truecolor	6b645d24f89ac5e2	6b645d24f89ac5e2	yes
render::components::code_editor::disabled 40 10 junie mono	4effe6c0029f69da	4effe6c0029f69da	yes
render::components::code_editor::disabled 40 10 junie truecolor	a0a3a2ffbd50cbbe	a0a3a2ffbd50cbbe	yes
render::components::code_editor::disabled 40 10 paper mono	247d6fd161110122	247d6fd161110122	yes
render::components::code_editor::disabled 40 10 paper truecolor	221e5e3eda930862	221e5e3eda930862	yes
render::components::completion::focused 120 40 junie mono	2c52b2cb646f5dd5	2c52b2cb646f5dd5	yes
render::components::completion::focused 120 40 junie truecolor	529d0b2b17216132	529d0b2b17216132	yes
render::components::completion::focused 120 40 paper mono	f9d6feb332ccd447	f9d6feb332ccd447	yes
render::components::completion::focused 120 40 paper truecolor	1bde724981c69778	1bde724981c69778	yes
render::components::completion::focused 40 10 junie mono	41fdaff714ab0375	41fdaff714ab0375	yes
render::components::completion::focused 40 10 junie truecolor	1f1f796e74ebb572	1f1f796e74ebb572	yes
render::components::completion::focused 40 10 paper mono	d24f0ece251a4c37	d24f0ece251a4c37	yes
render::components::completion::focused 40 10 paper truecolor	d7a41a466fbe82e8	d7a41a466fbe82e8	yes
render::components::completion::pressed 120 40 junie mono	ebe498e8ebdbda13	ebe498e8ebdbda13	yes
render::components::completion::pressed 120 40 junie truecolor	9f4ca9af9726d314	9f4ca9af9726d314	yes
render::components::completion::pressed 120 40 paper mono	d4dcd71c62410cdd	d4dcd71c62410cdd	yes
render::components::completion::pressed 120 40 paper truecolor	d882a9c7ac011ef9	d882a9c7ac011ef9	yes
render::components::completion::pressed 40 10 junie mono	46c0a4bc5841cec3	46c0a4bc5841cec3	yes
render::components::completion::pressed 40 10 junie truecolor	648acf049ed32534	648acf049ed32534	yes
render::components::completion::pressed 40 10 paper mono	64d8819fe8a2a01d	64d8819fe8a2a01d	yes
render::components::completion::pressed 40 10 paper truecolor	bb95328861765ba9	bb95328861765ba9	yes
render::components::completion::selected 120 40 junie mono	2c52b2cb646f5dd5	2c52b2cb646f5dd5	yes
render::components::completion::selected 120 40 junie truecolor	529d0b2b17216132	529d0b2b17216132	yes
render::components::completion::selected 120 40 paper mono	f9d6feb332ccd447	f9d6feb332ccd447	yes
render::components::completion::selected 120 40 paper truecolor	1bde724981c69778	1bde724981c69778	yes
render::components::completion::selected 40 10 junie mono	41fdaff714ab0375	41fdaff714ab0375	yes
render::components::completion::selected 40 10 junie truecolor	1f1f796e74ebb572	1f1f796e74ebb572	yes
render::components::completion::selected 40 10 paper mono	d24f0ece251a4c37	d24f0ece251a4c37	yes
render::components::completion::selected 40 10 paper truecolor	d7a41a466fbe82e8	d7a41a466fbe82e8	yes
render::components::context_menu::selected 120 40 junie mono	e6c6987845be0a57	e6c6987845be0a57	yes
render::components::context_menu::selected 120 40 junie truecolor	901d2f48c8a112ae	901d2f48c8a112ae	yes
render::components::context_menu::selected 120 40 paper mono	e5b0936552b2ce19	e5b0936552b2ce19	yes
render::components::context_menu::selected 120 40 paper truecolor	a3369cee78664ae0	a3369cee78664ae0	yes
render::components::context_menu::selected 40 10 junie mono	f37c624d906d3b07	f37c624d906d3b07	yes
render::components::context_menu::selected 40 10 junie truecolor	0713f57b0c11723e	0713f57b0c11723e	yes
render::components::context_menu::selected 40 10 paper mono	5b4a1ca147bd9b79	5b4a1ca147bd9b79	yes
render::components::context_menu::selected 40 10 paper truecolor	40ee1b43fd794f90	40ee1b43fd794f90	yes
render::components::dialog::disabled 120 40 junie mono	b737d61b383ec6f5	b737d61b383ec6f5	yes
render::components::dialog::disabled 120 40 junie truecolor	3b3a35187a544472	3b3a35187a544472	yes
render::components::dialog::disabled 120 40 paper mono	98782672ba8211f1	98782672ba8211f1	yes
render::components::dialog::disabled 120 40 paper truecolor	c32427125f196b4a	c32427125f196b4a	yes
render::components::dialog::disabled 40 10 junie mono	081728ded55d1575	081728ded55d1575	yes
render::components::dialog::disabled 40 10 junie truecolor	bca990b4d6367868	bca990b4d6367868	yes
render::components::dialog::disabled 40 10 paper mono	f9fb14d2886dbe31	f9fb14d2886dbe31	yes
render::components::dialog::disabled 40 10 paper truecolor	37273c6e6232fa10	37273c6e6232fa10	yes
render::components::filter_list::focused 120 40 junie mono	6449c6c04aeb76e9	6449c6c04aeb76e9	yes
render::components::filter_list::focused 120 40 junie truecolor	917af23a272149b8	917af23a272149b8	yes
render::components::filter_list::focused 120 40 paper mono	e37c24926f0b135b	e37c24926f0b135b	yes
render::components::filter_list::focused 120 40 paper truecolor	e7daa7763ab26b60	e7daa7763ab26b60	yes
render::components::filter_list::focused 40 10 junie mono	d09db330fe7eb549	d09db330fe7eb549	yes
render::components::filter_list::focused 40 10 junie truecolor	58377252918b9118	58377252918b9118	yes
render::components::filter_list::focused 40 10 paper mono	0c1a4adfb09fc63b	0c1a4adfb09fc63b	yes
render::components::filter_list::focused 40 10 paper truecolor	afa33f2b36594b00	afa33f2b36594b00	yes
render::components::filter_list::pressed 120 40 junie mono	6449c6c04aeb76e9	6449c6c04aeb76e9	yes
render::components::filter_list::pressed 120 40 junie truecolor	917af23a272149b8	917af23a272149b8	yes
render::components::filter_list::pressed 120 40 paper mono	e37c24926f0b135b	e37c24926f0b135b	yes
render::components::filter_list::pressed 120 40 paper truecolor	e7daa7763ab26b60	e7daa7763ab26b60	yes
render::components::filter_list::pressed 40 10 junie mono	d09db330fe7eb549	d09db330fe7eb549	yes
render::components::filter_list::pressed 40 10 junie truecolor	58377252918b9118	58377252918b9118	yes
render::components::filter_list::pressed 40 10 paper mono	0c1a4adfb09fc63b	0c1a4adfb09fc63b	yes
render::components::filter_list::pressed 40 10 paper truecolor	afa33f2b36594b00	afa33f2b36594b00	yes
render::components::filter_list::selected 120 40 junie mono	5173a3946a6f6d5d	5173a3946a6f6d5d	yes
render::components::filter_list::selected 120 40 junie truecolor	b7da71dfea121f8c	b7da71dfea121f8c	yes
render::components::filter_list::selected 120 40 paper mono	8a92f44a0e7b1e2f	8a92f44a0e7b1e2f	yes
render::components::filter_list::selected 120 40 paper truecolor	ca34396211af4364	ca34396211af4364	yes
render::components::filter_list::selected 40 10 junie mono	d1164217669aa67d	d1164217669aa67d	yes
render::components::filter_list::selected 40 10 junie truecolor	97507dd1ee80de0c	97507dd1ee80de0c	yes
render::components::filter_list::selected 40 10 paper mono	c04b8c0f1387c74f	c04b8c0f1387c74f	yes
render::components::filter_list::selected 40 10 paper truecolor	fcd4e0fb44859354	fcd4e0fb44859354	yes
render::components::list::disabled 120 40 junie mono	164c36b18586726f	164c36b18586726f	yes
render::components::list::disabled 120 40 junie truecolor	ce3be201fd5894f6	ce3be201fd5894f6	yes
render::components::list::disabled 120 40 paper mono	73efdde5cdb3a6c5	73efdde5cdb3a6c5	yes
render::components::list::disabled 120 40 paper truecolor	82e97d15fc758a0e	82e97d15fc758a0e	yes
render::components::list::disabled 40 10 junie mono	deac25911bc9718f	deac25911bc9718f	yes
render::components::list::disabled 40 10 junie truecolor	4e5dee5a5d3d3a76	4e5dee5a5d3d3a76	yes
render::components::list::disabled 40 10 paper mono	447bcd08741e2165	447bcd08741e2165	yes
render::components::list::disabled 40 10 paper truecolor	85d6dbd488cef51e	85d6dbd488cef51e	yes
render::components::list::focused 120 40 junie mono	164c36b18586726f	164c36b18586726f	yes
render::components::list::focused 120 40 junie truecolor	ce3be201fd5894f6	ce3be201fd5894f6	yes
render::components::list::focused 120 40 paper mono	73efdde5cdb3a6c5	73efdde5cdb3a6c5	yes
render::components::list::focused 120 40 paper truecolor	82e97d15fc758a0e	82e97d15fc758a0e	yes
render::components::list::focused 40 10 junie mono	deac25911bc9718f	deac25911bc9718f	yes
render::components::list::focused 40 10 junie truecolor	4e5dee5a5d3d3a76	4e5dee5a5d3d3a76	yes
render::components::list::focused 40 10 paper mono	447bcd08741e2165	447bcd08741e2165	yes
render::components::list::focused 40 10 paper truecolor	85d6dbd488cef51e	85d6dbd488cef51e	yes
render::components::list::pressed 120 40 junie mono	cb5e7c9046398305	cb5e7c9046398305	yes
render::components::list::pressed 120 40 junie truecolor	d0e89104e36aa2ea	d0e89104e36aa2ea	yes
render::components::list::pressed 120 40 paper mono	f2ce0cf198981d97	f2ce0cf198981d97	yes
render::components::list::pressed 120 40 paper truecolor	3e524d83e9dfe491	3e524d83e9dfe491	yes
render::components::list::pressed 40 10 junie mono	7f93e89c2dddc765	7f93e89c2dddc765	yes
render::components::list::pressed 40 10 junie truecolor	7a673016b0ed65aa	7a673016b0ed65aa	yes
render::components::list::pressed 40 10 paper mono	d3717338bef62977	d3717338bef62977	yes
render::components::list::pressed 40 10 paper truecolor	d5f14e0f54f98a11	d5f14e0f54f98a11	yes
