# phase	case	exact_test_key	digest	classification	frame
before	button::selected	render::components::button::selected 120 40 junie truecolor	c3a5557f65a5ff3f	checked-selection-marker	frames/button--selected__120x40__junie__truecolor.txt
before	button::selected	render::components::button::selected 40 10 junie truecolor	2b38a4b81a3e733f	checked-selection-marker	frames/button--selected__40x10__junie__truecolor.txt
before	button::selected	render::components::button::selected 120 40 junie mono	13d0bae25b64bacc	checked-selection-marker	frames/button--selected__120x40__junie__mono.txt
before	button::selected	render::components::button::selected 40 10 junie mono	0f80b7f1cc3b9e4c	checked-selection-marker	frames/button--selected__40x10__junie__mono.txt
before	button::selected	render::components::button::selected 120 40 paper truecolor	93ffce78c25faa79	checked-selection-marker	frames/button--selected__120x40__paper__truecolor.txt
before	button::selected	render::components::button::selected 40 10 paper truecolor	6b3f15ee40b3e7f9	checked-selection-marker	frames/button--selected__40x10__paper__truecolor.txt
before	button::selected	render::components::button::selected 120 40 paper mono	4330743d0d1af0f4	checked-selection-marker	frames/button--selected__120x40__paper__mono.txt
before	button::selected	render::components::button::selected 40 10 paper mono	000a22404ee1f874	checked-selection-marker	frames/button--selected__40x10__paper__mono.txt
before	chip_bar::focused	render::components::chip_bar::focused 120 40 junie truecolor	ec65ee8e34084547	owned-cursor-state	frames/chip_bar--focused__120x40__junie__truecolor.txt
before	chip_bar::focused	render::components::chip_bar::focused 40 10 junie truecolor	668e2c4ce5d503d8	owned-cursor-state	frames/chip_bar--focused__40x10__junie__truecolor.txt
before	chip_bar::focused	render::components::chip_bar::focused 120 40 junie mono	d410e30a8fa1287b	owned-cursor-state	frames/chip_bar--focused__120x40__junie__mono.txt
before	chip_bar::focused	render::components::chip_bar::focused 40 10 junie mono	fff5116446505e3c	owned-cursor-state	frames/chip_bar--focused__40x10__junie__mono.txt
before	chip_bar::focused	render::components::chip_bar::focused 120 40 paper truecolor	5262957dbd38ff11	owned-cursor-state	frames/chip_bar--focused__120x40__paper__truecolor.txt
before	chip_bar::focused	render::components::chip_bar::focused 40 10 paper truecolor	0775d556d329cac0	owned-cursor-state	frames/chip_bar--focused__40x10__paper__truecolor.txt
before	chip_bar::focused	render::components::chip_bar::focused 120 40 paper mono	af6ee1d9868d153b	owned-cursor-state	frames/chip_bar--focused__120x40__paper__mono.txt
before	chip_bar::focused	render::components::chip_bar::focused 40 10 paper mono	1ccb93fcbda7a6d8	owned-cursor-state	frames/chip_bar--focused__40x10__paper__mono.txt
before	code_editor::disabled	render::components::code_editor::disabled 120 40 junie truecolor	8a0ebfab287b61ce	disabled-editor-state	frames/code_editor--disabled__120x40__junie__truecolor.txt
before	code_editor::disabled	render::components::code_editor::disabled 40 10 junie truecolor	a0a3a2ffbd50cbbe	disabled-editor-state	frames/code_editor--disabled__40x10__junie__truecolor.txt
before	code_editor::disabled	render::components::code_editor::disabled 120 40 junie mono	2cc2ae4227dcdc9a	disabled-editor-state	frames/code_editor--disabled__120x40__junie__mono.txt
before	code_editor::disabled	render::components::code_editor::disabled 40 10 junie mono	4effe6c0029f69da	disabled-editor-state	frames/code_editor--disabled__40x10__junie__mono.txt
before	code_editor::disabled	render::components::code_editor::disabled 120 40 paper truecolor	6b645d24f89ac5e2	disabled-editor-state	frames/code_editor--disabled__120x40__paper__truecolor.txt
before	code_editor::disabled	render::components::code_editor::disabled 40 10 paper truecolor	221e5e3eda930862	disabled-editor-state	frames/code_editor--disabled__40x10__paper__truecolor.txt
