# phase	component	state	exact_test_key	digest
before	button	default	render::components::button::default 120 40 junie truecolor	7cad0003dd9cd1fb
before	button	default	render::components::button::default 40 10 junie truecolor	6d11dbe79a66f3fb
before	button	default	render::components::button::default 120 40 junie mono	1aafcb632b64bb09
before	button	default	render::components::button::default 40 10 junie mono	8eb20d2cb7769089
before	button	default	render::components::button::default 120 40 paper truecolor	12c06980e5dd7a45
before	button	default	render::components::button::default 40 10 paper truecolor	5085b4b28e2a59c5
before	button	default	render::components::button::default 120 40 paper mono	c72f9f98688eba59
before	button	default	render::components::button::default 40 10 paper mono	3851ec67ff1947d9
before	button	focused	render::components::button::focused 120 40 junie truecolor	eee5d0405c09ef07
before	button	focused	render::components::button::focused 40 10 junie truecolor	171abfe92bac2d07
before	button	focused	render::components::button::focused 120 40 junie mono	c371306941cd65c9
before	button	focused	render::components::button::focused 40 10 junie mono	7fddb1a683d31b49
before	button	focused	render::components::button::focused 120 40 paper truecolor	ce9b81ffdf590e94
before	button	focused	render::components::button::focused 40 10 paper truecolor	dd60886858d18614
before	button	focused	render::components::button::focused 120 40 paper mono	8d02e6d90cdb61a5
before	button	focused	render::components::button::focused 40 10 paper mono	838b2bf79a73d125
before	button	hovered	render::components::button::hovered 120 40 junie truecolor	06853fb0452f390f
before	button	hovered	render::components::button::hovered 40 10 junie truecolor	c81c379033144d0f
before	button	hovered	render::components::button::hovered 120 40 junie mono	f9e4755e0f6594d1
before	button	hovered	render::components::button::hovered 40 10 junie mono	66ae716a48b9ae51
before	button	hovered	render::components::button::hovered 120 40 paper truecolor	f3dcba27a2fa7c53
before	button	hovered	render::components::button::hovered 40 10 paper truecolor	b07311b29dee7c53
before	button	hovered	render::components::button::hovered 120 40 paper mono	c72f9f98688eba59
before	button	hovered	render::components::button::hovered 40 10 paper mono	3851ec67ff1947d9
before	button	pressed	render::components::button::pressed 120 40 junie truecolor	c04d0deb30b15747
before	button	pressed	render::components::button::pressed 40 10 junie truecolor	704402c302893547
before	button	pressed	render::components::button::pressed 120 40 junie mono	71350c86866c7f71
before	button	pressed	render::components::button::pressed 40 10 junie mono	302ae7a815fa48f1
before	button	pressed	render::components::button::pressed 120 40 paper truecolor	379b83bd50bfb040
before	button	pressed	render::components::button::pressed 40 10 paper truecolor	0410e8d16055c2c0
before	button	pressed	render::components::button::pressed 120 40 paper mono	87762b1d30c7aea5
before	button	pressed	render::components::button::pressed 40 10 paper mono	5c08bee9295f9e25
before	button	disabled	render::components::button::disabled 120 40 junie truecolor	3f782a734dc10cfd
before	button	disabled	render::components::button::disabled 40 10 junie truecolor	ba64cb383434b07d
