x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Reset	Black	NONE	0
1	0	" "	Reset	Black	NONE	0
2	0	" "	Reset	Black	NONE	0
3	0	" "	Reset	Black	NONE	0
4	0	"1"	Reset	Black	NONE	0
5	0	" "	Reset	Black	NONE	0
6	0	"f"	White	Black	DIM	2
7	0	"n"	White	Black	DIM	2
8	0	" "	White	Black	DIM	2
9	0	"r"	White	Black	DIM	2
10	0	"e"	White	Black	DIM	2
11	0	"t"	White	Black	DIM	2
12	0	"r"	White	Black	DIM	2
13	0	"y"	White	Black	DIM	2
14	0	"("	White	Black	DIM	2
15	0	")"	White	Black	DIM	2
16	0	" "	White	Black	DIM	2
17	0	"{"	White	Black	DIM	2
18	0	" "	Reset	Black	NONE	0
19	0	" "	Reset	Black	NONE	0
20	0	" "	Reset	Black	NONE	0
21	0	" "	Reset	Black	NONE	0
22	0	" "	Reset	Black	NONE	0
23	0	" "	Reset	Black	NONE	0
24	0	" "	Reset	Black	NONE	0
25	0	" "	Reset	Black	NONE	0
26	0	" "	Reset	Black	NONE	0
27	0	" "	Reset	Black	NONE	0
28	0	" "	Reset	Black	NONE	0
29	0	" "	Reset	Black	NONE	0
30	0	" "	Reset	Black	NONE	0
31	0	" "	Reset	Black	NONE	0
32	0	" "	Reset	Black	NONE	0
33	0	" "	Reset	Black	NONE	0
34	0	" "	Reset	Black	NONE	0
35	0	" "	Reset	Black	NONE	0
36	0	" "	Reset	Black	NONE	0
37	0	" "	Reset	Black	NONE	0
38	0	" "	Reset	Black	NONE	0
39	0	" "	Reset	Black	NONE	0
0	1	" "	Reset	Black	NONE	0
1	1	" "	Reset	Black	NONE	0
2	1	" "	Reset	Black	NONE	0
3	1	" "	Reset	Black	NONE	0
4	1	"2"	Reset	Black	NONE	0
5	1	" "	Reset	Black	NONE	0
6	1	" "	White	Black	DIM	2
7	1	" "	White	Black	DIM	2
8	1	"l"	White	Black	DIM	2
9	1	"e"	White	Black	DIM	2
10	1	"t"	White	Black	DIM	2
11	1	" "	White	Black	DIM	2
12	1	"a"	White	Black	DIM	2
13	1	"t"	White	Black	DIM	2
14	1	"t"	White	Black	DIM	2
15	1	"e"	White	Black	DIM	2
16	1	"m"	White	Black	DIM	2
17	1	"p"	White	Black	DIM	2
18	1	"t"	White	Black	DIM	2
19	1	"s"	White	Black	DIM	2
20	1	" "	White	Black	DIM	2
21	1	"="	White	Black	DIM	2
22	1	" "	White	Black	DIM	2
23	1	"5"	White	Black	DIM	2
24	1	";"	White	Black	DIM	2
25	1	" "	Reset	Black	NONE	0
26	1	" "	Reset	Black	NONE	0
27	1	" "	Reset	Black	NONE	0
28	1	" "	Reset	Black	NONE	0
29	1	" "	Reset	Black	NONE	0
30	1	" "	Reset	Black	NONE	0
31	1	" "	Reset	Black	NONE	0
32	1	" "	Reset	Black	NONE	0
33	1	" "	Reset	Black	NONE	0
34	1	" "	Reset	Black	NONE	0
35	1	" "	Reset	Black	NONE	0
36	1	" "	Reset	Black	NONE	0
37	1	" "	Reset	Black	NONE	0
38	1	" "	Reset	Black	NONE	0
39	1	" "	Reset	Black	NONE	0
0	2	" "	Reset	Black	NONE	0
1	2	" "	Reset	Black	NONE	0
2	2	" "	Reset	Black	NONE	0
3	2	" "	Reset	Black	NONE	0
4	2	"3"	Reset	Black	NONE	0
5	2	" "	Reset	Black	NONE	0
6	2	"}"	White	Black	DIM	2
7	2	" "	Reset	Black	NONE	0
8	2	" "	Reset	Black	NONE	0
9	2	" "	Reset	Black	NONE	0
10	2	" "	Reset	Black	NONE	0
11	2	" "	Reset	Black	NONE	0
12	2	" "	Reset	Black	NONE	0
13	2	" "	Reset	Black	NONE	0
14	2	" "	Reset	Black	NONE	0
15	2	" "	Reset	Black	NONE	0
16	2	" "	Reset	Black	NONE	0
17	2	" "	Reset	Black	NONE	0
18	2	" "	Reset	Black	NONE	0
19	2	" "	Reset	Black	NONE	0
20	2	" "	Reset	Black	NONE	0
21	2	" "	Reset	Black	NONE	0
22	2	" "	Reset	Black	NONE	0
23	2	" "	Reset	Black	NONE	0
24	2	" "	Reset	Black	NONE	0
25	2	" "	Reset	Black	NONE	0
26	2	" "	Reset	Black	NONE	0
27	2	" "	Reset	Black	NONE	0
28	2	" "	Reset	Black	NONE	0
29	2	" "	Reset	Black	NONE	0
30	2	" "	Reset	Black	NONE	0
31	2	" "	Reset	Black	NONE	0
32	2	" "	Reset	Black	NONE	0
33	2	" "	Reset	Black	NONE	0
34	2	" "	Reset	Black	NONE	0
35	2	" "	Reset	Black	NONE	0
36	2	" "	Reset	Black	NONE	0
37	2	" "	Reset	Black	NONE	0
38	2	" "	Reset	Black	NONE	0
39	2	" "	Reset	Black	NONE	0
0	3	" "	Reset	Black	NONE	0
1	3	" "	Reset	Black	NONE	0
2	3	" "	Reset	Black	NONE	0
3	3	" "	Reset	Black	NONE	0
4	3	" "	Reset	Black	NONE	0
5	3	" "	Reset	Black	NONE	0
6	3	" "	Reset	Black	NONE	0
7	3	" "	Reset	Black	NONE	0
8	3	" "	Reset	Black	NONE	0
9	3	" "	Reset	Black	NONE	0
10	3	" "	Reset	Black	NONE	0
11	3	" "	Reset	Black	NONE	0
12	3	" "	Reset	Black	NONE	0
13	3	" "	Reset	Black	NONE	0
14	3	" "	Reset	Black	NONE	0
15	3	" "	Reset	Black	NONE	0
16	3	" "	Reset	Black	NONE	0
17	3	" "	Reset	Black	NONE	0
18	3	" "	Reset	Black	NONE	0
19	3	" "	Reset	Black	NONE	0
20	3	" "	Reset	Black	NONE	0
21	3	" "	Reset	Black	NONE	0
22	3	" "	Reset	Black	NONE	0
23	3	" "	Reset	Black	NONE	0
24	3	" "	Reset	Black	NONE	0
25	3	" "	Reset	Black	NONE	0
26	3	" "	Reset	Black	NONE	0
27	3	" "	Reset	Black	NONE	0
28	3	" "	Reset	Black	NONE	0
29	3	" "	Reset	Black	NONE	0
30	3	" "	Reset	Black	NONE	0
31	3	" "	Reset	Black	NONE	0
32	3	" "	Reset	Black	NONE	0
33	3	" "	Reset	Black	NONE	0
34	3	" "	Reset	Black	NONE	0
35	3	" "	Reset	Black	NONE	0
36	3	" "	Reset	Black	NONE	0
37	3	" "	Reset	Black	NONE	0
38	3	" "	Reset	Black	NONE	0
39	3	" "	Reset	Black	NONE	0
0	4	" "	Reset	Black	NONE	0
1	4	" "	Reset	Black	NONE	0
2	4	" "	Reset	Black	NONE	0
3	4	" "	Reset	Black	NONE	0
4	4	" "	Reset	Black	NONE	0
5	4	" "	Reset	Black	NONE	0
6	4	" "	Reset	Black	NONE	0
7	4	" "	Reset	Black	NONE	0
8	4	" "	Reset	Black	NONE	0
9	4	" "	Reset	Black	NONE	0
10	4	" "	Reset	Black	NONE	0
11	4	" "	Reset	Black	NONE	0
12	4	" "	Reset	Black	NONE	0
13	4	" "	Reset	Black	NONE	0
14	4	" "	Reset	Black	NONE	0
15	4	" "	Reset	Black	NONE	0
16	4	" "	Reset	Black	NONE	0
17	4	" "	Reset	Black	NONE	0
18	4	" "	Reset	Black	NONE	0
19	4	" "	Reset	Black	NONE	0
20	4	" "	Reset	Black	NONE	0
21	4	" "	Reset	Black	NONE	0
22	4	" "	Reset	Black	NONE	0
23	4	" "	Reset	Black	NONE	0
24	4	" "	Reset	Black	NONE	0
25	4	" "	Reset	Black	NONE	0
26	4	" "	Reset	Black	NONE	0
27	4	" "	Reset	Black	NONE	0
28	4	" "	Reset	Black	NONE	0
29	4	" "	Reset	Black	NONE	0
30	4	" "	Reset	Black	NONE	0
