x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
1	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
2	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
3	0	"A"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
4	0	"d"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
5	0	"a"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
6	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
7	0	"L"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
8	0	"o"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
9	0	"v"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
10	0	"e"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
11	0	"l"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
12	0	"a"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
13	0	"c"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
14	0	"e"	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
15	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
16	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
17	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
18	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
19	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
20	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
21	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
22	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
23	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
24	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
25	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
26	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
27	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
28	0	" "	Rgb(27, 26, 23)	Rgb(251, 250, 248)	NONE	0
