x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	White	Black	NONE	0
1	0	" "	White	Black	NONE	0
2	0	" "	White	Black	NONE	0
3	0	"A"	White	Black	NONE	0
4	0	"d"	White	Black	NONE	0
5	0	"a"	White	Black	NONE	0
6	0	" "	White	Black	NONE	0
7	0	"L"	White	Black	NONE	0
8	0	"o"	White	Black	NONE	0
9	0	"v"	White	Black	NONE	0
10	0	"e"	White	Black	NONE	0
11	0	"l"	White	Black	NONE	0
12	0	"a"	White	Black	NONE	0
13	0	"c"	White	Black	NONE	0
14	0	"e"	White	Black	NONE	0
15	0	" "	White	Black	NONE	0
16	0	" "	White	Black	NONE	0
17	0	" "	White	Black	NONE	0
18	0	" "	White	Black	NONE	0
19	0	" "	White	Black	NONE	0
20	0	" "	White	Black	NONE	0
21	0	" "	White	Black	NONE	0
22	0	" "	White	Black	NONE	0
23	0	" "	White	Black	NONE	0
24	0	" "	White	Black	NONE	0
25	0	" "	White	Black	NONE	0
26	0	" "	White	Black	NONE	0
27	0	" "	White	Black	NONE	0
28	0	" "	White	Black	NONE	0
29	0	" "	White	Black	NONE	0
30	0	" "	White	Black	NONE	0
31	0	" "	White	Black	NONE	0
32	0	" "	White	Black	NONE	0
33	0	"a"	Black	Black	NONE	0
34	0	"n"	Black	Black	NONE	0
35	0	"a"	Black	Black	NONE	0
36	0	"l"	Black	Black	NONE	0
37	0	"y"	Black	Black	NONE	0
38	0	"s"	Black	Black	NONE	0
39	0	"t"	Black	Black	NONE	0
0	1	" "	White	Black	NONE	0
1	1	" "	White	Black	NONE	0
2	1	" "	White	Black	NONE	0
3	1	"G"	White	Black	NONE	0
4	1	"r"	White	Black	NONE	0
5	1	"a"	White	Black	NONE	0
6	1	"c"	White	Black	NONE	0
7	1	"e"	White	Black	NONE	0
8	1	" "	White	Black	NONE	0
9	1	"H"	White	Black	NONE	0
10	1	"o"	White	Black	NONE	0
11	1	"p"	White	Black	NONE	0
12	1	"p"	White	Black	NONE	0
13	1	"e"	White	Black	NONE	0
14	1	"r"	White	Black	NONE	0
15	1	" "	White	Black	NONE	0
16	1	" "	White	Black	NONE	0
17	1	" "	White	Black	NONE	0
18	1	" "	White	Black	NONE	0
19	1	" "	White	Black	NONE	0
20	1	" "	White	Black	NONE	0
21	1	" "	White	Black	NONE	0
22	1	" "	White	Black	NONE	0
23	1	" "	White	Black	NONE	0
24	1	" "	White	Black	NONE	0
25	1	" "	White	Black	NONE	0
26	1	" "	White	Black	NONE	0
27	1	" "	White	Black	NONE	0
28	1	"r"	Black	Black	NONE	0
29	1	"e"	Black	Black	NONE	0
30	1	"a"	Black	Black	NONE	0
31	1	"r"	Black	Black	NONE	0
32	1	" "	Black	Black	NONE	0
