x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	" "	Black	White	NONE	0
1	0	" "	Black	White	NONE	0
2	0	"F"	Black	White	NONE	0
3	0	"i"	Black	White	NONE	0
4	0	"l"	Black	White	NONE	0
5	0	"e"	Black	White	NONE	0
6	0	" "	Black	White	NONE	0
7	0	" "	Black	White	NONE	0
8	0	" "	Black	White	NONE	0
9	0	" "	Black	White	NONE	0
10	0	" "	Black	White	NONE	0
11	0	" "	Black	White	NONE	0
12	0	" "	Black	White	NONE	0
13	0	" "	Black	White	NONE	0
14	0	" "	Black	White	NONE	0
15	0	" "	Black	White	NONE	0
16	0	" "	Black	White	NONE	0
17	0	" "	Black	White	NONE	0
18	0	" "	Black	White	NONE	0
19	0	" "	Black	White	NONE	0
20	0	" "	Black	White	NONE	0
21	0	" "	Black	White	NONE	0
22	0	" "	Black	White	NONE	0
23	0	" "	Black	White	NONE	0
24	0	" "	Black	White	NONE	0
25	0	" "	Black	White	NONE	0
26	0	" "	Black	White	NONE	0
27	0	" "	Black	White	NONE	0
28	0	" "	Black	White	NONE	0
29	0	" "	Black	White	NONE	0
30	0	" "	Black	White	NONE	0
31	0	" "	Black	White	NONE	0
32	0	" "	Black	White	NONE	0
33	0	" "	Black	White	NONE	0
34	0	" "	Black	White	NONE	0
35	0	" "	Black	White	NONE	0
36	0	" "	Black	White	NONE	0
37	0	" "	Black	White	NONE	0
38	0	" "	Black	White	NONE	0
39	0	" "	Black	White	NONE	0
40	0	" "	Black	White	NONE	0
41	0	" "	Black	White	NONE	0
42	0	" "	Black	White	NONE	0
43	0	" "	Black	White	NONE	0
44	0	" "	Black	White	NONE	0
45	0	" "	Black	White	NONE	0
46	0	" "	Black	White	NONE	0
47	0	" "	Black	White	NONE	0
48	0	" "	Black	White	NONE	0
49	0	" "	Black	White	NONE	0
50	0	" "	Black	White	NONE	0
51	0	" "	Black	White	NONE	0
52	0	" "	Black	White	NONE	0
53	0	" "	Black	White	NONE	0
54	0	" "	Black	White	NONE	0
55	0	" "	Black	White	NONE	0
56	0	" "	Black	White	NONE	0
57	0	" "	Black	White	NONE	0
58	0	" "	Black	White	NONE	0
59	0	" "	Black	White	NONE	0
60	0	" "	Black	White	NONE	0
61	0	" "	Black	White	NONE	0
62	0	" "	Black	White	NONE	0
63	0	" "	Black	White	NONE	0
64	0	" "	Black	White	NONE	0
65	0	" "	Black	White	NONE	0
66	0	" "	Black	White	NONE	0
67	0	" "	Black	White	NONE	0
68	0	" "	Black	White	NONE	0
69	0	" "	Black	White	NONE	0
70	0	" "	Black	White	NONE	0
71	0	" "	Black	White	NONE	0
72	0	" "	Black	White	NONE	0
73	0	" "	Black	White	NONE	0
74	0	" "	Black	White	NONE	0
75	0	" "	Black	White	NONE	0
76	0	" "	Black	White	NONE	0
77	0	" "	Black	White	NONE	0
78	0	" "	Black	White	NONE	0
79	0	" "	Black	White	NONE	0
80	0	" "	Black	White	NONE	0
81	0	" "	Black	White	NONE	0
82	0	" "	Black	White	NONE	0
83	0	" "	Black	White	NONE	0
84	0	" "	Black	White	NONE	0
85	0	" "	Black	White	NONE	0
86	0	" "	Black	White	NONE	0
87	0	" "	Black	White	NONE	0
88	0	" "	Black	White	NONE	0
89	0	" "	Black	White	NONE	0
90	0	" "	Black	White	NONE	0
