x	y	symbol_debug	fg	bg	modifier	modifier_bits
0	0	"A"	White	Black	BOLD	1
1	0	"c"	White	Black	BOLD	1
2	0	"c"	White	Black	BOLD	1
3	0	"o"	White	Black	BOLD	1
4	0	"u"	White	Black	BOLD	1
5	0	"n"	White	Black	BOLD	1
6	0	"t"	White	Black	BOLD	1
7	0	" "	White	Black	BOLD	1
8	0	" "	White	Black	BOLD	1
9	0	" "	White	Black	BOLD	1
10	0	"V"	White	Black	BOLD	1
11	0	"a"	White	Black	BOLD	1
12	0	"u"	White	Black	BOLD	1
13	0	"l"	White	Black	BOLD	1
14	0	"t"	White	Black	BOLD	1
15	0	" "	White	Black	BOLD	1
16	0	" "	White	Black	BOLD	1
17	0	" "	White	Black	BOLD	1
18	0	" "	White	Black	BOLD	1
19	0	" "	White	Black	BOLD	1
20	0	" "	White	Black	BOLD	1
21	0	" "	White	Black	BOLD	1
22	0	" "	White	Black	BOLD	1
23	0	" "	White	Black	BOLD	1
24	0	" "	White	Black	BOLD	1
25	0	" "	White	Black	BOLD	1
26	0	" "	White	Black	BOLD	1
27	0	" "	White	Black	BOLD	1
28	0	" "	White	Black	BOLD	1
29	0	" "	White	Black	BOLD	1
30	0	" "	White	Black	BOLD	1
31	0	" "	White	Black	BOLD	1
32	0	" "	White	Black	BOLD	1
33	0	" "	White	Black	BOLD	1
34	0	" "	White	Black	BOLD	1
35	0	" "	White	Black	BOLD	1
36	0	" "	White	Black	BOLD	1
37	0	" "	White	Black	BOLD	1
38	0	" "	White	Black	BOLD	1
39	0	" "	White	Black	BOLD	1
0	1	" "	White	Black	NONE	0
1	1	" "	White	Black	NONE	0
2	1	" "	White	Black	NONE	0
3	1	" "	White	Black	NONE	0
4	1	" "	White	Black	NONE	0
5	1	" "	White	Black	NONE	0
6	1	" "	White	Black	NONE	0
7	1	" "	White	Black	NONE	0
8	1	" "	White	Black	NONE	0
9	1	" "	White	Black	NONE	0
10	1	" "	White	Black	NONE	0
11	1	" "	White	Black	NONE	0
12	1	" "	White	Black	NONE	0
13	1	" "	White	Black	NONE	0
14	1	" "	White	Black	NONE	0
15	1	" "	White	Black	NONE	0
16	1	" "	White	Black	NONE	0
17	1	" "	White	Black	NONE	0
18	1	" "	White	Black	NONE	0
19	1	" "	White	Black	NONE	0
20	1	" "	White	Black	NONE	0
21	1	" "	White	Black	NONE	0
22	1	" "	White	Black	NONE	0
23	1	" "	White	Black	NONE	0
24	1	" "	White	Black	NONE	0
25	1	" "	White	Black	NONE	0
26	1	" "	White	Black	NONE	0
27	1	" "	White	Black	NONE	0
28	1	" "	White	Black	NONE	0
29	1	" "	White	Black	NONE	0
30	1	" "	White	Black	NONE	0
31	1	" "	White	Black	NONE	0
32	1	" "	White	Black	NONE	0
33	1	" "	White	Black	NONE	0
34	1	" "	White	Black	NONE	0
35	1	" "	White	Black	NONE	0
36	1	" "	White	Black	NONE	0
37	1	" "	White	Black	NONE	0
38	1	" "	White	Black	NONE	0
39	1	" "	White	Black	NONE	0
0	2	" "	White	Black	NONE	0
1	2	" "	White	Black	NONE	0
2	2	" "	White	Black	NONE	0
3	2	" "	White	Black	NONE	0
4	2	" "	White	Black	NONE	0
5	2	" "	White	Black	NONE	0
6	2	" "	White	Black	NONE	0
7	2	" "	White	Black	NONE	0
8	2	" "	White	Black	NONE	0
9	2	" "	White	Black	NONE	0
10	2	" "	White	Black	NONE	0
11	2	" "	White	Black	NONE	0
12	2	" "	White	Black	NONE	0
13	2	" "	White	Black	NONE	0
14	2	" "	White	Black	NONE	0
15	2	" "	White	Black	NONE	0
16	2	" "	White	Black	NONE	0
17	2	" "	White	Black	NONE	0
18	2	" "	White	Black	NONE	0
19	2	" "	White	Black	NONE	0
20	2	" "	White	Black	NONE	0
21	2	" "	White	Black	NONE	0
22	2	" "	White	Black	NONE	0
23	2	" "	White	Black	NONE	0
24	2	" "	White	Black	NONE	0
25	2	" "	White	Black	NONE	0
26	2	" "	White	Black	NONE	0
27	2	" "	White	Black	NONE	0
28	2	" "	White	Black	NONE	0
29	2	" "	White	Black	NONE	0
30	2	" "	White	Black	NONE	0
31	2	" "	White	Black	NONE	0
32	2	" "	White	Black	NONE	0
33	2	" "	White	Black	NONE	0
34	2	" "	White	Black	NONE	0
35	2	" "	White	Black	NONE	0
36	2	" "	White	Black	NONE	0
37	2	" "	White	Black	NONE	0
38	2	" "	White	Black	NONE	0
39	2	" "	White	Black	NONE	0
0	3	" "	White	Black	NONE	0
1	3	" "	White	Black	NONE	0
2	3	" "	White	Black	NONE	0
3	3	" "	White	Black	NONE	0
4	3	" "	White	Black	NONE	0
5	3	" "	White	Black	NONE	0
6	3	" "	White	Black	NONE	0
7	3	" "	White	Black	NONE	0
8	3	" "	White	Black	NONE	0
9	3	" "	White	Black	NONE	0
10	3	" "	White	Black	NONE	0
11	3	" "	White	Black	NONE	0
12	3	" "	White	Black	NONE	0
13	3	" "	White	Black	NONE	0
14	3	" "	White	Black	NONE	0
15	3	" "	White	Black	NONE	0
16	3	" "	White	Black	NONE	0
17	3	" "	White	Black	NONE	0
18	3	" "	White	Black	NONE	0
19	3	" "	White	Black	NONE	0
20	3	" "	White	Black	NONE	0
21	3	" "	White	Black	NONE	0
22	3	" "	White	Black	NONE	0
23	3	" "	White	Black	NONE	0
24	3	" "	White	Black	NONE	0
25	3	" "	White	Black	NONE	0
26	3	" "	White	Black	NONE	0
27	3	" "	White	Black	NONE	0
28	3	" "	White	Black	NONE	0
29	3	" "	White	Black	NONE	0
30	3	" "	White	Black	NONE	0
31	3	" "	White	Black	NONE	0
32	3	" "	White	Black	NONE	0
33	3	" "	White	Black	NONE	0
34	3	" "	White	Black	NONE	0
35	3	" "	White	Black	NONE	0
36	3	" "	White	Black	NONE	0
37	3	" "	White	Black	NONE	0
38	3	" "	White	Black	NONE	0
39	3	" "	White	Black	NONE	0
0	4	" "	White	Black	NONE	0
1	4	" "	White	Black	NONE	0
2	4	" "	White	Black	NONE	0
3	4	" "	White	Black	NONE	0
4	4	" "	White	Black	NONE	0
5	4	" "	White	Black	NONE	0
6	4	" "	White	Black	NONE	0
7	4	" "	White	Black	NONE	0
8	4	" "	White	Black	NONE	0
9	4	" "	White	Black	NONE	0
10	4	" "	White	Black	NONE	0
11	4	" "	White	Black	NONE	0
12	4	" "	White	Black	NONE	0
13	4	" "	White	Black	NONE	0
14	4	" "	White	Black	NONE	0
15	4	" "	White	Black	NONE	0
16	4	" "	White	Black	NONE	0
17	4	" "	White	Black	NONE	0
18	4	" "	White	Black	NONE	0
19	4	" "	White	Black	NONE	0
20	4	" "	White	Black	NONE	0
21	4	" "	White	Black	NONE	0
22	4	" "	White	Black	NONE	0
23	4	" "	White	Black	NONE	0
24	4	" "	White	Black	NONE	0
25	4	" "	White	Black	NONE	0
26	4	" "	White	Black	NONE	0
27	4	" "	White	Black	NONE	0
28	4	" "	White	Black	NONE	0
29	4	" "	White	Black	NONE	0
30	4	" "	White	Black	NONE	0
31	4	" "	White	Black	NONE	0
32	4	" "	White	Black	NONE	0
33	4	" "	White	Black	NONE	0
34	4	" "	White	Black	NONE	0
35	4	" "	White	Black	NONE	0
36	4	" "	White	Black	NONE	0
37	4	" "	White	Black	NONE	0
38	4	" "	White	Black	NONE	0
39	4	" "	White	Black	NONE	0
0	5	" "	White	Black	NONE	0
1	5	" "	White	Black	NONE	0
2	5	" "	White	Black	NONE	0
3	5	" "	White	Black	NONE	0
4	5	" "	White	Black	NONE	0
5	5	" "	White	Black	NONE	0
6	5	" "	White	Black	NONE	0
7	5	" "	White	Black	NONE	0
8	5	" "	White	Black	NONE	0
9	5	" "	White	Black	NONE	0
10	5	" "	White	Black	NONE	0
11	5	" "	White	Black	NONE	0
12	5	" "	White	Black	NONE	0
13	5	" "	White	Black	NONE	0
14	5	" "	White	Black	NONE	0
