case	exact_test_key	old_digest	new_digest	changed	classification	text_changed	signal	before_frame	after_frame	before_style_dump	after_style_dump	before_ansi	after_ansi	before_html	after_html
button::selected	render::components::button::selected 120 40 junie mono	13d0bae25b64bacc	13d0bae25b64bacc	no	checked-selection-marker	no	unchanged	before/frames/button--selected__120x40__junie__mono.txt	after/frames/button--selected__120x40__junie__mono.txt						
button::selected	render::components::button::selected 120 40 junie truecolor	c3a5557f65a5ff3f	a08a615b692ade44	yes	checked-selection-marker	yes	textual-or-layout	before/frames/button--selected__120x40__junie__truecolor.txt	after/frames/button--selected__120x40__junie__truecolor.txt						
button::selected	render::components::button::selected 120 40 paper mono	4330743d0d1af0f4	4330743d0d1af0f4	no	checked-selection-marker	no	unchanged	before/frames/button--selected__120x40__paper__mono.txt	after/frames/button--selected__120x40__paper__mono.txt						
button::selected	render::components::button::selected 120 40 paper truecolor	93ffce78c25faa79	2a5edf3dd183dd6c	yes	checked-selection-marker	yes	textual-or-layout	before/frames/button--selected__120x40__paper__truecolor.txt	after/frames/button--selected__120x40__paper__truecolor.txt						
button::selected	render::components::button::selected 40 10 junie mono	0f80b7f1cc3b9e4c	0f80b7f1cc3b9e4c	no	checked-selection-marker	no	unchanged	before/frames/button--selected__40x10__junie__mono.txt	after/frames/button--selected__40x10__junie__mono.txt						
button::selected	render::components::button::selected 40 10 junie truecolor	2b38a4b81a3e733f	23c8c5fc35a89dc4	yes	checked-selection-marker	yes	textual-or-layout	before/frames/button--selected__40x10__junie__truecolor.txt	after/frames/button--selected__40x10__junie__truecolor.txt						
button::selected	render::components::button::selected 40 10 paper mono	000a22404ee1f874	000a22404ee1f874	no	checked-selection-marker	no	unchanged	before/frames/button--selected__40x10__paper__mono.txt	after/frames/button--selected__40x10__paper__mono.txt						
button::selected	render::components::button::selected 40 10 paper truecolor	6b3f15ee40b3e7f9	ada1ea903613b0ec	yes	checked-selection-marker	yes	textual-or-layout	before/frames/button--selected__40x10__paper__truecolor.txt	after/frames/button--selected__40x10__paper__truecolor.txt						
chip_bar::focused	render::components::chip_bar::focused 120 40 junie mono	d410e30a8fa1287b	88693cac752be367	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__120x40__junie__mono.txt	after/frames/chip_bar--focused__120x40__junie__mono.txt	before/styles/chip_bar--focused__120x40__junie__mono.tsv	after/styles/chip_bar--focused__120x40__junie__mono.tsv	before/ansi/chip_bar--focused__120x40__junie__mono.ansi	after/ansi/chip_bar--focused__120x40__junie__mono.ansi	before/html/chip_bar--focused__120x40__junie__mono.html	after/html/chip_bar--focused__120x40__junie__mono.html
chip_bar::focused	render::components::chip_bar::focused 120 40 junie truecolor	ec65ee8e34084547	782d064c5cace447	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__120x40__junie__truecolor.txt	after/frames/chip_bar--focused__120x40__junie__truecolor.txt	before/styles/chip_bar--focused__120x40__junie__truecolor.tsv	after/styles/chip_bar--focused__120x40__junie__truecolor.tsv	before/ansi/chip_bar--focused__120x40__junie__truecolor.ansi	after/ansi/chip_bar--focused__120x40__junie__truecolor.ansi	before/html/chip_bar--focused__120x40__junie__truecolor.html	after/html/chip_bar--focused__120x40__junie__truecolor.html
chip_bar::focused	render::components::chip_bar::focused 120 40 paper mono	af6ee1d9868d153b	1a0425581edf8767	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__120x40__paper__mono.txt	after/frames/chip_bar--focused__120x40__paper__mono.txt	before/styles/chip_bar--focused__120x40__paper__mono.tsv	after/styles/chip_bar--focused__120x40__paper__mono.tsv	before/ansi/chip_bar--focused__120x40__paper__mono.ansi	after/ansi/chip_bar--focused__120x40__paper__mono.ansi	before/html/chip_bar--focused__120x40__paper__mono.html	after/html/chip_bar--focused__120x40__paper__mono.html
chip_bar::focused	render::components::chip_bar::focused 120 40 paper truecolor	5262957dbd38ff11	90b548aae4ab93e1	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__120x40__paper__truecolor.txt	after/frames/chip_bar--focused__120x40__paper__truecolor.txt	before/styles/chip_bar--focused__120x40__paper__truecolor.tsv	after/styles/chip_bar--focused__120x40__paper__truecolor.tsv	before/ansi/chip_bar--focused__120x40__paper__truecolor.ansi	after/ansi/chip_bar--focused__120x40__paper__truecolor.ansi	before/html/chip_bar--focused__120x40__paper__truecolor.html	after/html/chip_bar--focused__120x40__paper__truecolor.html
chip_bar::focused	render::components::chip_bar::focused 40 10 junie mono	fff5116446505e3c	19b2b01e2d5e3aee	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__40x10__junie__mono.txt	after/frames/chip_bar--focused__40x10__junie__mono.txt	before/styles/chip_bar--focused__40x10__junie__mono.tsv	after/styles/chip_bar--focused__40x10__junie__mono.tsv	before/ansi/chip_bar--focused__40x10__junie__mono.ansi	after/ansi/chip_bar--focused__40x10__junie__mono.ansi	before/html/chip_bar--focused__40x10__junie__mono.html	after/html/chip_bar--focused__40x10__junie__mono.html
chip_bar::focused	render::components::chip_bar::focused 40 10 junie truecolor	668e2c4ce5d503d8	2e7b0fb3b8bf2744	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__40x10__junie__truecolor.txt	after/frames/chip_bar--focused__40x10__junie__truecolor.txt	before/styles/chip_bar--focused__40x10__junie__truecolor.tsv	after/styles/chip_bar--focused__40x10__junie__truecolor.tsv	before/ansi/chip_bar--focused__40x10__junie__truecolor.ansi	after/ansi/chip_bar--focused__40x10__junie__truecolor.ansi	before/html/chip_bar--focused__40x10__junie__truecolor.html	after/html/chip_bar--focused__40x10__junie__truecolor.html
chip_bar::focused	render::components::chip_bar::focused 40 10 paper mono	1ccb93fcbda7a6d8	c5f1dd6c13ac527a	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__40x10__paper__mono.txt	after/frames/chip_bar--focused__40x10__paper__mono.txt	before/styles/chip_bar--focused__40x10__paper__mono.tsv	after/styles/chip_bar--focused__40x10__paper__mono.tsv	before/ansi/chip_bar--focused__40x10__paper__mono.ansi	after/ansi/chip_bar--focused__40x10__paper__mono.ansi	before/html/chip_bar--focused__40x10__paper__mono.html	after/html/chip_bar--focused__40x10__paper__mono.html
chip_bar::focused	render::components::chip_bar::focused 40 10 paper truecolor	0775d556d329cac0	74437fb990dd86d0	yes	owned-cursor-state	no	style-only-ambiguous	before/frames/chip_bar--focused__40x10__paper__truecolor.txt	after/frames/chip_bar--focused__40x10__paper__truecolor.txt	before/styles/chip_bar--focused__40x10__paper__truecolor.tsv	after/styles/chip_bar--focused__40x10__paper__truecolor.tsv	before/ansi/chip_bar--focused__40x10__paper__truecolor.ansi	after/ansi/chip_bar--focused__40x10__paper__truecolor.ansi	before/html/chip_bar--focused__40x10__paper__truecolor.html	after/html/chip_bar--focused__40x10__paper__truecolor.html
code_editor::disabled	render::components::code_editor::disabled 120 40 junie mono	2cc2ae4227dcdc9a	881390f798002526	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__120x40__junie__mono.txt	after/frames/code_editor--disabled__120x40__junie__mono.txt	before/styles/code_editor--disabled__120x40__junie__mono.tsv	after/styles/code_editor--disabled__120x40__junie__mono.tsv	before/ansi/code_editor--disabled__120x40__junie__mono.ansi	after/ansi/code_editor--disabled__120x40__junie__mono.ansi	before/html/code_editor--disabled__120x40__junie__mono.html	after/html/code_editor--disabled__120x40__junie__mono.html
code_editor::disabled	render::components::code_editor::disabled 120 40 junie truecolor	8a0ebfab287b61ce	da11a7c9b16acc2a	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__120x40__junie__truecolor.txt	after/frames/code_editor--disabled__120x40__junie__truecolor.txt	before/styles/code_editor--disabled__120x40__junie__truecolor.tsv	after/styles/code_editor--disabled__120x40__junie__truecolor.tsv	before/ansi/code_editor--disabled__120x40__junie__truecolor.ansi	after/ansi/code_editor--disabled__120x40__junie__truecolor.ansi	before/html/code_editor--disabled__120x40__junie__truecolor.html	after/html/code_editor--disabled__120x40__junie__truecolor.html
code_editor::disabled	render::components::code_editor::disabled 120 40 paper mono	fac2db84f7ce6162	950da360be7bf036	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__120x40__paper__mono.txt	after/frames/code_editor--disabled__120x40__paper__mono.txt	before/styles/code_editor--disabled__120x40__paper__mono.tsv	after/styles/code_editor--disabled__120x40__paper__mono.tsv	before/ansi/code_editor--disabled__120x40__paper__mono.ansi	after/ansi/code_editor--disabled__120x40__paper__mono.ansi	before/html/code_editor--disabled__120x40__paper__mono.html	after/html/code_editor--disabled__120x40__paper__mono.html
code_editor::disabled	render::components::code_editor::disabled 120 40 paper truecolor	6b645d24f89ac5e2	2f229feb8266a982	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__120x40__paper__truecolor.txt	after/frames/code_editor--disabled__120x40__paper__truecolor.txt	before/styles/code_editor--disabled__120x40__paper__truecolor.tsv	after/styles/code_editor--disabled__120x40__paper__truecolor.tsv	before/ansi/code_editor--disabled__120x40__paper__truecolor.ansi	after/ansi/code_editor--disabled__120x40__paper__truecolor.ansi	before/html/code_editor--disabled__120x40__paper__truecolor.html	after/html/code_editor--disabled__120x40__paper__truecolor.html
