exact_test_key	old_digest	new_digest	changed
render::components::button::default 120 40 junie mono	1aafcb632b64bb09	1aafcb632b64bb09	no
render::components::button::default 120 40 junie truecolor	7cad0003dd9cd1fb	7cad0003dd9cd1fb	no
render::components::button::default 120 40 paper mono	c72f9f98688eba59	c72f9f98688eba59	no
render::components::button::default 120 40 paper truecolor	12c06980e5dd7a45	12c06980e5dd7a45	no
render::components::button::default 40 10 junie mono	8eb20d2cb7769089	8eb20d2cb7769089	no
render::components::button::default 40 10 junie truecolor	6d11dbe79a66f3fb	6d11dbe79a66f3fb	no
render::components::button::default 40 10 paper mono	3851ec67ff1947d9	3851ec67ff1947d9	no
render::components::button::default 40 10 paper truecolor	5085b4b28e2a59c5	5085b4b28e2a59c5	no
render::components::button::disabled 120 40 junie mono	d20bb906fcfe3dd1	d20bb906fcfe3dd1	no
render::components::button::disabled 120 40 junie truecolor	3f782a734dc10cfd	3f782a734dc10cfd	no
render::components::button::disabled 120 40 paper mono	95fb19d68cb1f595	95fb19d68cb1f595	no
render::components::button::disabled 120 40 paper truecolor	1cddcbc4ef84fb35	1cddcbc4ef84fb35	no
render::components::button::disabled 40 10 junie mono	bfe7ea91b76bd751	bfe7ea91b76bd751	no
render::components::button::disabled 40 10 junie truecolor	ba64cb383434b07d	ba64cb383434b07d	no
render::components::button::disabled 40 10 paper mono	6a40f7e34be99d15	6a40f7e34be99d15	no
render::components::button::disabled 40 10 paper truecolor	35d20a7143f712b5	35d20a7143f712b5	no
render::components::button::editing 120 40 junie mono	1aafcb632b64bb09	1aafcb632b64bb09	no
render::components::button::editing 120 40 junie truecolor	7cad0003dd9cd1fb	7cad0003dd9cd1fb	no
render::components::button::editing 120 40 paper mono	c72f9f98688eba59	c72f9f98688eba59	no
render::components::button::editing 120 40 paper truecolor	12c06980e5dd7a45	12c06980e5dd7a45	no
render::components::button::editing 40 10 junie mono	8eb20d2cb7769089	8eb20d2cb7769089	no
render::components::button::editing 40 10 junie truecolor	6d11dbe79a66f3fb	6d11dbe79a66f3fb	no
render::components::button::editing 40 10 paper mono	3851ec67ff1947d9	3851ec67ff1947d9	no
render::components::button::editing 40 10 paper truecolor	5085b4b28e2a59c5	5085b4b28e2a59c5	no
render::components::button::empty 120 40 junie mono	82c24983883c241d	82c24983883c241d	no
render::components::button::empty 120 40 junie truecolor	ff907b36ea83dd9d	ff907b36ea83dd9d	no
render::components::button::empty 120 40 paper mono	0bd6f7d18c9818d1	0bd6f7d18c9818d1	no
render::components::button::empty 120 40 paper truecolor	3a2fcba7c73f6d7d	3a2fcba7c73f6d7d	no
render::components::button::empty 40 10 junie mono	8e64b3bf489db79d	8e64b3bf489db79d	no
render::components::button::empty 40 10 junie truecolor	a517b5e7c2b5b11d	a517b5e7c2b5b11d	no
render::components::button::empty 40 10 paper mono	a89c49c2aaa23251	a89c49c2aaa23251	no
render::components::button::empty 40 10 paper truecolor	ce738652ba21d0fd	ce738652ba21d0fd	no
render::components::button::focused 120 40 junie mono	c371306941cd65c9	c371306941cd65c9	no
render::components::button::focused 120 40 junie truecolor	eee5d0405c09ef07	eee5d0405c09ef07	no
render::components::button::focused 120 40 paper mono	8d02e6d90cdb61a5	8d02e6d90cdb61a5	no
render::components::button::focused 120 40 paper truecolor	ce9b81ffdf590e94	ce9b81ffdf590e94	no
render::components::button::focused 40 10 junie mono	7fddb1a683d31b49	7fddb1a683d31b49	no
render::components::button::focused 40 10 junie truecolor	171abfe92bac2d07	171abfe92bac2d07	no
render::components::button::focused 40 10 paper mono	838b2bf79a73d125	838b2bf79a73d125	no
render::components::button::focused 40 10 paper truecolor	dd60886858d18614	dd60886858d18614	no
render::components::button::hovered 120 40 junie mono	f9e4755e0f6594d1	f9e4755e0f6594d1	no
render::components::button::hovered 120 40 junie truecolor	06853fb0452f390f	06853fb0452f390f	no
render::components::button::hovered 120 40 paper mono	c72f9f98688eba59	c72f9f98688eba59	no
render::components::button::hovered 120 40 paper truecolor	f3dcba27a2fa7c53	f3dcba27a2fa7c53	no
render::components::button::hovered 40 10 junie mono	66ae716a48b9ae51	66ae716a48b9ae51	no
render::components::button::hovered 40 10 junie truecolor	c81c379033144d0f	c81c379033144d0f	no
render::components::button::hovered 40 10 paper mono	3851ec67ff1947d9	3851ec67ff1947d9	no
render::components::button::hovered 40 10 paper truecolor	b07311b29dee7c53	b07311b29dee7c53	no
render::components::button::pressed 120 40 junie mono	71350c86866c7f71	71350c86866c7f71	no
render::components::button::pressed 120 40 junie truecolor	c04d0deb30b15747	c04d0deb30b15747	no
render::components::button::pressed 120 40 paper mono	87762b1d30c7aea5	87762b1d30c7aea5	no
render::components::button::pressed 120 40 paper truecolor	379b83bd50bfb040	379b83bd50bfb040	no
render::components::button::pressed 40 10 junie mono	302ae7a815fa48f1	302ae7a815fa48f1	no
render::components::button::pressed 40 10 junie truecolor	704402c302893547	704402c302893547	no
render::components::button::pressed 40 10 paper mono	5c08bee9295f9e25	5c08bee9295f9e25	no
render::components::button::pressed 40 10 paper truecolor	0410e8d16055c2c0	0410e8d16055c2c0	no
render::components::button::selected 120 40 junie mono	13d0bae25b64bacc	13d0bae25b64bacc	no
render::components::button::selected 120 40 junie truecolor	c3a5557f65a5ff3f	a08a615b692ade44	yes
render::components::button::selected 120 40 paper mono	4330743d0d1af0f4	4330743d0d1af0f4	no
render::components::button::selected 120 40 paper truecolor	93ffce78c25faa79	2a5edf3dd183dd6c	yes
render::components::button::selected 40 10 junie mono	0f80b7f1cc3b9e4c	0f80b7f1cc3b9e4c	no
render::components::button::selected 40 10 junie truecolor	2b38a4b81a3e733f	23c8c5fc35a89dc4	yes
render::components::button::selected 40 10 paper mono	000a22404ee1f874	000a22404ee1f874	no
render::components::button::selected 40 10 paper truecolor	6b3f15ee40b3e7f9	ada1ea903613b0ec	yes
render::components::chip_bar::default 120 40 junie mono	d410e30a8fa1287b	d410e30a8fa1287b	no
render::components::chip_bar::default 120 40 junie truecolor	ec65ee8e34084547	ec65ee8e34084547	no
render::components::chip_bar::default 120 40 paper mono	af6ee1d9868d153b	af6ee1d9868d153b	no
render::components::chip_bar::default 120 40 paper truecolor	5262957dbd38ff11	5262957dbd38ff11	no
render::components::chip_bar::default 40 10 junie mono	fff5116446505e3c	fff5116446505e3c	no
render::components::chip_bar::default 40 10 junie truecolor	668e2c4ce5d503d8	668e2c4ce5d503d8	no
render::components::chip_bar::default 40 10 paper mono	1ccb93fcbda7a6d8	1ccb93fcbda7a6d8	no
render::components::chip_bar::default 40 10 paper truecolor	0775d556d329cac0	0775d556d329cac0	no
render::components::chip_bar::disabled 120 40 junie mono	fe16ace9bdc28c17	fe16ace9bdc28c17	no
render::components::chip_bar::disabled 120 40 junie truecolor	10df00da77faf209	10df00da77faf209	no
render::components::chip_bar::disabled 120 40 paper mono	37a6afcff9f15bb3	37a6afcff9f15bb3	no
render::components::chip_bar::disabled 120 40 paper truecolor	f9be19ec6dc64333	f9be19ec6dc64333	no
render::components::chip_bar::disabled 40 10 junie mono	83ba4197f209a1b8	83ba4197f209a1b8	no
render::components::chip_bar::disabled 40 10 junie truecolor	f678035343e2efd2	f678035343e2efd2	no
render::components::chip_bar::disabled 40 10 paper mono	829e6b23613b32d6	829e6b23613b32d6	no
render::components::chip_bar::disabled 40 10 paper truecolor	2ed132f9870e09a7	2ed132f9870e09a7	no
render::components::chip_bar::editing 120 40 junie mono	d410e30a8fa1287b	d410e30a8fa1287b	no
render::components::chip_bar::editing 120 40 junie truecolor	ec65ee8e34084547	ec65ee8e34084547	no
render::components::chip_bar::editing 120 40 paper mono	af6ee1d9868d153b	af6ee1d9868d153b	no
render::components::chip_bar::editing 120 40 paper truecolor	5262957dbd38ff11	5262957dbd38ff11	no
render::components::chip_bar::editing 40 10 junie mono	fff5116446505e3c	fff5116446505e3c	no
