exact_test_key	x	y	symbol	old_fg	old_bg	old_modifier	old_bits	new_fg	new_bg	new_modifier	new_bits	before_contrast_ratio	after_contrast_ratio	status
render::components::chip_bar::focused 120 40 junie mono	0	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	1	0	"A"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	2	0	"d"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	3	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	4	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	5	0	"L"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	6	0	"o"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	7	0	"v"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	8	0	"e"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	9	0	"l"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	10	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	11	0	"c"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	12	0	"e"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	13	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	14	0	"×"	Black	Black	NONE	0	Black	Black	BOLD	1	1.000	1.000	LOW-CONTRAST-PREEXISTING
render::components::chip_bar::focused 120 40 junie mono	15	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	16	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	17	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	18	0	"G"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	19	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	20	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	21	0	"c"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	22	0	"e"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	23	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	24	0	"H"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	25	0	"o"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	26	0	"p"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	27	0	"p"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	28	0	"e"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	29	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	30	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	31	0	"×"	Black	Black	NONE	0	Black	Black	BOLD	1	1.000	1.000	LOW-CONTRAST-PREEXISTING
render::components::chip_bar::focused 120 40 junie mono	32	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	33	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	34	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	35	0	"A"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	36	0	"l"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	37	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	38	0	"n"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	39	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	40	0	"T"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	41	0	"u"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	42	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	43	0	"i"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	44	0	"n"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	45	0	"g"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	46	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	47	0	"×"	Black	Black	NONE	0	Black	Black	BOLD	1	1.000	1.000	LOW-CONTRAST-PREEXISTING
render::components::chip_bar::focused 120 40 junie mono	48	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	49	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	50	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	51	0	"E"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	52	0	"d"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	53	0	"s"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	54	0	"g"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	55	0	"e"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	56	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	57	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	58	0	"D"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	59	0	"i"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	60	0	"j"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	61	0	"k"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	62	0	"s"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	63	0	"t"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	64	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	65	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	66	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	67	0	"×"	Black	Black	NONE	0	Black	Black	BOLD	1	1.000	1.000	LOW-CONTRAST-PREEXISTING
render::components::chip_bar::focused 120 40 junie mono	68	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	69	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	70	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	71	0	"B"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	72	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	73	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	74	0	"b"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	75	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	76	0	"r"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	77	0	"a"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	78	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	79	0	"L"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	80	0	"i"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	81	0	"s"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	82	0	"k"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	83	0	"o"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	84	0	"v"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	85	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	86	0	"×"	Black	Black	NONE	0	Black	Black	BOLD	1	1.000	1.000	LOW-CONTRAST-PREEXISTING
render::components::chip_bar::focused 120 40 junie mono	87	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	88	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	89	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	90	0	"K"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	91	0	"e"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	92	0	"n"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	93	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	94	0	"T"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	95	0	"h"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	96	0	"o"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	97	0	"m"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	98	0	"p"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	99	0	"s"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	100	0	"o"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	101	0	"n"	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
render::components::chip_bar::focused 120 40 junie mono	102	0	" "	White	Black	NONE	0	White	Black	BOLD	1	61.000	61.000	style-change
