exact_test_key	old_digest	new_digest	style_cells_changed	visible_style_changes	symbol_changes	unknown_contrast_after	low_contrast_after	state_digest	state_status	before_style_dump	after_style_dump	before_ansi	after_ansi	before_html	after_html
render::components::chip_bar::focused 120 40 junie mono	d410e30a8fa1287b	88693cac752be367	120	84	0	0	14	distinct	distinct	before/styles/chip_bar--focused__120x40__junie__mono.tsv	after/styles/chip_bar--focused__120x40__junie__mono.tsv	before/ansi/chip_bar--focused__120x40__junie__mono.ansi	after/ansi/chip_bar--focused__120x40__junie__mono.ansi	before/html/chip_bar--focused__120x40__junie__mono.html	after/html/chip_bar--focused__120x40__junie__mono.html
render::components::chip_bar::focused 120 40 junie truecolor	ec65ee8e34084547	782d064c5cace447	120	84	0	0	0	distinct	distinct	before/styles/chip_bar--focused__120x40__junie__truecolor.tsv	after/styles/chip_bar--focused__120x40__junie__truecolor.tsv	before/ansi/chip_bar--focused__120x40__junie__truecolor.ansi	after/ansi/chip_bar--focused__120x40__junie__truecolor.ansi	before/html/chip_bar--focused__120x40__junie__truecolor.html	after/html/chip_bar--focused__120x40__junie__truecolor.html
render::components::chip_bar::focused 120 40 paper mono	af6ee1d9868d153b	1a0425581edf8767	120	84	0	0	0	distinct	distinct	before/styles/chip_bar--focused__120x40__paper__mono.tsv	after/styles/chip_bar--focused__120x40__paper__mono.tsv	before/ansi/chip_bar--focused__120x40__paper__mono.ansi	after/ansi/chip_bar--focused__120x40__paper__mono.ansi	before/html/chip_bar--focused__120x40__paper__mono.html	after/html/chip_bar--focused__120x40__paper__mono.html
render::components::chip_bar::focused 120 40 paper truecolor	5262957dbd38ff11	90b548aae4ab93e1	120	84	0	0	0	distinct	distinct	before/styles/chip_bar--focused__120x40__paper__truecolor.tsv	after/styles/chip_bar--focused__120x40__paper__truecolor.tsv	before/ansi/chip_bar--focused__120x40__paper__truecolor.ansi	after/ansi/chip_bar--focused__120x40__paper__truecolor.ansi	before/html/chip_bar--focused__120x40__paper__truecolor.html	after/html/chip_bar--focused__120x40__paper__truecolor.html
render::components::chip_bar::focused 40 10 junie mono	fff5116446505e3c	19b2b01e2d5e3aee	40	25	0	0	2	distinct	distinct	before/styles/chip_bar--focused__40x10__junie__mono.tsv	after/styles/chip_bar--focused__40x10__junie__mono.tsv	before/ansi/chip_bar--focused__40x10__junie__mono.ansi	after/ansi/chip_bar--focused__40x10__junie__mono.ansi	before/html/chip_bar--focused__40x10__junie__mono.html	after/html/chip_bar--focused__40x10__junie__mono.html
render::components::chip_bar::focused 40 10 junie truecolor	668e2c4ce5d503d8	2e7b0fb3b8bf2744	40	25	0	0	0	distinct	distinct	before/styles/chip_bar--focused__40x10__junie__truecolor.tsv	after/styles/chip_bar--focused__40x10__junie__truecolor.tsv	before/ansi/chip_bar--focused__40x10__junie__truecolor.ansi	after/ansi/chip_bar--focused__40x10__junie__truecolor.ansi	before/html/chip_bar--focused__40x10__junie__truecolor.html	after/html/chip_bar--focused__40x10__junie__truecolor.html
render::components::chip_bar::focused 40 10 paper mono	1ccb93fcbda7a6d8	c5f1dd6c13ac527a	40	25	0	0	0	distinct	distinct	before/styles/chip_bar--focused__40x10__paper__mono.tsv	after/styles/chip_bar--focused__40x10__paper__mono.tsv	before/ansi/chip_bar--focused__40x10__paper__mono.ansi	after/ansi/chip_bar--focused__40x10__paper__mono.ansi	before/html/chip_bar--focused__40x10__paper__mono.html	after/html/chip_bar--focused__40x10__paper__mono.html
render::components::chip_bar::focused 40 10 paper truecolor	0775d556d329cac0	74437fb990dd86d0	40	25	0	0	0	distinct	distinct	before/styles/chip_bar--focused__40x10__paper__truecolor.tsv	after/styles/chip_bar--focused__40x10__paper__truecolor.tsv	before/ansi/chip_bar--focused__40x10__paper__truecolor.ansi	after/ansi/chip_bar--focused__40x10__paper__truecolor.ansi	before/html/chip_bar--focused__40x10__paper__truecolor.html	after/html/chip_bar--focused__40x10__paper__truecolor.html
render::components::code_editor::disabled 120 40 junie mono	2cc2ae4227dcdc9a	881390f798002526	4768	3	0	0	3	distinct	distinct	before/styles/code_editor--disabled__120x40__junie__mono.tsv	after/styles/code_editor--disabled__120x40__junie__mono.tsv	before/ansi/code_editor--disabled__120x40__junie__mono.ansi	after/ansi/code_editor--disabled__120x40__junie__mono.ansi	before/html/code_editor--disabled__120x40__junie__mono.html	after/html/code_editor--disabled__120x40__junie__mono.html
render::components::code_editor::disabled 120 40 junie truecolor	8a0ebfab287b61ce	da11a7c9b16acc2a	4800	28	0	0	28	distinct	distinct	before/styles/code_editor--disabled__120x40__junie__truecolor.tsv	after/styles/code_editor--disabled__120x40__junie__truecolor.tsv	before/ansi/code_editor--disabled__120x40__junie__truecolor.ansi	after/ansi/code_editor--disabled__120x40__junie__truecolor.ansi	before/html/code_editor--disabled__120x40__junie__truecolor.html	after/html/code_editor--disabled__120x40__junie__truecolor.html
