status	source_path	holla_blob	sha256	disposition	destination
D	.DS_Store	-	-	do not carry deletion of historical obligations into main	.DS_Store
A	.claude/agents/fable-builder.md	631df9b5e037242a13c86684a153e937059a36e9	b8e79efcf4023c363d0e99ea77cd1d6366e1693228d14af6b17b114c1d44b36b	archive obsolete model-routing config; current Codex authority wins	.claude/agents/fable-builder.md
A	.claude/agents/opus-analyst.md	f7167b3b19d7093197c8694c105692a1fb615706	a8f5ffeddb4be3455a1c8d6249d9ef31d413d0e683946fab90b654edb70d799f	archive obsolete model-routing config; current Codex authority wins	.claude/agents/opus-analyst.md
M	.gitignore	05923927fff5ee03160ae60bb3a8fc144607c283	2cdbc4093a27fe116463c1f9cfb53c1a919617887529ff3a7c946cde4ece7456	retain .DS_Store ignore	.gitignore
M	Cargo.toml	10801777c97db637af9307593f7a851f4f970e68	b74bafc1483375b964a724759e25cdf1d3b0b380aa949863ccc6fa8f5596d7fc	add workspace apps/holla member and exactly one binary target	Cargo.toml
M	DESIGN.md	fd68dd45321e4044d087a41fad03df9ad910d528	9875897a09b5e71eb08960a0e91060e43fb4ecba15898747cbde8f19b4760d90	reconcile additive product docs; four-app/public API commands	DESIGN.md
D	FEEDBACK.md	-	-	do not carry deletion of historical obligations into main	FEEDBACK.md
D	GOAL.md	-	-	do not carry deletion of historical obligations into main	GOAL.md
A	HOLLA_REFACTOR_RECOVERY_PLAN.md	0fa908667c57c43a64d08315017558b591aaa5c4	3bf8ea6cbb27264b3dc6c9ce6fad7d76a616fbb69e87a1fe7879de95a9cf43c7	archive findings; explicitly supersede holla-first/tree replacement	HOLLA_REFACTOR_RECOVERY_PLAN.md
D	JACKIN_REFERENCE.md	-	-	do not carry deletion of historical obligations into main	JACKIN_REFERENCE.md
M	README.md	24e5f5ea1f2c23d0d9f9c5eeb6e05369e4f81052	5902c8b498b7af7721875fe10f94a97cc64b87e33ae2f782b5cf5dfb54dd6b6a	reconcile additive product docs; four-app/public API commands	README.md
A	holla-project/GOAL.md	5f795ad017f4b9b4d942983d0f9a310ac4ab3291	d2c8b4400476178eeb9e4cc79878ae36c682350ff7520f2c6aba21ff50eed77c	reconcile additive product docs; four-app/public API commands	holla-project/GOAL.md
A	holla-project/PROMPT.md	464af07c85baecb191181fa24f2175b296bc6754	c5e1d40a9490fa919d764768389fce3d6e2c9791643d6a45ce0b5e5f7b599261	reconcile additive product docs; four-app/public API commands	holla-project/PROMPT.md
A	holla-project/notes/decisions.md	1d9ff21f9682e51579250862f0dcacf5e03809a6	e1dc4b7156e5a46801eb267ae77a8307f59f424f623c5d699254da7e0f12a848	reconcile additive product docs; four-app/public API commands	holla-project/notes/decisions.md
A	holla-project/notes/design-note.md	899232b60f98f979ac91462ebd1ade10199b3200	011e9e8a1ef4b4b3e8a0b4e3b033f51b32aa970f6d08e56570d7883b62001433	reconcile additive product docs; four-app/public API commands	holla-project/notes/design-note.md
A	holla-project/notes/interaction-models.md	777ea0cc6c1f22fea7f51fa743651aeda5bf505f	7ca145f5703af41a4e50dd58e86ec9e6b4878081c6acc130e0a9fa91b40f724a	reconcile additive product docs; four-app/public API commands	holla-project/notes/interaction-models.md
A	holla-project/notes/main-vs-holla-refactor-analysis.md	fec65bdb5d775cc2a2dc7ca3febb237eeeab7120	05394b85504b399c645dd003e0b8e4ad2d14829ef4f5552200814d57aa98fa92	archive findings; explicitly supersede holla-first/tree replacement	holla-project/notes/main-vs-holla-refactor-analysis.md
A	shots/h_help.ansi	69cfe9ea52c4e8e22424962353f62be2fa8cd997	2ecf60e41b55e63c82639ccac320698139732c9d3b701babcc8255f15513af59	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_help.ansi
A	shots/h_help.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_help.cursor
A	shots/h_help.html	23e5481741cbf756b17285527a459bb6846bfc34	4b16f3c990d90a94509352e5941dd4a609f4ca46764306fb4449afb8847527bb	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_help.html
A	shots/h_help.png	9b40389bac0088fd64713bac1d621ec3a1085193	844fd33856c9a2ec88e2bfc7fb7c6099a19a71559b55fd829dce8773e073b81d	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_help.png
A	shots/h_help.txt	16426b279f0aaf8276a5bdd3cba4e55ef282570b	13880ff3e3de2145a88e824c58bcf93562c4da0a7cd0a170e6d2c8aae05c9745	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_help.txt
A	shots/h_home_firstuse_discovering.ansi	635e15c4ccde36bb8b67b5742c937d20097138ec	4f8838a3129c21b8c6ebfe656bb3dec6cbe423a6996737cf4feae4c43d8b8b20	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_firstuse_discovering.ansi
A	shots/h_home_firstuse_discovering.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_firstuse_discovering.cursor
A	shots/h_home_firstuse_discovering.html	27b428ecb9a1dd447cbe726fc6e8ca9891d8e3ac	921b1761e531144367374266ecb3e9be61ebfa89b5602d30211ec4062dbaf390	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_firstuse_discovering.html
A	shots/h_home_firstuse_discovering.png	5f793d0b8acf0c2a2379eaeff6e36d76393f275a	999d8116d427f427bc8bb92d39c4ee3ea45ebdd800aac3c0740c940d179d4e32	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_firstuse_discovering.png
A	shots/h_home_firstuse_discovering.txt	85dc25f97a127b32e26f5b0b07fd20f192dce30a	8ec5cb05969bdd470f540ca5dfdfd0081cb6af19c4c65f44f0ec1a6a6e824d40	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_firstuse_discovering.txt
A	shots/h_home_mono.ansi	b6814537cb2bb75951a086aab6e40ab3af454dde	8cd6d7f7e592dc6ad33e581aaa515a7a88b878230d934781832a1ab5e007c344	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_mono.ansi
A	shots/h_home_mono.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_mono.cursor
A	shots/h_home_mono.html	99cc69d298547fcb498c096573c68b8168ed7057	c351b31d599685eb96c7025277bba6302caf2c18486c1bd7bec1940c53d86852	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_mono.html
A	shots/h_home_mono.png	ce74635e6eb68aa96fc6a95be5cdf01fe6b8714e	f26a61b1bbe62e2600134fcd867e2bc00749c16d643edd443f17e9f1717f803a	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_mono.png
A	shots/h_home_mono.txt	01b3bee353972487904bd806dc46dcdbe1341b08	c7e665630046bd126d40ac4fd1a0fb2727b3a192270a559e35fd01b4ef594032	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_mono.txt
A	shots/h_home_query_git.ansi	c8064624b6c76dfd9022a71dadffe87e4ebf17d2	42430f175e423f8c21fbfdbe8f9c87d8c58970c196a26f65e8e6bf7cbad6b6b6	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_query_git.ansi
A	shots/h_home_query_git.cursor	ca7ce01a444811e8dd458b10f9b23bf7a78def37	52d6764ddd5606c566403def2e40f474a27037c7c03e97016d5500c02cb5e147	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_query_git.cursor
A	shots/h_home_query_git.html	9475f32cad7ca2edaec597cd916b2b043de7dcdd	f78da91ca6cffa2c215998bdea8ba97ac6ca2794ef79bc1d216db4b2f93f6e7f	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_query_git.html
A	shots/h_home_query_git.png	9c3b225576c5581bd38f809dec4a3e2399de4b50	367a27ae239616c126986de557c02a1a543d2b0756fddf0b5feac159140d4702	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_query_git.png
A	shots/h_home_query_git.txt	aca72b4cf5a1b35afba508a3929afcbdb70b97b1	5f72023565b7ababe5573e127ae1c8568181566c0265e12cd4bc287938222f72	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_query_git.txt
A	shots/h_home_remote_prod.ansi	7531a9a3361a6b5904c6fc50fd20b5cb07fa820f	949babaf96691c992e9fc4927fa6b3fffa73c9afb34ec54337cfaac2e4701713	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_remote_prod.ansi
A	shots/h_home_remote_prod.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_remote_prod.cursor
A	shots/h_home_remote_prod.html	6806b864fa09a5fbc3f65aae74ba2e1c884f6495	fbbb16951a4d536cdfca411afe94bfffa9bfeb9194c7763ca49889b049311a13	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_remote_prod.html
A	shots/h_home_remote_prod.png	6488001748e5f43468d143428001403b95d6e263	256ea426531cb787383627aeda01284008c9004a2a1a35e85b58fd28fb180b22	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_remote_prod.png
A	shots/h_home_remote_prod.txt	f2b71ac9e8c26c54b30a57ced145af32af0bb637	8681e4ba2f44f52fa83aa03147f6ba1d45c784690134304f4c7e2069933de621	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_remote_prod.txt
A	shots/h_home_rustdirty_100x30.ansi	673b0b5eeeef0d1c46079bc54d89cd219ef6cdbd	9d9340c310cfa4a23565b125372d0c83660523c38d14a3d0ae90d700b4eed9b5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_100x30.ansi
A	shots/h_home_rustdirty_100x30.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_100x30.cursor
A	shots/h_home_rustdirty_100x30.html	0304d4bb7f79d67908147cfd95e26aa1d8a5207a	3ab0c0839e8f55d68eb346b2622d9caecfb98d01f57bdb0c52245695b2888365	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_100x30.html
A	shots/h_home_rustdirty_100x30.png	156b76b91b8a54c9b8019b89ab3512606c252865	e313642a38f2021fc3fd7a6c45127449380ea04af1f9df56d469e53f9c48d6cf	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_100x30.png
A	shots/h_home_rustdirty_100x30.txt	6aee3ca52a51fadbcb13f48cd906674938e15272	c99ebc3059c2ef66dfd351ba148d0d09ac8610919c9cbb7ef7c4ba9fb186f3dd	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_100x30.txt
A	shots/h_home_rustdirty_120x40.ansi	a99da366c1950492028884c725f136509d8eb663	fb4d659a0649c485838b33e0f708bd439a61e3a4f42c2045a5e5fc24ba100c19	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_120x40.ansi
A	shots/h_home_rustdirty_120x40.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_120x40.cursor
A	shots/h_home_rustdirty_120x40.html	b3710375d65cf89e7fa0656aca8101f9ce4f7732	dc6e473e58d3594c16f7dfed7f3b63da9beb91708a240424f2f2d29872cfbea1	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_120x40.html
A	shots/h_home_rustdirty_120x40.png	0fa7c0144a993844776f584b918a602f4bcd0e9a	08cb14f52e3d7197bd77d3d9aee2428260fd720d40dc2a0a5376d1ee0df23e0b	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_120x40.png
A	shots/h_home_rustdirty_120x40.txt	bd62b677af93f2e7fbc6cff61de31ca9b2d5f306	99518c614ec064c37ec5a627ed6d40b1bacc27cac1c6571a2a24dd68c26766f6	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_120x40.txt
A	shots/h_home_rustdirty_160x50.ansi	0cb033444efe0bd48f754ab39cd1b246f2e52213	fa18afd7bf1321e3102a91bc8ab53154cb351d92ff346494036aae4ed6251c3b	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_160x50.ansi
A	shots/h_home_rustdirty_160x50.cursor	d03090e700f3bac824c9d4299ee554a97e685319	7d4e170b3b7a3429b5c48cd27387d1b00e98e175c005e64413cff0df76c3eda5	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_160x50.cursor
A	shots/h_home_rustdirty_160x50.html	1ab4682d51b364a311d01418307c6183a00bde5d	fc4cbee77b146280cf134950fcf9eea7b0a689bcf34af165f3a271f0e71f5cca	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_160x50.html
A	shots/h_home_rustdirty_160x50.png	c232bc93d4c56fdf05ce350a235e5df0dee0f88c	1513651608daeadcf698b062fe3144c9a565644302e10ab159cf66cd919283cc	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_160x50.png
A	shots/h_home_rustdirty_160x50.txt	f41896fa50180f14e6cf82786241144a92519aab	073cc5d0a58a2f3e98a31c69ed1ce3dc971064cc8b47bbae0a3f1bd9646bd32c	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_160x50.txt
A	shots/h_home_rustdirty_80x24.ansi	c97cdf35418e3337ca6e0a2468d763d2e15d9813	3a288d4a67b11f91a86e51695c1cf36ed3237cee4b48394fe3a6b4cf42cdc6f4	preserve immutable historical reference; fresh pinned acceptance separate	evidence/holla-reference/shots/h_home_rustdirty_80x24.ansi
