path	status	holla_mode	main_mode	holla_blob	main_blob	partition	kind	added	removed	review_status
.DS_Store	D	100644	000000	93d4edb2b5a278f3e1250da36f90ad047770d64f	0000000000000000000000000000000000000000	tooling-tests	binary	-	-	unread
.gitattributes	D	100644	000000	3ab8336dfa17faae138adac120d68f4682d9d209	0000000000000000000000000000000000000000	tooling-tests	text	0	4	unread
.github/workflows/ci.yml	A	000000	100644	0000000000000000000000000000000000000000	8dda0217df6b59c38f54ae3494a2b783e46e8201	tooling-tests	text	187	0	unread
.github/workflows/holla-fable-audit-bootstrap.yml	D	100644	000000	e40b961cb55d1097b67e25a910d7de472af8817b	0000000000000000000000000000000000000000	tooling-tests	text	0	41	unread
.github/workflows/holla-fable-audit-publish.yml	D	100644	000000	93256f1db0d57685fbdac097d0a90724da711783	0000000000000000000000000000000000000000	tooling-tests	text	0	306	unread
.github/workflows/holla-fable-audit.yml	D	100644	000000	1093eeca1a74d43db236ea810d6452baf6743a63	0000000000000000000000000000000000000000	tooling-tests	text	0	97	unread
.github/workflows/perf.yml	A	000000	100644	0000000000000000000000000000000000000000	5a1fa6e433dfb49030ae3b5e70e490aebe4918ec	tooling-tests	text	109	0	unread
.gitignore	M	100644	100644	e3289589fe2c7a5502d57d8ccdb73ad437bab5f1	4481085926656d5e2e9355d324b34ba55b70e70f	tooling-tests	text	18	3	unread
COMPONENT_ARCHITECTURE.md	A	000000	100644	0000000000000000000000000000000000000000	3b7885e63c7a61abf94b52590529868571fd4fa8	history	text	8802	0	unread
CONTINUE_PROMPT.md	A	000000	100644	0000000000000000000000000000000000000000	dc3b5e27058e3872c43da0321e723f0b0d34461e	history	text	5	0	unread
COORDINATION.md	A	000000	100644	0000000000000000000000000000000000000000	af4b58d12ffe11ea293c904f5e74f4c64135d34a	history	text	359	0	unread
Cargo.lock	M	100644	100644	e92b61e556ea64f36a14220fdf14bd6986abac09	14c5dee15f8d138c305d98e24a932dc71fb513bb	tooling-tests	text	247	826	unread
Cargo.toml	M	100644	100644	10801777c97db637af9307593f7a851f4f970e68	8360f7075faf4a92af45ef5c2ca525bf57d8ceb0	tooling-tests	text	64	24	unread
DESIGN.md	M	100644	100644	660afb5a5cf087e58f4dd2563447e4a1b8537c58	e68896f99629323d4adb7c4d88234a776a231589	history	text	27	178	unread
GOAL.md	A	000000	100644	0000000000000000000000000000000000000000	6a7f926011df0662a6661c8b0914a145f2ea4c37	history	text	380	0	unread
GOAL2.md	A	000000	100644	0000000000000000000000000000000000000000	e226a9f62b80b318e7c7cf7296a17fca60ab16fd	history	text	376	0	unread
HANDOFF_SLICE4_WAVE1.md	A	000000	100644	0000000000000000000000000000000000000000	44516794f6f07e28704af8fbf678315359bd8b60	history	text	201	0	unread
IMPROVEMENTS_PLAN.md	D	100644	000000	886b1e851afee16eb901eaaa3284e3b002d56033	0000000000000000000000000000000000000000	history	text	0	231	unread
PLANNING_GOAL.md	D	100644	000000	07c8aaf8cc6e75b383bbdc9ed63a30536350e31d	0000000000000000000000000000000000000000	history	text	0	1069	unread
README.md	M	100644	100644	179838a63908986206f52624456426294d051fb6	f3e3533839a8d39e0b57aab1020a1777374bd705	history	text	80	125	unread
REFACTORING_GOAL.md	A	000000	100644	0000000000000000000000000000000000000000	859bf16ecb176ecd967030b79227a734ea8273f5	history	text	1692	0	unread
REFACTORING_STATE.md	A	000000	100644	0000000000000000000000000000000000000000	3d4f655c829952b0b4fa2130a03340ac65b72366	history	text	2327	0	unread
RESUME_PROMPT.md	A	000000	100644	0000000000000000000000000000000000000000	73a3cc01f3c1392812cc43454ef89b51ef2c30fe	history	text	5	0	unread
apps/holla/Cargo.toml	A	000000	100644	0000000000000000000000000000000000000000	ab2486701e87263c8a1c000ac8063b306d033136	holla	text	29	0	unread
apps/holla/src/app.rs	A	000000	100644	0000000000000000000000000000000000000000	32e04966421b95dec10c9c22d809e02f69aea096	holla	text	2168	0	unread
apps/holla/src/app/historical_tests.rs	A	000000	100644	0000000000000000000000000000000000000000	24d00870735a546eecc1d1ea6420b974c8189463	holla	text	961	0	unread
apps/holla/src/cli.rs	A	000000	100644	0000000000000000000000000000000000000000	548e932825ce7dd6da5fb57ea1a7cdeb4a7ffeea	holla	text	211	0	unread
apps/holla/src/clock.rs	A	000000	100644	0000000000000000000000000000000000000000	7c26b0c98e6658406b64fc8b60f82843d5015c89	holla	text	193	0	unread
apps/holla/src/dispatch.rs	A	000000	100644	0000000000000000000000000000000000000000	42e1b92b3b614396f12d44508e487d531871c29f	holla	text	309	0	unread
apps/holla/src/domain/accounting.rs	A	000000	100644	0000000000000000000000000000000000000000	786789e620e5489f2100db3fcb09b44a186e61fe	holla	text	41	0	unread
apps/holla/src/domain/action.rs	A	000000	100644	0000000000000000000000000000000000000000	874c3570c8a7e13d13174f60b1c85fe2b25d7d69	holla	text	249	0	unread
apps/holla/src/domain/activity.rs	A	000000	100644	0000000000000000000000000000000000000000	91bb30ae3b6f939894a38ff0a7f06940c1332cb4	holla	text	59	0	unread
apps/holla/src/domain/debian.rs	A	000000	100644	0000000000000000000000000000000000000000	1f35e141b2ce0e7aacc6082b8113d8df24799fc1	holla	text	58	0	unread
apps/holla/src/domain/disk.rs	A	000000	100644	0000000000000000000000000000000000000000	db7bbd6c99c4735b44290ce20728c03b25342f9b	holla	text	197	0	unread
apps/holla/src/domain/docker.rs	A	000000	100644	0000000000000000000000000000000000000000	c0e9a91e78dd77df5bfb3fcb80f40927a79d607d	holla	text	254	0	unread
apps/holla/src/domain/effect.rs	A	000000	100644	0000000000000000000000000000000000000000	a04e11e3683247014ae69cead9f018fc86eb2fd2	holla	text	128	0	unread
apps/holla/src/domain/fixtures.rs	A	000000	100644	0000000000000000000000000000000000000000	bae067f25a77c53dd1e140261adbe3472d805004	holla	text	1003	0	unread
apps/holla/src/domain/git.rs	A	000000	100644	0000000000000000000000000000000000000000	4592a6519001ee7aba8ea0ddf8fdf8668292d0a8	holla	text	141	0	unread
apps/holla/src/domain/github.rs	A	000000	100644	0000000000000000000000000000000000000000	75b2c6e5b115d6d38ff48e47ad401e0c42b6d7bb	holla	text	22	0	unread
apps/holla/src/domain/host.rs	A	000000	100644	0000000000000000000000000000000000000000	9b9ba8d20a172beb8532b2f9c4e07c6c15f36a75	holla	text	149	0	unread
apps/holla/src/domain/mise.rs	A	000000	100644	0000000000000000000000000000000000000000	f0f5abcf2b345e3d03466e4e1be9b182908011ed	holla	text	61	0	unread
apps/holla/src/domain/mod.rs	A	000000	100644	0000000000000000000000000000000000000000	b0b845578cc9659b5e049b121572dccf4ad3e960	holla	text	61	0	unread
apps/holla/src/domain/pg.rs	A	000000	100644	0000000000000000000000000000000000000000	2d5f5b234db53c11d1f6c27bae3e0fcb0af9c07e	holla	text	37	0	unread
apps/holla/src/domain/plan.rs	A	000000	100644	0000000000000000000000000000000000000000	a7ea0a89a8f1ef7cb8c9db5ce39748bdc0d43c88	holla	text	534	0	unread
apps/holla/src/domain/ranking.rs	A	000000	100644	0000000000000000000000000000000000000000	951d596ec2f0a9b3e9dda7918a2aaa86a9c139f8	holla	text	233	0	unread
apps/holla/src/domain/ssh.rs	A	000000	100644	0000000000000000000000000000000000000000	d5d40c8afd451f5e4231da0125e5091e87dd9880	holla	text	45	0	unread
apps/holla/src/lib.rs	A	000000	100644	0000000000000000000000000000000000000000	1d6bd1f93f480559aaf1e3ddd68492d457f5118b	holla	text	75	0	unread
apps/holla/src/main.rs	A	000000	100644	0000000000000000000000000000000000000000	a2237d6ddbb3b7ae44fd1f800f32111697a39275	holla	text	4	0	unread
apps/holla/src/scenario.rs	A	000000	100644	0000000000000000000000000000000000000000	487a21f9193c8c04c26dc6e7de41d369255c94c2	holla	text	116	0	unread
apps/holla/src/screens/actions.rs	A	000000	100644	0000000000000000000000000000000000000000	ed0ca3ca503a8f956ea31c4a46f44d89ed3f3b24	holla	text	147	0	unread
apps/holla/src/screens/activity.rs	A	000000	100644	0000000000000000000000000000000000000000	7b4fad74dfef610a925c2800c77811bd39c30fe4	holla	text	265	0	unread
apps/holla/src/screens/clone.rs	A	000000	100644	0000000000000000000000000000000000000000	0f7e8405bc43aa47a76aef42af4c532b8af6cf36	holla	text	73	0	unread
apps/holla/src/screens/context.rs	A	000000	100644	0000000000000000000000000000000000000000	b2547571596e24602c28554dd943e9f246261129	holla	text	24	0	unread
apps/holla/src/screens/dialogs.rs	A	000000	100644	0000000000000000000000000000000000000000	eb8e2c621b583c62a602d2b9770cb82991662488	holla	text	610	0	unread
apps/holla/src/screens/home.rs	A	000000	100644	0000000000000000000000000000000000000000	62b754e69aba858fc36f9cc15d8d9a85388c6724	holla	text	531	0	unread
apps/holla/src/screens/mod.rs	A	000000	100644	0000000000000000000000000000000000000000	654e230a0b396945b63a054b6c609f3b0239ec0e	holla	text	10	0	unread
