commit	parent	before_blob	after_blob	before_sections_0_29_sha256	after_sections_0_29_sha256	coverage	evidence
9486b654ed006bb9aa916c2d2ca9087a18ec42d8	95f486f0b51148d378a2cf5f22ac5a8c67129bb5	5eb5176abbf41976b0dbe2efae9a4eca014172a8	19f6ff13c6ab278cb2cfd9248bddb85e369dfb84	b0a0c596644bbc056b1b7822f7dc8368826c3809b882e0495db659cc2254241b	43b8b2aaf39016f4814b3ce85b4d0182653786fd4d75b347c92ebba401e33203	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
afc60678dc088387a1b49cc6e0c79780e6d22f1b	36bfad8c3a7a85474c65d3fb3a17c0a105cb5e99	19f6ff13c6ab278cb2cfd9248bddb85e369dfb84	76d0f64a58729ef40fde22dd12101e419780738b	43b8b2aaf39016f4814b3ce85b4d0182653786fd4d75b347c92ebba401e33203	0d6ebc4be2d24ffbb0424caacdf057c1a2604628142989347a70d46c1e18e9b2	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
838f25e0e4a00193d163f8715fc04a11aad628c9	e1883489d21a8228c86cfee0bfb7dcdaca6b53df	76d0f64a58729ef40fde22dd12101e419780738b	6c853aac44fd8510a4b67dfe234e4a72c8d79ccc	0d6ebc4be2d24ffbb0424caacdf057c1a2604628142989347a70d46c1e18e9b2	dce5b008ca6f5d9d09f16878522d71c43d71f6f2d0abaa369997fbc14b4762bc	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
8ee997712616cc5317633d974e53495bed714151	5da6aeb58c3da9609fbade0a48ca9aef7d9f58f7	6c853aac44fd8510a4b67dfe234e4a72c8d79ccc	9f0362d21da2f26143be14471a8ae6bb2eac787b	dce5b008ca6f5d9d09f16878522d71c43d71f6f2d0abaa369997fbc14b4762bc	c7b4363de49bc92117d64df203bcfe7f67855fe75236736bc2e17c419a5731e1	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
6ec29171cbc645d403dee47a8c6348261cca19ba	22cf4b985057f2424dead6240a9cdd33897746bf	9f0362d21da2f26143be14471a8ae6bb2eac787b	2166eda6f3206b7cac1cdf1f1ad34b7dd206fc73	c7b4363de49bc92117d64df203bcfe7f67855fe75236736bc2e17c419a5731e1	cd7b505e828436ea4f5b88e762a18180c89a9ae9b92876a47771105a0caaa31e	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
739754c762cd65159d1f621886913e1a49827be4	6ec29171cbc645d403dee47a8c6348261cca19ba	2166eda6f3206b7cac1cdf1f1ad34b7dd206fc73	05cfca259c2bc967a7f67557d4458ee7cd88e7d0	cd7b505e828436ea4f5b88e762a18180c89a9ae9b92876a47771105a0caaa31e	22602d6f6d9821a72c16c404cfa9980def7ed7c2fd9213a757f7214a6e05fe05	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
7f7cc6aca8021169ecfdb53e878654bac40c9afd	739754c762cd65159d1f621886913e1a49827be4	05cfca259c2bc967a7f67557d4458ee7cd88e7d0	a29dfdea5d92c0d2d09715a9a22a27cbfd4009be	22602d6f6d9821a72c16c404cfa9980def7ed7c2fd9213a757f7214a6e05fe05	8104326732efa5a0408ce9e2ea7749e9fc77f9617c18c308e5cce2eaf57a3b7d	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
a3fe79b1ee61117e8a044e05d68294546d5daf0d	319d8aa9a645b7e67268bfeccceb22d22ef5fb81	a29dfdea5d92c0d2d09715a9a22a27cbfd4009be	d6f60764bf593c4620e8393455bfd7d2caf1d4fb	8104326732efa5a0408ce9e2ea7749e9fc77f9617c18c308e5cce2eaf57a3b7d	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
2c848f9e10d050c3099a826067aecca04d027157	a3fe79b1ee61117e8a044e05d68294546d5daf0d	d6f60764bf593c4620e8393455bfd7d2caf1d4fb	6ed690e33a812f6ac7a75b52595bc378a4c1a80e	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
2399c1adeef55c6b69a0faa1875bdce888ec69d2	0673591036fe53149b71a7a46f4e4e6e5ea417b4	6ed690e33a812f6ac7a75b52595bc378a4c1a80e	9df29306287943025d52705399dc06127422c2d0	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
1b580d749ba761809bf6d52cf94139c67518e904	087b6b810f23d248fb2eb88cb1271ea2c0116099	9df29306287943025d52705399dc06127422c2d0	5fd42c9d9b55721593fec0784506d3e990ba92ba	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
e6eaca4896755d23ec290deaf97508114bc06964	3fa382cb7c5769262702093cbdb001336ffb2c95	5fd42c9d9b55721593fec0784506d3e990ba92ba	d08be5afe63a1447ed0b975b2ee120989eb95dd6	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
de817f2627b12739c658a08c0a2ce456e2da016a	f165ac447eb500b71d189070ea736101088540af	d08be5afe63a1447ed0b975b2ee120989eb95dd6	f730219c58a7abc35d4fa3e1e42fc0c4f96b0d9e	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
3dc44c48625c1cd03e67e685d41111d55919bfde	de817f2627b12739c658a08c0a2ce456e2da016a	f730219c58a7abc35d4fa3e1e42fc0c4f96b0d9e	e7d72bc0a5e8c9f51a7fc50f8974105c452e9862	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
364689766c64985aced3b4bb1bdb79a5ee15be54	d62785d31aa9272baba76509f2fce96e89b087cc	e7d72bc0a5e8c9f51a7fc50f8974105c452e9862	aa15f681432b0d8f629d0ec4a2469a2e28954c9f	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
b60c8280d1e117dfb2f095a59c1fb0c783850ebd	364689766c64985aced3b4bb1bdb79a5ee15be54	aa15f681432b0d8f629d0ec4a2469a2e28954c9f	60bd93be945e632f09ffd37d1aaa237d64acf060	d38f5289f75be0c199e86bf99881782045320b6fe34c719350076cfd0b57f980	7b7610305e4364742a9a99798aec2baa569b6af3cc59027b81b78d616e8dda43	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
444ae3d9dbd449115c06e3695c326b76c2b43c1e	7433a2c0237190af207898b8dd5a9fca342033c9	60bd93be945e632f09ffd37d1aaa237d64acf060	c0f44dc76a61fdc4a968e52c247e5c891808c60e	7b7610305e4364742a9a99798aec2baa569b6af3cc59027b81b78d616e8dda43	9b47e4ab584dd71e38437a5ea0fa1b8be7fe7d7a50640871efc165536471c5b6	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
4d2621102a75343cb000bda483c2235a76ce2627	e6ecd1d80ad0b362abc707e5d3870a86de2246f3	c0f44dc76a61fdc4a968e52c247e5c891808c60e	cfd1961a3fc9728b173b1b33e7a939e5851ec8b2	9b47e4ab584dd71e38437a5ea0fa1b8be7fe7d7a50640871efc165536471c5b6	34c8fdd7363d8c6c98467d9de5d5a8614fabe962e79f78fd8bfa51570d074ae5	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
3adb6efec560ba14a1e49faaa44057ba0ee824ad	aed6f41dfe605074b3b32c9343e7f063dbf3d3e2	cfd1961a3fc9728b173b1b33e7a939e5851ec8b2	dc03a38408ccd7d47eb0d3dab6113d6eb2074c52	34c8fdd7363d8c6c98467d9de5d5a8614fabe962e79f78fd8bfa51570d074ae5	22594918bf3fbcf7ccbd13af8b027be7c9600ed6c7c4473b48f6782f46469e87	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
14bca4a3246777bb5109d901f9259823749a34b3	bfcf5e44204d8a7ba1d84b6ec63e7b3af76ad0e1	dc03a38408ccd7d47eb0d3dab6113d6eb2074c52	8ee6f561ebd026143130dfcec52b12a04ad00b03	22594918bf3fbcf7ccbd13af8b027be7c9600ed6c7c4473b48f6782f46469e87	22594918bf3fbcf7ccbd13af8b027be7c9600ed6c7c4473b48f6782f46469e87	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
a1759b2a21adeac08222f2438243033fabd77512	f28a81e3fc748330fdb73ed9fe91ab368af0a7ef	8ee6f561ebd026143130dfcec52b12a04ad00b03	d9ab7d46c7490f3c028d844da3b9148d40fd43cc	22594918bf3fbcf7ccbd13af8b027be7c9600ed6c7c4473b48f6782f46469e87	d126e0e837c9b40ff28684d167ce8df429e738c3e59959b2177b34811f51724f	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
ecc13378f4ff1cd5902ffd96bcddc580ba894f43	26913cc14b6304419c9626a019f1af2d0b8a1ce7	d9ab7d46c7490f3c028d844da3b9148d40fd43cc	34602bce819eb2f88f9661b1ff3403fee8f9d3d3	d126e0e837c9b40ff28684d167ce8df429e738c3e59959b2177b34811f51724f	d126e0e837c9b40ff28684d167ce8df429e738c3e59959b2177b34811f51724f	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
cae32f882697cf92f7bdbe18e8292e7d1ff47a60	e9545703d9f2c6a0a5e790911b80120777adda35	34602bce819eb2f88f9661b1ff3403fee8f9d3d3	c0f55ebf1f345933f4e9d877d6f7b32af1d8d283	d126e0e837c9b40ff28684d167ce8df429e738c3e59959b2177b34811f51724f	d93a94d61055d65e923abeaae573ef3e026a9dc74312a25ebbf7769ef427ae45	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
0c6c45df865de00dc1edf26a782792abafc2af1c	23eae339424bfd8b719e0c7a9aa449b8cb155fdd	c0f55ebf1f345933f4e9d877d6f7b32af1d8d283	d15ad05d0b51c6d4fb2483db013db2bc9ed22986	d93a94d61055d65e923abeaae573ef3e026a9dc74312a25ebbf7769ef427ae45	d53124e7242ad490891ce93ad48330b9c84ff37894d0f5cb052dcec5317fedbc	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
3296f55ee8f2d1e1b243c501660171b0cab298bd	bdee6917ee218a5bedad4c45a48b9713601256be	c0f55ebf1f345933f4e9d877d6f7b32af1d8d283	d15ad05d0b51c6d4fb2483db013db2bc9ed22986	d93a94d61055d65e923abeaae573ef3e026a9dc74312a25ebbf7769ef427ae45	d53124e7242ad490891ce93ad48330b9c84ff37894d0f5cb052dcec5317fedbc	identical_prefix_pair:0c6c45df/23eae339	history-early-amendments.md; evidence/early-amendment-extract.cjs
a573eba86d938099416d302ca9788bf1ba9ed8e7	b0c020825b76e8ef06c65059e1986a6afc56b0c0	c0f55ebf1f345933f4e9d877d6f7b32af1d8d283	d15ad05d0b51c6d4fb2483db013db2bc9ed22986	d93a94d61055d65e923abeaae573ef3e026a9dc74312a25ebbf7769ef427ae45	d53124e7242ad490891ce93ad48330b9c84ff37894d0f5cb052dcec5317fedbc	identical_prefix_pair:0c6c45df/23eae339	history-early-amendments.md; evidence/early-amendment-extract.cjs
08cabdf0d4c6b15e4637196ad0660b6887ba5aec	b0c020825b76e8ef06c65059e1986a6afc56b0c0	c0f55ebf1f345933f4e9d877d6f7b32af1d8d283	d15ad05d0b51c6d4fb2483db013db2bc9ed22986	d93a94d61055d65e923abeaae573ef3e026a9dc74312a25ebbf7769ef427ae45	d53124e7242ad490891ce93ad48330b9c84ff37894d0f5cb052dcec5317fedbc	identical_prefix_pair:0c6c45df/23eae339	history-early-amendments.md; evidence/early-amendment-extract.cjs
612ff7af6b80fc5c2da24a0bf8791136ec9d0a8a	08cabdf0d4c6b15e4637196ad0660b6887ba5aec	d15ad05d0b51c6d4fb2483db013db2bc9ed22986	aeee7aef75988ab05d311158080b53148821cd89	d53124e7242ad490891ce93ad48330b9c84ff37894d0f5cb052dcec5317fedbc	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
37f9031ef59a7b6fb7711a157b95355d0b63d525	d252c1ea6d31838e34fe80df534378538f7a5235	d15ad05d0b51c6d4fb2483db013db2bc9ed22986	aeee7aef75988ab05d311158080b53148821cd89	d53124e7242ad490891ce93ad48330b9c84ff37894d0f5cb052dcec5317fedbc	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	identical_prefix_pair:612ff7af/08cabdf0	history-early-amendments.md; evidence/early-amendment-extract.cjs
246f7e40d4da181d6549db2f2d6e63bb4d5c5436	7784719628b39f346a62e6c6f9def2a5c0dba58c	aeee7aef75988ab05d311158080b53148821cd89	06254f3e91e3b9ad9079bf60cc702d9bfcb33454	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	758d0a0118be92046536dd57cc8eadd446983c43319d7e9c550bfffcb19b1b50	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
2f20bea26da20307ee75038f1475f83364b460ae	638135defc61b1462a766f5e32fa76859cda9612	aeee7aef75988ab05d311158080b53148821cd89	84673d7952007475398287694982e79d7f6fa05b	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
df83c5ed5d0f5b131908105cca8cafc18d2ad364	a40daa59106265f46695c9acca34d52699c16655	34602bce819eb2f88f9661b1ff3403fee8f9d3d3	aeee7aef75988ab05d311158080b53148821cd89	d126e0e837c9b40ff28684d167ce8df429e738c3e59959b2177b34811f51724f	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
9b311666e983c739699d158bae5b64d96cab44ad	246f7e40d4da181d6549db2f2d6e63bb4d5c5436	06254f3e91e3b9ad9079bf60cc702d9bfcb33454	543ed3f3957276613686b478c06b5da0e2281f23	758d0a0118be92046536dd57cc8eadd446983c43319d7e9c550bfffcb19b1b50	dc2a3bcfa29d54c1f849f12e281a4b01b34980892914dc0969d1ea453f371dea	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
0defae2283b4a2599d3a469e247ebed31283412d	668f46da9003f860a498217d76728a13995d0ae7	aeee7aef75988ab05d311158080b53148821cd89	84673d7952007475398287694982e79d7f6fa05b	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	identical_prefix_pair:2f20bea2/638135de	history-early-amendments.md; evidence/early-amendment-extract.cjs
130b85a41bdd36a40b33b4004ed8e8ba81c21a85	6a89884bd4a0eba8e884daebbed0877635da7cf9	84673d7952007475398287694982e79d7f6fa05b	aeee7aef75988ab05d311158080b53148821cd89	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
067869c7bebc633225fc0dd1c1c8e2d1228cbc90	f83eda976b1f05e9447795b86816171d0ade026f	84673d7952007475398287694982e79d7f6fa05b	aeee7aef75988ab05d311158080b53148821cd89	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	identical_prefix_pair:130b85a4/6a89884b	history-early-amendments.md; evidence/early-amendment-extract.cjs
ef15e28b9c5dd9938b83a9d79f69f61396392a19	067869c7bebc633225fc0dd1c1c8e2d1228cbc90	aeee7aef75988ab05d311158080b53148821cd89	84673d7952007475398287694982e79d7f6fa05b	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	identical_prefix_pair:2f20bea2/638135de	history-early-amendments.md; evidence/early-amendment-extract.cjs
e45fde1f2d1ad304dd0fb8ebe7ea7baf26ae9e9a	76f44830a4329fe3a98487cd339ef8a91b580225	543ed3f3957276613686b478c06b5da0e2281f23	b6ddc1dd296e056792cb2c916adc8a91ee30cddf	dc2a3bcfa29d54c1f849f12e281a4b01b34980892914dc0969d1ea453f371dea	bb206427c06afca93b5a13be07bc7c78beb3c9ff0430e4fc536ce980f29709c2	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
737ed7dec9920eca54c900fe389f738a03dfa4d7	bdfda5dfacb9751f59f1e2781ce35cdc6ddbeee7	aeee7aef75988ab05d311158080b53148821cd89	84673d7952007475398287694982e79d7f6fa05b	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	identical_prefix_pair:2f20bea2/638135de	history-early-amendments.md; evidence/early-amendment-extract.cjs
557331b616ad51592097c04ee8fd18a92e79f99a	737ed7dec9920eca54c900fe389f738a03dfa4d7	84673d7952007475398287694982e79d7f6fa05b	de5a88af4eafc88b42685f67cf7f52fd600bd200	5410dac9fed05f78e2ac9dd7085eeed18716685947050de607bbdfd7a1fef79f	c9ffc28cd8d354526566eef8f876cec697dae595f217181247d74cf944437152	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
383af57c991b5431880b75be1f9ac198ce2249fe	696bbefe82079862fe15c56b5612a72444b3ad1e	b6ddc1dd296e056792cb2c916adc8a91ee30cddf	64ca6531ed72c45b42d0f26eb1ec0281771bab26	bb206427c06afca93b5a13be07bc7c78beb3c9ff0430e4fc536ce980f29709c2	3beb5868465b5233aad8dae4e01b5b173e9891cc53e3dffcf0787ac3f9fad4b1	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
8cfb810a9d6645d738e93c6877f658581bf2266f	87bfbfdaa35dd3eb3d3ec49d3f66bda5883397ec	aeee7aef75988ab05d311158080b53148821cd89	64ca6531ed72c45b42d0f26eb1ec0281771bab26	cb63ca91b6ad3290c19b1702f4201148a6ab1c7140f9228a9088bcad91b225be	3beb5868465b5233aad8dae4e01b5b173e9891cc53e3dffcf0787ac3f9fad4b1	direct_original_delta_read	history-early-amendments.md; evidence/early-amendment-extract.cjs
1f01b83fb506a68cb595e1f9beb27e674eb52b40	139ad23e0288ffd715b4480c21f7a3c68fdba64d	64ca6531ed72c45b42d0f26eb1ec0281771bab26	7196e1dd828853762c8f93b355c225f953154490	3beb5868465b5233aad8dae4e01b5b173e9891cc53e3dffcf0787ac3f9fad4b1	3beb5868465b5233aad8dae4e01b5b173e9891cc53e3dffcf0787ac3f9fad4b1	no_older_section_change	history-early-amendments.md; evidence/early-amendment-extract.cjs
