task_id	source_id
TASK-009	A89
TASK-009	A95
TASK-009	A96
TASK-009	A97
TASK-009	A104
TASK-009	F21
TASK-009	F23b
TASK-009	F23d
TASK-009	O05
TASK-009	EARLY-AMEND-049
TASK-009	EARLY-042
TASK-009	EARLY-045
TASK-009	HAR-006
TASK-009	HAR-022
TASK-009	HI-008
TASK-009	HI-025
TASK-009	HI-029
TASK-009	HL-54-CAUSE
TASK-009	HL-74-COLOR
TASK-009	HL-74-ORDER
TASK-009	HM10
TASK-009	HM11
TASK-009	HM12
TASK-009	HM62
TASK-009	HM63
TASK-010	A01
TASK-010	A03
TASK-010	A04
TASK-010	A05
TASK-010	A07
TASK-010	A08
TASK-010	A09
TASK-010	A10
TASK-010	A11
TASK-010	A12
TASK-010	A13
TASK-010	A14
TASK-010	A16
TASK-010	A17
TASK-010	A45
TASK-010	A46
TASK-010	A49
TASK-010	A60
TASK-010	A74
TASK-010	A97
TASK-010	A102
TASK-010	A103
TASK-010	A121
TASK-010	F23c
TASK-010	F23d
TASK-010	EARLY-AMEND-018
TASK-010	EARLY-AMEND-019
TASK-010	EARLY-AMEND-021
TASK-010	EARLY-AMEND-047
TASK-010	EARLY-AMEND-048
TASK-010	EARLY-001
TASK-010	EARLY-004
TASK-010	EARLY-006
TASK-010	EARLY-008
TASK-010	EARLY-010
TASK-010	EARLY-011
TASK-010	EARLY-012
TASK-010	EARLY-034
TASK-010	EARLY-040
TASK-010	EARLY-041
TASK-010	HAR-001
TASK-010	HAR-003
TASK-010	HAR-004
TASK-010	HAR-024
TASK-010	HAR-033
TASK-010	HAR-034
TASK-010	HAR-035
TASK-010	HAR-041
TASK-010	HI-001
TASK-010	HI-002
TASK-010	HI-003
TASK-010	HI-004
TASK-010	HI-005
TASK-010	HI-008
TASK-010	HI-028
TASK-010	HI-032
TASK-010	HI-043
TASK-010	HI-059
TASK-010	HI-062
TASK-010	HL-54-CAUSE
TASK-010	HL-67-MOVE
TASK-010	HL-68-PUBLISH
TASK-010	HL-69-PRESS
TASK-010	HL-72-BOUNDARY
TASK-010	HL-73-HIT
TASK-010	HL-73-EXCEPTIONS
TASK-010	HL-73-CAPTURE
TASK-010	HL-73-INERT
TASK-010	HM23
TASK-010	HM36
TASK-010	HM59
TASK-010	HM62
TASK-010	HM63
TASK-010	RG11
TASK-010	RG16
TASK-010	RG20
TASK-010	RG21
TASK-010	RG22
TASK-010	RG23
TASK-011	A22
TASK-011	A31
TASK-011	A32
TASK-011	A33
TASK-011	A34
TASK-011	A35
TASK-011	A36
TASK-011	A37
TASK-011	A38
TASK-011	A39
TASK-011	A40
TASK-011	A41
TASK-011	A91
TASK-011	A101
TASK-011	A125
TASK-011	EARLY-AMEND-007
TASK-011	EARLY-AMEND-009
TASK-011	EARLY-AMEND-050
TASK-011	EARLY-009
TASK-011	EARLY-025
TASK-011	EARLY-027
TASK-011	EARLY-028
TASK-011	EARLY-029
TASK-011	EARLY-030
TASK-011	EARLY-031
TASK-011	EARLY-036
TASK-011	HAR-007
TASK-011	HAR-025
TASK-011	HAR-026
TASK-011	HAR-027
TASK-011	HAR-039
TASK-011	HAR-040
TASK-011	HI-026
TASK-011	HI-028
TASK-011	HI-035
TASK-011	HI-037
TASK-011	HI-042
TASK-011	HI-049
TASK-011	HI-055
TASK-011	HI-056
TASK-011	HI-057
TASK-011	HL-54-DIM
TASK-011	HL-70-MONO
TASK-011	HL-71-ASCII
TASK-011	HL-METER-POLICY
