commit	parent	path	before_blob	after_blob	subject	review_owner	review_status	obligations
1e6b2031d9594c01090e70d88a909f5630236ff9	8033144886f7737772bef697201c71f71422d8b0	JUNIE_PROMPT3.md	79e031903c0f477278be80d0fd85fe0948eb4103	ABSENT	docs(jackin): consolidate implementation goal; renamed source edge	historian	direct_rename_with_semantic_delta_to_GOAL.md	history-other-docs.md Jackin generation
4b857a079946e2acfdcf54cf48ef92bd83766478	5d720961ef581269e5af5eae7b60bd613fcbe0b6	GOAL.md	ABSENT	48585b46231ce78869e6465e89ddb9aec5ad896f	feat: add Junie-inspired Ratatui design system laboratory	historian	direct_full_generation_read	history-other-docs.md document-lineage disposition
65cb78d3ee0a1a1c434d05d97a22766c80ed819e	4b857a079946e2acfdcf54cf48ef92bd83766478	GOAL2.md	ABSENT	4545c1afae61e515210326622be1bea878d4507c	feat: add tablepro showcase and widget system	historian	direct_full_generation_read	history-other-docs.md document-lineage disposition
74545e0fdb627cee24cbbab6b405c791c69363c8	e43cf670d6cb793e5761819e8778600797bbf1aa	GOAL.md	48585b46231ce78869e6465e89ddb9aec5ad896f	ABSENT	chore: remove obsolete design and goal docs	historian	deletion_of_read_blob_48585b46231ce78869e6465e89ddb9aec5ad896f	history-other-docs.md document-lineage disposition
74545e0fdb627cee24cbbab6b405c791c69363c8	e43cf670d6cb793e5761819e8778600797bbf1aa	GOAL2.md	4545c1afae61e515210326622be1bea878d4507c	ABSENT	chore: remove obsolete design and goal docs	historian	deletion_of_read_blob_4545c1afae61e515210326622be1bea878d4507c	history-other-docs.md document-lineage disposition
86f25734636703ca58b8d114a0d2c0c948a8ce2e	6d3a28e44be8ba6b8730ecbe49c420dc1accb769	JUNIE_PROMPT3.md	ABSENT	41b894342e2c4e4eb7667a7622fb58fdcf00ef4e	docs(jackin): add focused implementation prompt	historian	direct_full_generation_read	history-other-docs.md document-lineage disposition
8033144886f7737772bef697201c71f71422d8b0	86f25734636703ca58b8d114a0d2c0c948a8ce2e	JUNIE_PROMPT3.md	41b894342e2c4e4eb7667a7622fb58fdcf00ef4e	79e031903c0f477278be80d0fd85fe0948eb4103	docs(jackin): isolate preview from real CLI	historian	direct_parent_delta_read	history-other-docs.md document-lineage disposition
1e6b2031d9594c01090e70d88a909f5630236ff9	8033144886f7737772bef697201c71f71422d8b0	GOAL.md	ABSENT	ed2c5608a7305708461443d8c671e06ec6262cde	docs(jackin): consolidate implementation goal	historian	direct_full_generation_read	history-other-docs.md document-lineage disposition
5384c2175cb8c2dc865012df4be55d2718c7cfe4	2fb4bc84b58406792a970b6d24cf1e68c792afa1	GOAL.md	ed2c5608a7305708461443d8c671e06ec6262cde	8f4152ded04013b113caade64556af5592048bee	docs(jackin): prioritize 1Password credentials	historian	direct_parent_delta_read	history-other-docs.md document-lineage disposition
90c991aa0cd926284c49c7eedc0d9a8070fd41b7	5384c2175cb8c2dc865012df4be55d2718c7cfe4	GOAL.md	8f4152ded04013b113caade64556af5592048bee	a6d59bc336a6c0cecdb5bef1aa7c757d0de9f9c5	docs(jackin): make design guide authoritative	historian	direct_parent_delta_read	history-other-docs.md document-lineage disposition
7fbef957127fa0f5f03c3d67989b21ae88550698	cc14dd6beae526884aabdf897e309be837b4f504	GOAL.md	a6d59bc336a6c0cecdb5bef1aa7c757d0de9f9c5	ABSENT	chore: remove obsolete project documents	historian	deletion_of_read_blob_a6d59bc336a6c0cecdb5bef1aa7c757d0de9f9c5	history-other-docs.md document-lineage disposition
e48137f1852ea8f1b2885478a3f3312749443831	7fbef957127fa0f5f03c3d67989b21ae88550698	REFACTORING_GOAL.md	ABSENT	b4d2d4632791df4889e9e64d06aa7d6e66c39dc6	docs: add repository refactoring goal	historian	direct_full_generation_read	history-other-obligations.tsv:RG01-RG56
dce91d51c848cf07eaad4058296775e644940bd5	e48137f1852ea8f1b2885478a3f3312749443831	REFACTORING_GOAL.md	b4d2d4632791df4889e9e64d06aa7d6e66c39dc6	aae588bab55a81a7acbe37aed62e0b075d39da21	docs: remove obsolete goal references	historian	direct_parent_delta_read	history-other-obligations.tsv:RG01-RG56
2d81eec4358e88ef3a37c52466d612ba9e493238	dce91d51c848cf07eaad4058296775e644940bd5	GOAL.md	ABSENT	c0bd16f34ce112d749c104172fb0e970c111d902	chore: configure refactor agent routing	historian	direct_full_generation_read	history-other-docs.md document-lineage disposition
2d81eec4358e88ef3a37c52466d612ba9e493238	dce91d51c848cf07eaad4058296775e644940bd5	REFACTORING_GOAL.md	aae588bab55a81a7acbe37aed62e0b075d39da21	e3e0080a029ca3478d86fdcbd58eb0c0572d3030	chore: configure refactor agent routing	historian	direct_parent_delta_read	history-other-obligations.tsv:RG01-RG56
2d81eec4358e88ef3a37c52466d612ba9e493238	dce91d51c848cf07eaad4058296775e644940bd5	REFACTORING_STATE.md	ABSENT	3b4f461a24bb996b0275b055ca179cb48c914cf5	chore: configure refactor agent routing	history_inputs	original_full_blob_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
2a40616b468be1a6aefad4cc397e748be18d0a81	2d81eec4358e88ef3a37c52466d612ba9e493238	GOAL.md	c0bd16f34ce112d749c104172fb0e970c111d902	0267b62f48ca449f222c46d804fcf705fc5a02a1	docs: align refactoring goal contract	historian	direct_parent_delta_read	history-other-docs.md document-lineage disposition
25ea92b08f41838896af58ab062834cab606ba9b	2a40616b468be1a6aefad4cc397e748be18d0a81	GOAL.md	0267b62f48ca449f222c46d804fcf705fc5a02a1	ca63033d5b05c964ebf2ba178cb4383de6aa4c74	docs: keep research tooling flexible	historian	direct_parent_delta_read	history-other-docs.md document-lineage disposition
25ea92b08f41838896af58ab062834cab606ba9b	2a40616b468be1a6aefad4cc397e748be18d0a81	REFACTORING_GOAL.md	e3e0080a029ca3478d86fdcbd58eb0c0572d3030	c3334bbceb76fddf28105b1c296232a995977c8d	docs: keep research tooling flexible	historian	direct_parent_delta_read	history-other-obligations.tsv:RG01-RG56
25ea92b08f41838896af58ab062834cab606ba9b	2a40616b468be1a6aefad4cc397e748be18d0a81	REFACTORING_STATE.md	3b4f461a24bb996b0275b055ca179cb48c914cf5	bf1dd2ba1f73f413f112d66f0862be499d8e52bc	docs: keep research tooling flexible	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
d5e7075f436f0e437c7d12cf3d1e638e763b26f6	25ea92b08f41838896af58ab062834cab606ba9b	REFACTORING_STATE.md	bf1dd2ba1f73f413f112d66f0862be499d8e52bc	f18e4664cd43cf1643e670fe544b31b473b6fdd6	docs: compress refactoring state ledger	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
596a47064131a34c72bd721ed34966c72904c7bd	d5e7075f436f0e437c7d12cf3d1e638e763b26f6	REFACTORING_STATE.md	f18e4664cd43cf1643e670fe544b31b473b6fdd6	8d114243e34cd7dbdc8bd4334ddda8e16fd77f11	docs: record refactor baseline gates	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
001258b7b06c3c53a3810d6674ba0d4300ca7886	e81ca17b89cadc98c76dab492af85529960e3bdc	REFACTORING_STATE.md	8d114243e34cd7dbdc8bd4334ddda8e16fd77f11	a9d7c12b1cbcb12978c745a5cedccdf4a4c0ebb8	docs: update refactor ledger after audits	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
885811c96c0948a100bb0baef4281e526a2d7671	ce5e99734ee4bb06ae803c9a7435d3fa1524a6ca	REFACTORING_STATE.md	a9d7c12b1cbcb12978c745a5cedccdf4a4c0ebb8	3ac4160220cb43223cddbb3ee14e9edcb9e09cce	docs: ledger — synthesis in progress	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
0cd1bf7f7ddd185c28f1268ecfa5a31f4bf6f1f9	2615fcf61c8bf19631c898155900a6de1cea979b	REFACTORING_STATE.md	3ac4160220cb43223cddbb3ee14e9edcb9e09cce	8abc1d03cba48277685449050cc475c5a7d50bb7	docs: ledger — perf baseline builder assigned	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
cefc4b8af27226d6b6494b49dd5224ba2bd48f6f	0cd1bf7f7ddd185c28f1268ecfa5a31f4bf6f1f9	REFACTORING_STATE.md	8abc1d03cba48277685449050cc475c5a7d50bb7	b686eeb15201bd01e2c88aa15a24026e0779b2ff	test: add before-refactor capture evidence set	history_inputs	full_zero_context_parent_patch_read	history-inputs.md;history-inputs-read-index.tsv;HI001-HI066
2e4530236995bb375fca49bb3582acf5904ae7a8	cefc4b8af27226d6b6494b49dd5224ba2bd48f6f	COMPONENT_ARCHITECTURE.md	ABSENT	c241a6578c85a28f83ff5f6e330fcb77bffd6356	docs: add COMPONENT_ARCHITECTURE.md part 1 (sections 1-15)	early;historian_inline;middle_where_present	direct_full_initial_or_parent_delta_union	history-early.md;history-inline-api.md;history-early-amendments-coverage.tsv;history-middle.md;history-late.md (section-specific joins)
e8d053c9bd47837986fcc87ff4ebaba80aeb5fd5	2e4530236995bb375fca49bb3582acf5904ae7a8	COMPONENT_ARCHITECTURE.md	c241a6578c85a28f83ff5f6e330fcb77bffd6356	910280b3eb64574b8dfd1eade2d0147c524deca8	docs: complete COMPONENT_ARCHITECTURE.md (sections 16-20, appendices)	early;historian_inline;middle_where_present	direct_full_initial_or_parent_delta_union	history-early.md;history-inline-api.md;history-early-amendments-coverage.tsv;history-middle.md;history-late.md (section-specific joins)
