source_namespace	source_id	task_ids
HIST	A01	TASK-010;TASK-065
HIST	A02	TASK-031;TASK-065
HIST	A03	TASK-010;TASK-067
HIST	A04	TASK-010
HIST	A05	TASK-010
HIST	A06	TASK-015;TASK-020
HIST	A07	TASK-010
HIST	A08	TASK-010
HIST	A09	TASK-010
HIST	A10	TASK-010
HIST	A100	TASK-051;TASK-053
HIST	A101	TASK-011;TASK-017
HIST	A102	TASK-010
HIST	A103	TASK-010
HIST	A104	TASK-009
HIST	A105	TASK-014
HIST	A106	TASK-031;TASK-066;TASK-071
HIST	A107	TASK-031;TASK-073
HIST	A108	TASK-065;TASK-068;TASK-072
HIST	A109	TASK-068;TASK-072
HIST	A11	TASK-010
HIST	A110	TASK-032;TASK-065;TASK-072
HIST	A111	TASK-069;TASK-070
HIST	A112	TASK-069;TASK-070
HIST	A113	TASK-008;TASK-069
HIST	A114	TASK-008;TASK-069
HIST	A115	TASK-008;TASK-066;TASK-067
HIST	A116	TASK-067
HIST	A117	TASK-067
HIST	A118	TASK-060;TASK-067
HIST	A119	TASK-067
HIST	A12	TASK-010
HIST	A120	TASK-013;TASK-067
HIST	A121	TASK-010;TASK-067
HIST	A122	TASK-020;TASK-067
HIST	A123	TASK-024;TASK-067
HIST	A124	TASK-021;TASK-067
HIST	A125	TASK-011;TASK-019;TASK-067
HIST	A126	TASK-067
HIST	A127	TASK-032;TASK-039;TASK-040;TASK-050;TASK-051;TASK-057;TASK-058;TASK-064
HIST	A128	TASK-008;TASK-066;TASK-069
HIST	A129	TASK-015;TASK-034;TASK-051
HIST	A13	TASK-010
HIST	A130	TASK-069
HIST	A14	TASK-010
HIST	A15	TASK-014
HIST	A16	TASK-010
HIST	A17	TASK-010;TASK-017
HIST	A18	TASK-017;TASK-018
HIST	A19	TASK-017
HIST	A20	TASK-012;TASK-017
HIST	A21	TASK-017
HIST	A22	TASK-011;TASK-012
HIST	A23	TASK-012
HIST	A24	TASK-012;TASK-027
HIST	A25	TASK-023;TASK-027
HIST	A26	TASK-012
HIST	A27	TASK-012
HIST	A28	TASK-015
HIST	A29	TASK-013
HIST	A30	TASK-013;TASK-015
HIST	A31	TASK-011
HIST	A32	TASK-011
HIST	A33	TASK-011
HIST	A34	TASK-011
HIST	A35	TASK-011
HIST	A36	TASK-011
HIST	A37	TASK-011;TASK-029
HIST	A38	TASK-011
HIST	A39	TASK-011;TASK-067
HIST	A40	TASK-011;TASK-031
HIST	A41	TASK-011;TASK-031
HIST	A42	TASK-018
HIST	A43	TASK-031;TASK-073
HIST	A44	TASK-015;TASK-031;TASK-073
HIST	A45	TASK-010;TASK-031
HIST	A46	TASK-010;TASK-031
HIST	A47	TASK-065;TASK-072
HIST	A48	TASK-028;TASK-030
HIST	A49	TASK-010;TASK-030
HIST	A50	TASK-028;TASK-030;TASK-067
HIST	A51	TASK-068
HIST	A52	TASK-065;TASK-066
HIST	A53	TASK-021;TASK-022;TASK-065
HIST	A54	TASK-022;TASK-060
HIST	A55	TASK-022
HIST	A56	TASK-022
HIST	A57	TASK-022
HIST	A58	TASK-022
HIST	A59	TASK-022
HIST	A60	TASK-010
HIST	A61	TASK-020;TASK-067
HIST	A62	TASK-020
HIST	A63	TASK-020
HIST	A64	TASK-020
HIST	A65	TASK-018
HIST	A66	TASK-028
HIST	A67	TASK-020;TASK-032
HIST	A68	TASK-020;TASK-030
HIST	A69	TASK-020;TASK-067
HIST	A70	TASK-024
HIST	A71	TASK-024
HIST	A72	TASK-023
HIST	A73	TASK-031
HIST	A74	TASK-010;TASK-014;TASK-022
HIST	A75	TASK-018
HIST	A76	TASK-021
HIST	A77	TASK-021;TASK-067
HIST	A78	TASK-021;TASK-067
HIST	A79	TASK-027
HIST	A80	TASK-019
HIST	A81	TASK-019
HIST	A82	TASK-019
HIST	A83	TASK-018;TASK-019
HIST	A84	TASK-016;TASK-019
HIST	A85	TASK-016;TASK-019
HIST	A86	TASK-016;TASK-019;TASK-043;TASK-052
HIST	A87	TASK-016;TASK-025
HIST	A88	TASK-065;TASK-068
HIST	A89	TASK-009;TASK-068
HIST	A90	TASK-068
HIST	A91	TASK-011
HIST	A92	TASK-068;TASK-069
HIST	A93	TASK-065;TASK-068;TASK-072
HIST	A94	TASK-068
HIST	A95	TASK-009
HIST	A96	TASK-009
HIST	A97	TASK-009;TASK-010
HIST	A98	TASK-051;TASK-054;TASK-055
HIST	A99	TASK-028;TASK-051
HIST	EARLY-001	TASK-010;TASK-065
HIST	EARLY-002	TASK-015;TASK-068
HIST	EARLY-003	TASK-065
HIST	EARLY-004	TASK-010
HIST	EARLY-005	TASK-020
HIST	EARLY-006	TASK-010
HIST	EARLY-007	TASK-012;TASK-031
HIST	EARLY-008	TASK-010;TASK-017
HIST	EARLY-009	TASK-011;TASK-017
HIST	EARLY-010	TASK-010
HIST	EARLY-011	TASK-010
HIST	EARLY-012	TASK-010
HIST	EARLY-013	TASK-016
HIST	EARLY-014	TASK-019
HIST	EARLY-015	TASK-019
HIST	EARLY-016	TASK-019
HIST	EARLY-017	TASK-018;TASK-019
HIST	EARLY-018	TASK-022
HIST	EARLY-019	TASK-022;TASK-060
HIST	EARLY-020	TASK-020;TASK-021;TASK-067
HIST	EARLY-021	TASK-025;TASK-055;TASK-060;TASK-067
HIST	EARLY-022	TASK-020;TASK-051;TASK-067
HIST	EARLY-023	TASK-013;TASK-067
HIST	EARLY-024	TASK-067
HIST	EARLY-025	TASK-011;TASK-067
HIST	EARLY-026	TASK-067
HIST	EARLY-027	TASK-011
HIST	EARLY-028	TASK-011
HIST	EARLY-029	TASK-011
HIST	EARLY-030	TASK-011;TASK-029
HIST	EARLY-031	TASK-011
HIST	EARLY-032	TASK-031
HIST	EARLY-033	TASK-015;TASK-018;TASK-031
HIST	EARLY-034	TASK-010;TASK-031
HIST	EARLY-035	TASK-017;TASK-023
HIST	EARLY-036	TASK-011;TASK-012;TASK-031
HIST	EARLY-037	TASK-014
HIST	EARLY-038	TASK-014
HIST	EARLY-039	TASK-017;TASK-018
HIST	EARLY-040	TASK-010
HIST	EARLY-041	TASK-010
HIST	EARLY-042	TASK-009;TASK-051;TASK-055
HIST	EARLY-043	TASK-028;TASK-030
HIST	EARLY-044	TASK-013;TASK-068
HIST	EARLY-045	TASK-009;TASK-068
HIST	EARLY-046	TASK-009;TASK-068;TASK-069;TASK-072
HIST	EARLY-047	TASK-016
HIST	EARLY-048	TASK-019;TASK-052
