source_namespace	source_id	operation	from_task	from_requirement	from_acceptance	from_check	from_role	to_task	to_requirement	to_acceptance	to_check	to_role	exact_source_clause	disposition
HIST	HP01	replace	TASK-041	R-001	AC-001	CHK-004	primary	TASK-041	R-001	AC-001	CHK-004	frame-contribution	docs/refactoring-plan/historical-obligations.tsv:165;src/bin/holla/app_tests_parity.rs::hp01_discovery_is_adaptive_stable_and_reports_failed_sources_and_config_warnings	Retain original capability implementation here, but required full-frame proof is exactly HO-041-F01; complete native assertions and every parent frame close TASK-049. This does not weaken the historical clause or close its parent.
HIST	HP01	add	TASK-041	R-001	AC-001	CHK-004	primary	TASK-049	R-001	AC-001	CHK-004	primary	docs/refactoring-plan/historical-obligations.tsv:165;src/bin/holla/app_tests_parity.rs::hp01_discovery_is_adaptive_stable_and_reports_failed_sources_and_config_warnings	Close all original HP01 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required.
HIST	HP02	replace	TASK-041	R-001	AC-001	CHK-004	primary	TASK-041	R-001	AC-001	CHK-004	frame-contribution	docs/refactoring-plan/historical-obligations.tsv:166;src/bin/holla/app_tests_parity.rs::hp02_recents_learned_queries_query_editing_and_persistence_merge	Retain original capability implementation here, but required full-frame proof is exactly HO-041-F02; complete native assertions and every parent frame close TASK-044. This does not weaken the historical clause or close its parent.
HIST	HP02	add	TASK-041	R-001	AC-001	CHK-004	primary	TASK-044	R-001	AC-001	CHK-004	primary	docs/refactoring-plan/historical-obligations.tsv:166;src/bin/holla/app_tests_parity.rs::hp02_recents_learned_queries_query_editing_and_persistence_merge	Close all original HP02 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required.
HIST	HP03	replace	TASK-042	R-001	AC-001	CHK-004	primary	TASK-042	R-001	AC-001	CHK-004	frame-contribution	docs/refactoring-plan/historical-obligations.tsv:167;src/bin/holla/app_tests_parity.rs::hp03_find_files_indexes_home_truthfully_and_resource_actions_are_exact	Retain original capability implementation here, but required full-frame proof is exactly HO-042-F01; complete native assertions and every parent frame close TASK-044. This does not weaken the historical clause or close its parent.
HIST	HP03	add	TASK-042	R-001	AC-001	CHK-004	primary	TASK-044	R-001	AC-001	CHK-004	primary	docs/refactoring-plan/historical-obligations.tsv:167;src/bin/holla/app_tests_parity.rs::hp03_find_files_indexes_home_truthfully_and_resource_actions_are_exact	Close all original HP03 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required.
HIST	HP14	replace	TASK-044	R-001	AC-001	CHK-004	primary	TASK-044	R-001	AC-001	CHK-004	frame-contribution	docs/refactoring-plan/historical-obligations.tsv:178;src/bin/holla/app_tests_parity.rs::hp14_output_streams_are_exact_and_retention_drops_are_stated	Retain original capability implementation here, but required full-frame proof is exactly HO-044-F01;HO-044-F04; complete native assertions and every parent frame close TASK-047. This does not weaken the historical clause or close its parent.
HIST	HP14	add	TASK-044	R-001	AC-001	CHK-004	primary	TASK-047	R-001	AC-001	CHK-004	primary	docs/refactoring-plan/historical-obligations.tsv:178;src/bin/holla/app_tests_parity.rs::hp14_output_streams_are_exact_and_retention_drops_are_stated	Close all original HP14 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required.
HIST	HP17	replace	TASK-043	R-001	AC-001	CHK-004	primary	TASK-043	R-001	AC-001	CHK-004	frame-contribution	docs/refactoring-plan/historical-obligations.tsv:181;src/bin/holla/app_tests_parity.rs::hp17_custom_actions_are_exact_argv_reviewed_by_digest_and_never_run_unsaved	Retain original capability implementation here, but required full-frame proof is exactly HO-043-F03; complete native assertions and every parent frame close TASK-049. This does not weaken the historical clause or close its parent.
HIST	HP19	replace	TASK-045	R-001	AC-001	CHK-004	primary	TASK-045	R-001	AC-001	CHK-004	frame-contribution	docs/refactoring-plan/historical-obligations.tsv:183;src/bin/holla/app_tests_parity.rs::hp19_tree_navigation_sorting_folding_selection_and_top_files	Retain original capability implementation here, but required full-frame proof is exactly HO-045-F01;HO-045-F03; complete native assertions and every parent frame close TASK-046. This does not weaken the historical clause or close its parent.
HIST	HP19	add	TASK-045	R-001	AC-001	CHK-004	primary	TASK-046	R-001	AC-001	CHK-004	primary	docs/refactoring-plan/historical-obligations.tsv:183;src/bin/holla/app_tests_parity.rs::hp19_tree_navigation_sorting_folding_selection_and_top_files	Close all original HP19 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required.
