recipe_id	app	surface	viewport	color	theme	initial_state	historical_command	steps	current_argv	expected_txt	expected_ansi	expected_cursor	expected_html	expected_png	current_artifact_dir	provenance_path	trace_path	owner	replay_policy
showcase_overview_default_80x24	showcase	overview	80x24	truecolor	junie	overview_default	showcase --page overview	(none)	["target/debug/showcase","--page","overview"]	baseline/before/showcase_overview_default_80x24.txt	baseline/before/showcase_overview_default_80x24.ansi	baseline/before/showcase_overview_default_80x24.cursor	baseline/before/showcase_overview_default_80x24.html	baseline/before/showcase_overview_default_80x24.png	parity/replays/showcase_overview_default_80x24	parity/replays/showcase_overview_default_80x24/provenance.json	parity/replays/showcase_overview_default_80x24/trace.json	apps/showcase	required
showcase_buttons_default_80x24	showcase	buttons	80x24	truecolor	junie	buttons_default	showcase --page buttons	(none)	["target/debug/showcase","--page","buttons"]	baseline/before/showcase_buttons_default_80x24.txt	baseline/before/showcase_buttons_default_80x24.ansi	baseline/before/showcase_buttons_default_80x24.cursor	baseline/before/showcase_buttons_default_80x24.html	baseline/before/showcase_buttons_default_80x24.png	parity/replays/showcase_buttons_default_80x24	parity/replays/showcase_buttons_default_80x24/provenance.json	parity/replays/showcase_buttons_default_80x24/trace.json	apps/showcase	required
showcase_inputs_default_80x24	showcase	inputs	80x24	truecolor	junie	inputs_default	showcase --page inputs	(none)	["target/debug/showcase","--page","inputs"]	baseline/before/showcase_inputs_default_80x24.txt	baseline/before/showcase_inputs_default_80x24.ansi	baseline/before/showcase_inputs_default_80x24.cursor	baseline/before/showcase_inputs_default_80x24.html	baseline/before/showcase_inputs_default_80x24.png	parity/replays/showcase_inputs_default_80x24	parity/replays/showcase_inputs_default_80x24/provenance.json	parity/replays/showcase_inputs_default_80x24/trace.json	apps/showcase	required
showcase_textareas_default_80x24	showcase	textareas	80x24	truecolor	junie	textareas_default	showcase --page textareas	(none)	["target/debug/showcase","--page","textareas"]	baseline/before/showcase_textareas_default_80x24.txt	baseline/before/showcase_textareas_default_80x24.ansi	baseline/before/showcase_textareas_default_80x24.cursor	baseline/before/showcase_textareas_default_80x24.html	baseline/before/showcase_textareas_default_80x24.png	parity/replays/showcase_textareas_default_80x24	parity/replays/showcase_textareas_default_80x24/provenance.json	parity/replays/showcase_textareas_default_80x24/trace.json	apps/showcase	required
showcase_forms_default_80x24	showcase	forms	80x24	truecolor	junie	forms_default	showcase --page forms	(none)	["target/debug/showcase","--page","forms"]	baseline/before/showcase_forms_default_80x24.txt	baseline/before/showcase_forms_default_80x24.ansi	baseline/before/showcase_forms_default_80x24.cursor	baseline/before/showcase_forms_default_80x24.html	baseline/before/showcase_forms_default_80x24.png	parity/replays/showcase_forms_default_80x24	parity/replays/showcase_forms_default_80x24/provenance.json	parity/replays/showcase_forms_default_80x24/trace.json	apps/showcase	required
showcase_lists_default_80x24	showcase	lists	80x24	truecolor	junie	lists_default	showcase --page lists	(none)	["target/debug/showcase","--page","lists"]	baseline/before/showcase_lists_default_80x24.txt	baseline/before/showcase_lists_default_80x24.ansi	baseline/before/showcase_lists_default_80x24.cursor	baseline/before/showcase_lists_default_80x24.html	baseline/before/showcase_lists_default_80x24.png	parity/replays/showcase_lists_default_80x24	parity/replays/showcase_lists_default_80x24/provenance.json	parity/replays/showcase_lists_default_80x24/trace.json	apps/showcase	required
showcase_trees_default_80x24	showcase	trees	80x24	truecolor	junie	trees_default	showcase --page trees	(none)	["target/debug/showcase","--page","trees"]	baseline/before/showcase_trees_default_80x24.txt	baseline/before/showcase_trees_default_80x24.ansi	baseline/before/showcase_trees_default_80x24.cursor	baseline/before/showcase_trees_default_80x24.html	baseline/before/showcase_trees_default_80x24.png	parity/replays/showcase_trees_default_80x24	parity/replays/showcase_trees_default_80x24/provenance.json	parity/replays/showcase_trees_default_80x24/trace.json	apps/showcase	required
showcase_tables_default_80x24	showcase	tables	80x24	truecolor	junie	tables_default	showcase --page tables	(none)	["target/debug/showcase","--page","tables"]	baseline/before/showcase_tables_default_80x24.txt	baseline/before/showcase_tables_default_80x24.ansi	baseline/before/showcase_tables_default_80x24.cursor	baseline/before/showcase_tables_default_80x24.html	baseline/before/showcase_tables_default_80x24.png	parity/replays/showcase_tables_default_80x24	parity/replays/showcase_tables_default_80x24/provenance.json	parity/replays/showcase_tables_default_80x24/trace.json	apps/showcase	required
showcase_editabletables_default_80x24	showcase	editabletables	80x24	truecolor	junie	editabletables_default	showcase --page editabletables	(none)	["target/debug/showcase","--page","editabletables"]	baseline/before/showcase_editabletables_default_80x24.txt	baseline/before/showcase_editabletables_default_80x24.ansi	baseline/before/showcase_editabletables_default_80x24.cursor	baseline/before/showcase_editabletables_default_80x24.html	baseline/before/showcase_editabletables_default_80x24.png	parity/replays/showcase_editabletables_default_80x24	parity/replays/showcase_editabletables_default_80x24/provenance.json	parity/replays/showcase_editabletables_default_80x24/trace.json	apps/showcase	required
showcase_panels_default_80x24	showcase	panels	80x24	truecolor	junie	panels_default	showcase --page panels	(none)	["target/debug/showcase","--page","panels"]	baseline/before/showcase_panels_default_80x24.txt	baseline/before/showcase_panels_default_80x24.ansi	baseline/before/showcase_panels_default_80x24.cursor	baseline/before/showcase_panels_default_80x24.html	baseline/before/showcase_panels_default_80x24.png	parity/replays/showcase_panels_default_80x24	parity/replays/showcase_panels_default_80x24/provenance.json	parity/replays/showcase_panels_default_80x24/trace.json	apps/showcase	required
