witness_id	producer_task	producer_trusted_path	chk_006_role
W-021-07	TASK-021	refactoring-tasks/terminal-components/completion/021/trusted/source-witnesses.md#W-021-07	branch_host_projection
W-022-10	TASK-022	refactoring-tasks/terminal-components/completion/022/trusted/source-witnesses.md#W-022-10	branch_host_projection
W-023-07	TASK-023	refactoring-tasks/terminal-components/completion/023/trusted/source-witnesses.md#W-023-07	branch_host_projection
W-024-07	TASK-024	refactoring-tasks/terminal-components/completion/024/trusted/source-witnesses.md#W-024-07	branch_host_projection
W-024-08	TASK-024	refactoring-tasks/terminal-components/completion/024/trusted/source-witnesses.md#W-024-08	branch_host_projection
W-025-07	TASK-025	refactoring-tasks/terminal-components/completion/025/trusted/source-witnesses.md#W-025-07	branch_host_projection
W-025-08	TASK-025	refactoring-tasks/terminal-components/completion/025/trusted/source-witnesses.md#W-025-08	branch_host_projection
W-026-05	TASK-026	refactoring-tasks/terminal-components/completion/026/trusted/source-witnesses.md#W-026-05	branch_host_projection
W-027-07	TASK-027	refactoring-tasks/terminal-components/completion/027/trusted/source-witnesses.md#W-027-07	branch_host_projection
W-028-06	TASK-028	refactoring-tasks/terminal-components/completion/028/trusted/source-witnesses.md#W-028-06	branch_host_projection
W-031-10	TASK-031	refactoring-tasks/terminal-components/completion/031/trusted/source-witnesses.md#W-031-10	native_conformance
W-031-11	TASK-031	refactoring-tasks/terminal-components/completion/031/trusted/source-witnesses.md#W-031-11	native_conformance
