task_id	check_id	qualification_mode	register_kind	requires_inventory_receipt	requires_disposition_receipt
TASK-002	CHK-005	preparation	source-derived	False	False
TASK-003	CHK-005	preparation	source-derived	False	False
TASK-004	CHK-005	preparation	source-derived	False	False
TASK-005	CHK-005	preparation	source-derived	False	False
TASK-006	CHK-005	preparation	source-derived	False	False
TASK-007	CHK-003	preparation	source-derived	False	False
TASK-007	CHK-004	preparation	source-derived	False	False
TASK-007	CHK-005	preparation	source-derived	False	False
TASK-008	CHK-003	preparation	post-migration	False	False
TASK-008	CHK-004	preparation	post-migration	False	False
TASK-008	CHK-005	preparation	post-migration	False	False
TASK-009	CHK-005	production	production	True	True
TASK-010	CHK-005	production	production	True	True
TASK-011	CHK-005	production	production	True	True
TASK-012	CHK-005	production	production	True	True
TASK-013	CHK-005	production	production	True	True
TASK-014	CHK-005	production	production	True	True
TASK-015	CHK-005	production	production	True	True
TASK-016	CHK-005	production	production	True	True
TASK-017	CHK-005	production	production	True	True
TASK-018	CHK-005	production	production	True	True
TASK-019	CHK-005	production	production	True	True
TASK-020	CHK-005	production	production	True	True
TASK-021	CHK-005	production	production	True	True
TASK-022	CHK-005	production	production	True	True
TASK-023	CHK-005	production	production	True	True
TASK-024	CHK-005	production	production	True	True
TASK-025	CHK-005	production	production	True	True
TASK-026	CHK-005	production	production	True	True
TASK-027	CHK-005	production	production	True	True
TASK-028	CHK-005	production	production	True	True
TASK-029	CHK-005	production	production	True	True
TASK-030	CHK-005	production	production	True	True
TASK-031	CHK-005	production	production	True	True
TASK-032	CHK-005	production	production	True	True
TASK-033	CHK-005	production	production	True	True
TASK-034	CHK-005	production	production	True	True
TASK-035	CHK-005	production	production	True	True
TASK-036	CHK-005	production	production	True	True
TASK-037	CHK-005	production	production	True	True
TASK-038	CHK-005	production	production	True	True
TASK-039	CHK-005	production	production	True	True
TASK-040	CHK-005	production	production	True	True
TASK-041	CHK-005	production	production	True	True
TASK-042	CHK-005	production	production	True	True
TASK-043	CHK-005	production	production	True	True
TASK-044	CHK-005	production	production	True	True
TASK-045	CHK-005	production	production	True	True
TASK-046	CHK-005	production	production	True	True
TASK-047	CHK-005	production	production	True	True
TASK-048	CHK-005	production	production	True	True
TASK-049	CHK-005	production	production	True	True
TASK-050	CHK-005	production	production	True	True
TASK-051	CHK-005	production	production	True	True
TASK-052	CHK-005	production	production	True	True
TASK-053	CHK-005	production	production	True	True
TASK-054	CHK-005	production	production	True	True
TASK-055	CHK-005	production	production	True	True
TASK-056	CHK-005	production	production	True	True
TASK-057	CHK-005	production	production	True	True
TASK-058	CHK-005	production	production	True	True
TASK-059	CHK-005	production	production	True	True
TASK-060	CHK-005	production	production	True	True
TASK-061	CHK-005	production	production	True	True
TASK-062	CHK-005	production	production	True	True
TASK-063	CHK-005	production	production	True	True
TASK-064	CHK-005	production	production	True	True
TASK-065	CHK-005	production	production	True	True
TASK-066	CHK-005	production	production	True	True
TASK-067	CHK-005	production	production	True	True
TASK-068	CHK-005	production	production	True	True
TASK-069	CHK-005	production	production	True	True
TASK-073	CHK-005	production	production	True	True
TASK-074	CHK-004	preparation	source-derived	False	False
TASK-075	CHK-003	preparation	source-derived	False	False
TASK-078	CHK-002	production	production	True	True
TASK-078	CHK-003	preparation	source-derived	False	False
TASK-079	CHK-005	production	production	True	True
