site_id	source_file	source_sha256	source_symbol	line	site_kinds	source_line
src/bin/holla/app_tests.rs:L74	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	click	74	spatial-or-input	self.mouse(MouseKind::Down, x, y);
src/bin/holla/app_tests.rs:L75	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	click	75	spatial-or-input	self.mouse(MouseKind::Up, x, y);
src/bin/holla/app_tests.rs:L78	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	resize	78	spatial-or-input	self.term.backend_mut().resize(w, h);
src/bin/holla/app_tests.rs:L123	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	every_scenario_renders_at_every_size_without_panicking	123	constructor	let mut hh = H::new(s, Motion::Reduced, 0, w, h);
src/bin/holla/app_tests.rs:L124	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	every_scenario_renders_at_every_size_without_panicking	124	assertion;spatial-or-input	assert!(hh.row(0).contains("holla❯"), "{s:?} {w}x{h}: {}", hh.row(0));
src/bin/holla/app_tests.rs:L135	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	opening_without_typing_suggests_an_action_with_a_reason	135	constructor	let h = H::new(Scenario::RustDirty, Motion::Reduced, 0, 120, 40);
src/bin/holla/app_tests.rs:L137	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	opening_without_typing_suggests_an_action_with_a_reason	137	assertion	assert!(t.contains("Suggested here"), "{t}");
src/bin/holla/app_tests.rs:L138	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	opening_without_typing_suggests_an_action_with_a_reason	138	assertion	assert!(t.contains("branch is 3 commits behind"), "{t}");
src/bin/holla/app_tests.rs:L139	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	opening_without_typing_suggests_an_action_with_a_reason	139	assertion	assert!(t.contains("Review 5 modified files"), "{t}");
src/bin/holla/app_tests.rs:L140	src/bin/holla/app_tests.rs	55a2530a5dd08d6f447c134b4702137b87806e5bf26eab8f3b33d3a406bfbe87	opening_without_typing_suggests_an_action_with_a_reason	140	assertion	assert!(t.contains("Recent here"));
