path	size	color	theme	bytes	sha256
shots/showcase_junie_truecolor_80x24/png	80x24	truecolor	junie	54334	3383938d2e32187c628d3d98e756801fe35bd2f38736221312f11337d4660aa1
shots/showcase_paper_truecolor_80x24/png	80x24	truecolor	paper	58175	edf2bbc21a7f03fbbafa1e6b1a1aaa8fea49ca9c07e92b766d63825526baacbf
shots/showcase_junie_256_80x24/png	80x24	256	junie	54378	330db1c948bfa4937f54e992994471316f51731ac675c3db1e190a1e07734844
shots/showcase_paper_256_80x24/png	80x24	256	paper	54868	c64829f1391a0bfc99bdf59c392f5f6ba2a027c49f7ccfcaba9d6e517aea04c4
shots/showcase_junie_16_80x24/png	80x24	16	junie	49751	374136b0d5dc077284ea5576e7cc28f807375082b665b7080dc8bb6e07b0153a
shots/showcase_paper_16_80x24/png	80x24	16	paper	51746	764b898c3c439e87211b2010b0793e86a3d9e3c2624ac0b42f6a3448c78ab3de
shots/showcase_junie_mono_80x24/png	80x24	mono	junie	48664	5962b20547e587e24212e1426180463429a3a73a612b9af21e7fa1dd1f72ac67
shots/showcase_paper_mono_80x24/png	80x24	mono	paper	48266	9d190dd1af7c3271e1052f0d31017a2ab8d370cdb544ea8a00a80ff724ef6bf2
shots/showcase_junie_truecolor_100x30/png	100x30	truecolor	junie	103004	c22a80a06561af75681b4d38e3d210fd7a939900c2c09982130e7f3eaec2d754
shots/showcase_paper_truecolor_100x30/png	100x30	truecolor	paper	113123	3db26722266cc628640eb8ec1f3aa0bbf3b74cab40dfda40d4430644573b11e2
shots/showcase_junie_256_100x30/png	100x30	256	junie	103349	b0d1efb7f3ac6c32cffff3f70ecd648951344185a7652ae85656bdc1057a2d31
shots/showcase_paper_256_100x30/png	100x30	256	paper	105050	e7ba52f85ec1a41bef7ee34afbe080bf6244f7938dd55709ff554362594eddfd
shots/showcase_junie_16_100x30/png	100x30	16	junie	97266	3eb5fdee37afd1abb7a13dd8dfedf0298fa56154bfe021722c22df1a60ee5817
shots/showcase_paper_16_100x30/png	100x30	16	paper	96898	94e99182018ba4a07c001018debc7280a6a3a05f949c51aa3bfa4ddcd4f3e745
shots/showcase_junie_mono_100x30/png	100x30	mono	junie	84964	5f9f5598f117ab34280f6d5e15c6ad7525a8b264ce7daa3b0106e2352706bac4
shots/showcase_paper_mono_100x30/png	100x30	mono	paper	84569	8b253f617c678087da1c6817bbc8afaa0395c18c202bd0743ced679da275061d
shots/showcase_junie_truecolor_120x40/png	120x40	truecolor	junie	130301	798c68c5e209d79bdbeee41d00602e339f490cdd4cafc8670aee85464a1eed86
shots/showcase_paper_truecolor_120x40/png	120x40	truecolor	paper	141420	439419e502a3ca5ae70788399c97d466eee60e5f4808fd417e6de0d2fe3360ce
shots/showcase_junie_256_120x40/png	120x40	256	junie	130601	e1ac74e0ef71b7dea2e1fb95383c4a501af507449484ead58ee5d2a33ad615b0
shots/showcase_paper_256_120x40/png	120x40	256	paper	132118	2fee7b0ba8a0351c3454c7bfe5e03f344ab8682e7f0cb49b516162c9adcfb26b
shots/showcase_junie_16_120x40/png	120x40	16	junie	121514	47c4ef089b65c61bbd7010db96d785f2d8b92f1e06712f15e2ee3226e6b20574
shots/showcase_paper_16_120x40/png	120x40	16	paper	122485	59673c191bd398df0461e64bcc475fe7b972a2077ec889dc78ff128467901294
shots/showcase_junie_mono_120x40/png	120x40	mono	junie	107525	9e058f0b8ca45963c46052ea9bba31f4b2ab7c0de43b55330850104fe6b54445
shots/showcase_paper_mono_120x40/png	120x40	mono	paper	109131	3af4ac4af519a1ab5b0a5e71285b1b2f8d40d8890f77ebdbfaeea4881c4fc1ae
shots/showcase_junie_truecolor_160x50/png	160x50	truecolor	junie	132937	b59a382dc681dc95a10ee9b967d4c138140eb4e5def62c2747e29b3afddae109
shots/showcase_paper_truecolor_160x50/png	160x50	truecolor	paper	143768	fb92123942ef08832f5c6ea0c76da35b928db886fdaf08e94c192111c3cb8473
shots/showcase_junie_256_160x50/png	160x50	256	junie	133103	f3fac4cb2ed356a18ffc41027df6e54af796f2cc34b89cca42f43e4d9dca82af
shots/showcase_paper_256_160x50/png	160x50	256	paper	134621	bf14f8f399141c4f9f48c8a1f472fc51155b8f9bd9a70f45d845393d33189b73
shots/showcase_junie_16_160x50/png	160x50	16	junie	124255	b959b2330e0ccf78d4a5a00eb98c60bc5e27682986b7a9c62aff080ea86a3237
shots/showcase_paper_16_160x50/png	160x50	16	paper	125392	c8af7128a2fe45ea1bf53271183415e8bb89816518e4c7f7fa9bffc94583d54b
shots/showcase_junie_mono_160x50/png	160x50	mono	junie	111266	cd61a399b7e3d65f1a0354b3693899a20a6f1fa97a281e47607ea6e3c29ebe4f
shots/showcase_paper_mono_160x50/png	160x50	mono	paper	112651	7e1b18adcb96738640c2112f3d3d1b950e734f22b9c4172206a1d1724adf1e80
shots/tablepro_junie_truecolor_80x24/png	80x24	truecolor	junie	29486	5fa8457626c09233fafa9f36bbd7767baffce91e2898b834199a5412488ed54a
shots/tablepro_paper_truecolor_80x24/png	80x24	truecolor	paper	32288	7cfe3fa14f452076bdbd5e480f16a5f51b1329c87298c31b7cd856e81e7d7513
shots/tablepro_junie_256_80x24/png	80x24	256	junie	29530	45ea5df0adb0efe97a06594319dcb891d2af823f1287a7e45dd10a41ed980cbf
shots/tablepro_paper_256_80x24/png	80x24	256	paper	30698	cbeb96848bdeed106bb97899da813e6a924715bcb048ac6a5767927c27c938fe
shots/tablepro_junie_16_80x24/png	80x24	16	junie	28805	74588218d7e62325e522fbc8d7521e031f9ee36a1fc3988b69e2b4fb5d9565c8
shots/tablepro_paper_16_80x24/png	80x24	16	paper	29446	a9d77525ca053bf4683309e02b8e4b69515ad40dd6018c0a0f82b16a5809e0e7
shots/tablepro_junie_mono_80x24/png	80x24	mono	junie	28200	5421ae17a26546470b4df3cf13149daab31368c7cdc1c8ec7dfc49ac78d53bdd
shots/tablepro_paper_mono_80x24/png	80x24	mono	paper	27943	f0344c69663b4f06ab2979eb5f75f5a88aa5270b5bc1a530f4e306188bfdfd6e
shots/tablepro_junie_truecolor_100x30/png	100x30	truecolor	junie	55828	f43e8cb7959d82eba4be373508a8b31c00eda511958ff1ac9a5b264983b79b1e
shots/tablepro_paper_truecolor_100x30/png	100x30	truecolor	paper	59430	317b02ef1ed51740dcf6b9dd7c0e35bae9e5c2cefb0ddbc9da34f7a72b1d729b
shots/tablepro_junie_256_100x30/png	100x30	256	junie	55875	df7489fa49a69f6872c57c134c00b58ea30aac30892dbfcda344d51f03afeda1
shots/tablepro_paper_256_100x30/png	100x30	256	paper	56209	2ed9371f5825b87c9e47262d3cc0be87ccc1d7e3d04835584f01d3c0b6ac0605
shots/tablepro_junie_16_100x30/png	100x30	16	junie	50969	0500224e6ddcac140fa1a9b727ac64529c5abb77092250ac9a505a3053064e21
shots/tablepro_paper_16_100x30/png	100x30	16	paper	52325	049d7a8efecbcf1e13dc9c442d6a65191391eb71989ae090892c886d5c9d6328
shots/tablepro_junie_mono_100x30/png	100x30	mono	junie	43909	e2726603b2097b7db0b2afb41ee3b0f6ddb93dacf5264e0a1366e87584ea0ea2
shots/tablepro_paper_mono_100x30/png	100x30	mono	paper	44279	3851de3ba6a390b861e1e01e6a8b0b4107f39e513d63e0ff55d7a43cd2a97770
shots/tablepro_junie_truecolor_120x40/png	120x40	truecolor	junie	58263	27ea0a0d274f888fa92dfd5a53a25fb474d24d0b921e380499a2dea2bdedb44a
shots/tablepro_paper_truecolor_120x40/png	120x40	truecolor	paper	61852	dd1f466c12bc7fd709cd5d38f04a98a1e7e43272923fde107401ff9728c11953
shots/tablepro_junie_256_120x40/png	120x40	256	junie	58197	a63bd3a4bc898b6762ae83298d9d504c0e3eb4d8c60a4c36a36e94af1c57b033
shots/tablepro_paper_256_120x40/png	120x40	256	paper	58556	d7e387f5b9f126dcaebfcda431fa492540a51a3477ec577e399a449bdf3af85c
shots/tablepro_junie_16_120x40/png	120x40	16	junie	53088	66ca954cc88be9141df578a343c6eadf54d48d66f034aeaf91ec5cd04e3ca3d1
shots/tablepro_paper_16_120x40/png	120x40	16	paper	54605	74ff15a8050366c8895b5c8b92a5591739582bad9ea980688f63813694cc86a7
shots/tablepro_junie_mono_120x40/png	120x40	mono	junie	45894	18026ce2cd4f538b299d40d9756543d931ff8b9d7f06e7e4be8e754d3264fd10
shots/tablepro_paper_mono_120x40/png	120x40	mono	paper	46156	38d11aa5100d549aba15d961f0467293fe495bed02f88367f7b2d479b06a2c77
shots/tablepro_junie_truecolor_160x50/png	160x50	truecolor	junie	61211	15c3a3bde9232f4df4d367ae24a1fbac9dd6ff5b5974e8c8c0236fcc8780c055
shots/tablepro_paper_truecolor_160x50/png	160x50	truecolor	paper	64899	b1f502ddc29a3f1f305e51781c56920f5716d680f8beca28fc487852363ff1d1
shots/tablepro_junie_256_160x50/png	160x50	256	junie	61013	be34fc930f788c463572d1e3ece4d1e3c7f893c6785c3464afaab1d5a03a0fbe
shots/tablepro_paper_256_160x50/png	160x50	256	paper	61450	e25c82f3c333940a3953fb164c5d28080f055dfd277d9b53f2c59098aa898ad5
shots/tablepro_junie_16_160x50/png	160x50	16	junie	56111	2277f32cb389dab8e7171b5240a09eab0fce6571ebbabd8ad6af5fa60f45b201
shots/tablepro_paper_16_160x50/png	160x50	16	paper	57165	e33f8e743258fd9a591d600505583f7f31f1724aa25abb5efddd12ec540597aa
