id	source	status	contract_or_disposition	rejected_or_superseded	proof_and_current_work
HL-54-CAUSE	ecc13378 COMPONENT_ARCHITECTURE §54.1–.3	accepted	Cx-only Bootstrap/Event/Tick/Settle; one Bootstrap; one Tick per delivery; earliest persistent deadline	Ui/FrameRead update cause; session-only bootstrap; unsolicited idle ticks	Retain exact six library tests listed in §54.8; test terminal/headless lifecycle and settle reruns
HL-54-DOMAIN	ecc13378 §54.4	accepted	Jackin route.tick_ms owns World delta and paused clock; Runtime schedules	Runtime clock/wall time/design tick as domain delta; App::tick hook	route_tick_ms_is_the_only_world_tick_delta; one_runtime_tick_advances_the_route_once; oracle timeline evidence
HL-54-DIM	ecc13378 §54.5	accepted-architecture-parity-constrained	dim_layer zero identity; semantic monotonic non-ladder Muted/Faint/Ghost/erase	Color-equality reverse lookup; constant Muted at every step	All color levels; exact oracle cells constrain visible policy; no newly authorized visual changes
HL-54-STATUS	ecc13378 §54.6; laneC-app-tick Q1	accepted-amended	Pure draw-time status projection into app-owned fixed byte buffers; preserve facts/tone/priority/key	Proposal allowing temporary formatting allocation; mutable Jx cache; seventh Screen method; owned StatusItem strings	status_projection_allocates_zero_per_frame; pure_repaint_never_reuses_stale_status_items
HL-54-FANOUT	ecc13378 §54.7	accepted	ManagerScreen::apply_msg and AccountsScreen::apply_msg inherent calls from App::update preserve inactive-route work	New Screen trait message hook; dropping inactive fan-out	cross_route_msg_fanout_reaches_an_inactive_screen; scenario refresh after navigation
HL-56-TRAVERSE	3adb6efe §56	accepted	SplitPane one FnOnce Ui/Rect/Rect body returning bare R exactly once under with_area for every area	Tuple-return geometry; separate closures; public SplitAreas	Normal/empty/tiny/collapsed/maximized sentinel; nonzero anchor; malicious body clipping; seam preservation; AST signature
HL-57-ENTRY	14bca4a3 §57	accepted	Right/plain l emit EnterContent key; Enter/Space/click Chose key; shell owns focus handoff	LeaveForward; overloaded Chose; component cx.focus; modified l binding	Input/action/focus oracle scenarios and stable-key remapping
HL-57-PARTS	14bca4a3 §57	accepted	NavList patches CONTAINER/GUTTER/MARKER/ICON/LABEL/HEADER/BADGE; slots GUTTER/MARKER/ICON/HEADER/BADGE; RowUi carries only CONTAINER/LABEL	Generic row-part patch leakage; implicit BADGE row ownership	Badge budget and slot replacement; full/collapsed grouping exact separators/text
HL-58-LIFECYCLE	14bca4a3 §58	accepted	Skipped is READ_ONLY terminal lifecycle, remains reachable/activatable; only entire rail disabled suppresses	Skipped-as-disabled; initial false Moved; wrapping	Seed stable key; physical-row move clamp; boundary no mutation/repaint/action; keyed click/double-click
HL-58-PARTS	14bca4a3 §58	accepted	Steps exact parts/slots; lifecycle META direct-owned; optional row META row-owned; scroll all overrides	Forwarding arbitrary RowUi patches	Owner isolation; lifecycle metadata space; track/thumb forwarding
HL-59-CACHE	14bca4a3 §59	accepted	Private derived runtime frontier cache; StepsState monotonic revision; invalidate reconciles; saturation recomputes	Semantic frontier stored in StepsState; whole scan unchanged draw	steps_100k_rows_render accessor counts; forward advance; reset; completed cache; saturation
